source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
1450.5,28.5,1482.5,94.5,0.9895517,0.8668318
1552.5,30.5,1584.5,106.5,0.99123055,0.64807856
828.5,36.5,862.5,48.5,0.9973834,0.45806527
530.5,38.5,566.5,24.5,0.97125626,0.7067224
868.5,40.5,902.5,54.5,0.9984344,1.7216938
914.5,40.5,946.5,58.5,0.99804926,2.430383
1502.5,42.5,1532.5,112.5,0.99474573,1.6187711
1686.5,42.5,1716.5,130.5,0.99388707,1.162059
370.5,48.5,406.5,20.5,0.98141867,0.96012294
1904.5,52.5,1932.5,158.5,0.98663205,0.89751273
980.5,58.5,1012.5,84.5,0.9880367,0.5993804
1296.5,58.5,1326.5,110.5,0.99578005,1.1743003
1094.5,60.5,1126.5,94.5,0.99646527,1.5193729
862.5,62.5,894.5,78.5,0.99806845,0.88886017
1002.5,66.5,1032.5,94.5,0.99367225,1.3126386
166.5,68.5,200.5,22.5,0.9149464,0.44340798
234.5,70.5,268.5,30.5,0.8928012,0.47003993
926.5,70.5,956.5,90.5,0.99888307,1.239253
606.5,72.5,638.5,64.5,0.98910403,0.7669379
1458.5,76.5,1486.5,144.5,0.9988043,1.1166195
524.5,80.5,556.5,66.5,0.99683595,0.508303
1178.5,82.5,1206.5,124.5,0.9983049,1.1933122
946.5,84.5,976.5,106.5,0.99912786,0.42699468
576.5,86.5,608.5,76.5,0.998348,1.0172914
452.5,88.5,484.5,66.5,0.98795414,1.4650103
1774.5,88.5,1800.5,182.5,0.99447066,0.5593206
672.5,90.5,702.5,88.5,0.97828394,0.5221945
974.5,90.5,1002.5,114.5,0.9986038,1.3601693
422.5,92.5,452.5,68.5,0.99565786,1.2341688
202.5,94.5,234.5,50.5,0.99436724,1.4944801
232.5,94.5,264.5,54.5,0.99831325,0.4094023
272.5,96.5,304.5,60.5,0.987101,0.8504606
1746.5,96.5,1770.5,190.5,0.89913756,2.5801895
1916.5,98.5,1940.5,204.5,0.95111394,1.1868297
874.5,100.5,902.5,116.5,0.9980459,0.6329963
384.5,102.5,414.5,76.5,0.9941332,0.7722924
794.5,102.5,822.5,112.5,0.99564445,1.2322083
1210.5,102.5,1236.5,148.5,0.99889785,1.3774889
418.5,112.5,446.5,88.5,0.99742186,1.3409789
1064.5,112.5,1090.5,146.5,0.9969789,1.7081605
348.5,114.5,378.5,84.5,0.9944898,0.5970176
600.5,114.5,628.5,106.5,0.99919754,0.46204332
518.5,118.5,546.5,102.5,0.99836457,1.0076553
126.5,120.5,154.5,70.5,0.68427265,1.8887221
368.5,122.5,396.5,94.5,0.99742043,0.663564
36.5,126.5,64.5,68.5,0.9898729,1.785799
996.5,126.5,1020.5,154.5,0.9980403,2.3942502
286.5,128.5,314.5,92.5,0.9958444,0.7863076
312.5,128.5,340.5,96.5,0.99681234,1.1253924
856.5,128.5,882.5,142.5,0.99861175,0.4263316
122.5,130.5,150.5,80.5,0.7004827,0.9494799
1764.5,130.5,1786.5,224.5,0.9972409,0.8264789
400.5,134.5,426.5,108.5,0.9960373,1.5801197
1742.5,136.5,1762.5,228.5,0.9991957,2.2427797
452.5,140.5,480.5,118.5,0.9985959,1.6504655
792.5,140.5,818.5,148.5,0.99769616,0.8955948
496.5,142.5,522.5,124.5,0.9983927,0.99636143
550.5,142.5,574.5,130.5,0.99878347,2.2387571
622.5,142.5,648.5,136.5,0.9963921,0.1302099
822.5,142.5,846.5,154.5,0.8255613,1.3531798
914.5,142.5,938.5,160.5,0.9972019,1.5701015
1308.5,142.5,1330.5,196.5,0.99563557,1.3594284
1516.5,142.5,1538.5,214.5,0.9954787,0.56350434
750.5,146.5,774.5,150.5,0.9979601,1.5038004
74.5,148.5,102.5,94.5,0.98388904,0.5172327
770.5,150.5,794.5,156.5,0.99910897,1.0122269
1720.5,150.5,1740.5,240.5,0.98682195,1.1453533
526.5,152.5,552.5,138.5,0.99879694,0.7723292
1314.5,152.5,1336.5,206.5,0.9966946,0.45652142
1358.5,152.5,1380.5,210.5,0.99551374,0.25904116
1864.5,152.5,1884.5,254.5,0.99370337,0.34781486
292.5,156.5,316.5,122.5,0.99476546,2.1735687
1776.5,156.5,1796.5,250.5,0.9553213,0.52296555
56.5,158.5,84.5,102.5,0.9709501,1.4011084
408.5,158.5,432.5,134.5,0.9979603,1.5819058
508.5,164.5,532.5,148.5,0.99843824,0.46608666
620.5,164.5,644.5,158.5,0.99860185,0.36924383
1604.5,166.5,1624.5,246.5,0.99784696,0.62348497
550.5,170.5,574.5,158.5,0.99782187,0.5456229
318.5,174.5,342.5,142.5,0.9956593,0.7867549
658.5,178.5,682.5,174.5,0.9967033,1.6114608
1100.5,180.5,1120.5,214.5,0.9984984,1.6171979
1182.5,182.5,1202.5,224.5,0.9962378,0.62852365
134.5,184.5,158.5,136.5,0.9953082,0.8125198
712.5,186.5,734.5,188.5,0.99712247,0.49893522
752.5,186.5,774.5,192.5,0.9985536,1.028095
54.5,188.5,78.5,132.5,0.99535114,0.22586897
1076.5,190.5,1096.5,222.5,0.99845004,1.275626
1880.5,190.5,1896.5,292.5,0.98897034,1.6558704
304.5,192.5,326.5,158.5,0.9986021,0.78364915
468.5,192.5,488.5,172.5,0.9977929,2.1771662
1010.5,192.5,1030.5,220.5,0.99664754,0.49404594
1160.5,194.5,1180.5,234.5,0.99889284,0.8705874
1052.5,196.5,1072.5,226.5,0.99914867,1.2316079
1442.5,196.5,1460.5,262.5,0.9910355,0.85476905
1462.5,196.5,1480.5,264.5,0.99787444,1.105621
322.5,198.5,344.5,166.5,0.9974759,0.50811654
860.5,198.5,880.5,212.5,0.99921864,0.44371322
564.5,202.5,586.5,190.5,0.9974049,1.2361511
680.5,202.5,700.5,200.5,0.99799854,0.8627679
726.5,204.5,746.5,206.5,0.9981033,0.72967535
786.5,204.5,806.5,212.5,0.99772763,0.110090554
530.5,206.5,550.5,190.5,0.9991823,1.7730037
886.5,210.5,904.5,228.5,0.9991729,1.6883092
622.5,214.5,640.5,208.5,0.9990515,1.700139
692.5,214.5,712.5,214.5,0.9985836,0.6729983
846.5,214.5,864.5,228.5,0.9993266,1.1783024
1932.5,214.5,1944.5,322.5,0.9939703,2.6793056
560.5,216.5,580.5,204.5,0.99777776,0.34842056
1838.5,216.5,1852.5,314.5,0.9979446,1.8043622
652.5,220.5,670.5,214.5,0.99694055,2.4310896
1398.5,224.5,1414.5,286.5,0.9992091,0.8075051
242.5,228.5,262.5,188.5,0.9973781,0.45845246
1020.5,230.5,1036.5,258.5,0.9983471,0.7853338
490.5,232.5,508.5,212.5,0.9977982,2.1257493
440.5,234.5,458.5,212.5,0.9990871,0.68623084
1062.5,234.5,1078.5,266.5,0.99959904,0.26368675
1936.5,236.5,1948.5,344.5,0.99197435,0.7405227
1154.5,238.5,1168.5,278.5,0.99848306,1.5437726
1492.5,238.5,1506.5,308.5,0.9982817,0.6981507
1964.5,238.5,1976.5,348.5,0.99318254,0.66835135
570.5,240.5,588.5,230.5,0.9988641,1.096037
1466.5,242.5,1480.5,310.5,0.9987768,0.93167984
682.5,244.5,698.5,242.5,0.99685425,1.0930848
162.5,246.5,182.5,198.5,0.9940571,1.9690086
1804.5,246.5,1816.5,342.5,0.9986532,0.63106436
880.5,248.5,896.5,264.5,0.9985637,0.29033267
1410.5,248.5,1424.5,310.5,0.99937886,0.34735063
246.5,252.5,264.5,212.5,0.99614847,0.73556983
960.5,252.5,974.5,276.5,0.9991194,1.5050668
214.5,258.5,232.5,216.5,0.99790776,0.63613975
400.5,258.5,418.5,232.5,0.9930841,1.3377748
1876.5,260.5,1886.5,362.5,0.9873042,1.1419046
554.5,262.5,570.5,250.5,0.99888086,0.5621793
730.5,262.5,746.5,264.5,0.9957391,1.2632033
182.5,268.5,198.5,224.5,0.99818337,1.1270701
306.5,268.5,322.5,232.5,0.9969302,1.8748754
1408.5,268.5,1418.5,328.5,0.99648374,2.738772
1392.5,272.5,1404.5,332.5,0.99848163,0.6024939
470.5,274.5,486.5,254.5,0.99908805,1.004655
874.5,274.5,888.5,288.5,0.9900373,1.4514718
1512.5,274.5,1522.5,346.5,0.9978242,1.4738399
446.5,276.5,462.5,254.5,0.9991205,1.078687
1640.5,276.5,1646.5,358.5,0.9971018,4.3798985
562.5,280.5,576.5,266.5,0.99814194,2.1390305
1220.5,282.5,1232.5,326.5,0.9992538,1.5735986
1440.5,282.5,1450.5,348.5,0.99739,1.4841623
1676.5,282.5,1686.5,366.5,0.9944948,1.2508702
268.5,284.5,282.5,246.5,0.9978278,1.0294689
580.5,284.5,594.5,272.5,0.99966526,1.7124063
1158.5,284.5,1170.5,324.5,0.998876,0.4887775
216.5,286.5,232.5,244.5,0.99787426,1.0751408
76.5,288.5,90.5,232.5,0.9937973,2.1680467
492.5,288.5,506.5,270.5,0.9984898,0.29888034
1766.5,288.5,1774.5,380.5,0.99257404,1.3452471
2008.5,288.5,2012.5,402.5,0.5170285,3.9345784
738.5,292.5,750.5,296.5,0.99802613,0.707023
922.5,296.5,934.5,316.5,0.99854153,0.83796555
1102.5,296.5,1112.5,332.5,0.9947691,1.0995058
110.5,298.5,124.5,246.5,0.9950401,0.7292863
1066.5,298.5,1076.5,330.5,0.9991942,0.64542425
444.5,300.5,456.5,276.5,0.9993639,1.9623498
874.5,300.5,886.5,316.5,0.99891156,1.0943489
1044.5,300.5,1054.5,330.5,0.99953145,0.55894923
818.5,302.5,830.5,312.5,0.99909914,0.84185106
1908.5,302.5,1914.5,408.5,0.97053146,1.2649541
1984.5,304.5,1990.5,416.5,0.9723109,0.6294986
606.5,306.5,618.5,296.5,0.9989993,1.8949807
1462.5,306.5,1468.5,372.5,0.99732375,2.487288
774.5,308.5,786.5,314.5,0.9996016,1.2242427
670.5,310.5,682.5,308.5,0.99947125,1.057949
176.5,312.5,190.5,266.5,0.9983117,1.2447064
714.5,312.5,726.5,312.5,0.9987186,1.7651188
700.5,314.5,710.5,314.5,0.9981697,0.64452624
976.5,316.5,984.5,340.5,0.998249,1.4213439
1500.5,316.5,1506.5,384.5,0.9988097,2.2568498
732.5,318.5,742.5,322.5,0.9973778,1.2056928
1028.5,318.5,1038.5,346.5,0.99958616,1.128882
1736.5,320.5,1740.5,412.5,0.9970554,2.7609963
532.5,324.5,542.5,310.5,0.9978375,0.76683867
278.5,326.5,288.5,288.5,0.99859756,1.7050172
458.5,326.5,468.5,304.5,0.9991674,1.0349997
72.5,328.5,84.5,274.5,0.9880495,0.7768329
1960.5,328.5,1964.5,438.5,0.9938944,0.6611586
1982.5,328.5,1986.5,440.5,0.99634993,0.61587757
212.5,330.5,222.5,288.5,0.9989885,1.2397196
1534.5,330.5,1540.5,402.5,0.9953964,0.6643756
718.5,332.5,728.5,334.5,0.99640334,1.0977713
352.5,334.5,362.5,304.5,0.9991708,0.43566597
618.5,334.5,626.5,328.5,0.99801487,1.6987894
806.5,334.5,814.5,344.5,0.9989547,0.9457357
998.5,334.5,1006.5,360.5,0.999432,0.24391493
1054.5,334.5,1060.5,366.5,0.99949086,1.9567237
138.5,336.5,148.5,288.5,0.9956734,1.3465565
642.5,336.5,652.5,330.5,0.999341,1.381536
1090.5,338.5,1098.5,370.5,0.9994797,2.1455264
874.5,340.5,882.5,356.5,0.9992227,0.94464254
732.5,342.5,740.5,346.5,0.9955684,1.287101
1440.5,342.5,1444.5,408.5,0.9995549,2.1014006
1800.5,342.5,1804.5,438.5,0.99844277,0.20293112
942.5,344.5,948.5,364.5,0.8790003,1.4997207
952.5,344.5,958.5,366.5,0.99360037,1.0765394
1708.5,344.5,1712.5,432.5,0.9971612,0.298963
402.5,346.5,412.5,320.5,0.99865556,1.0132287
476.5,346.5,484.5,326.5,0.972884,0.806688
1470.5,348.5,1470.5,414.5,0.57404417,4.857177
1956.5,348.5,1958.5,458.5,0.9936113,1.0985614
450.5,350.5,458.5,328.5,0.99549526,0.46972027
690.5,350.5,698.5,350.5,0.9985436,1.076784
780.5,350.5,788.5,356.5,0.99932444,1.1797409
76.5,354.5,86.5,300.5,0.99598724,0.6881029
112.5,358.5,120.5,306.5,0.9987178,1.2151797
1600.5,358.5,1600.5,434.5,0.99898493,4.0949154
280.5,360.5,288.5,322.5,0.9985478,1.2740192
518.5,360.5,526.5,344.5,0.9993739,0.6729876
314.5,362.5,322.5,328.5,0.998589,0.22005597
1064.5,362.5,1070.5,394.5,0.99939495,1.0179775
1788.5,362.5,1790.5,458.5,0.999028,1.3622329
612.5,364.5,620.5,354.5,0.9990694,2.5738566
750.5,364.5,756.5,366.5,0.9962236,2.2026694
538.5,366.5,544.5,352.5,0.9974454,0.7814699
