source_x,source_y,raw_reference_x,raw_reference_y,geometric_reference_x,geometric_reference_y,refined_reference_x,refined_reference_y,phase_response,shift_x,shift_y,raw_gt_error_px,geometric_gt_error_px,refined_gt_error_px
156.0381,136.53334,184.21075,89.77223,184.24675,89.782135,184.01167,89.60302,0.920927,-0.23506942,-0.179113,0.05667939,0.019552995,0.31471482
78.01905,253.56192,96.3514,199.46498,96.33177,199.56725,96.37687,199.62524,0.9054889,0.04509978,0.057998713,0.10943324,0.01269713,0.061665207
253.56192,78.01905,286.5259,39.884956,286.4945,39.989574,286.61697,39.953445,0.9575512,0.12247282,-0.03612831,0.11414939,0.02423556,0.109818324
214.55238,253.56192,232.24968,211.53139,232.34238,211.4673,232.34369,211.49367,0.9398878,0.001306803,0.0263612,0.12118843,0.015293083,0.023588726
448.60953,234.05716,467.18945,212.37793,467.2025,212.43657,467.1526,212.3388,0.91056836,-0.04991924,-0.09776619,0.072734214,0.021086918,0.12527458
429.10477,78.01905,461.42892,55.301643,461.36526,55.28964,461.20297,55.25816,0.930622,-0.16229703,-0.031480074,0.0372889,0.027902465,0.19303463
468.11432,97.52381,498.49683,78.0587,498.52637,78.12053,498.3886,78.13576,0.9292985,-0.13777001,0.015228492,0.08976133,0.02782412,0.16448633
487.61908,214.55238,507.8326,196.33047,507.7618,196.40569,507.85507,196.42552,0.9974994,0.09326271,0.019833958,0.09497897,0.02284593,0.07257104
429.10477,195.04762,451.22424,171.7761,451.17062,171.8748,451.15524,171.83223,0.92456746,-0.015386006,-0.0425791,0.11024999,0.02248899,0.061554074
526.6286,214.55238,546.5929,199.81653,546.62195,199.80571,546.64624,199.8896,0.95173275,0.024285512,0.08389281,0.052212518,0.023754852,0.07777038
643.65717,58.51429,676.745,54.525887,676.7953,54.558872,676.7045,54.621334,0.92907506,-0.09075061,0.062461447,0.09252407,0.033533894,0.13457634
546.13336,214.55238,566.01135,201.43036,566.05206,201.50572,566.0132,201.53885,0.9334946,-0.038876213,0.033119846,0.10362905,0.024152441,0.06788006
565.6381,97.52381,595.75525,86.66728,595.6767,86.62056,595.6778,86.55094,0.9190168,0.0011029544,-0.06962158,0.06292504,0.03006191,0.082430735
663.1619,234.05716,681.02673,231.09776,680.9334,231.13664,680.98364,231.08247,0.93725854,0.050213836,-0.05416375,0.08115776,0.025905523,0.06459401
780.1905,214.55238,799.27045,221.88942,799.2131,221.9058,799.2898,221.88269,0.9782666,0.0767319,-0.02311453,0.035945006,0.02931626,0.05577341
975.23816,234.05716,991.89655,258.29346,991.8148,258.33676,991.8423,258.32016,0.96741796,0.027445583,-0.016606852,0.06860594,0.032912668,0.021790918
936.22864,117.02858,963.28217,138.38246,963.1493,138.35158,963.26337,138.46237,0.9599302,0.11409817,0.110787995,0.09915589,0.03732708,0.12977464
