source_x,source_y,raw_reference_x,raw_reference_y,geometric_reference_x,geometric_reference_y,refined_reference_x,refined_reference_y,phase_response,shift_x,shift_y,raw_gt_error_px,geometric_gt_error_px,refined_gt_error_px
204.5,174.5,344.5,166.5,344.75803,166.39008,345.093,166.27255,0.95409733,0.3349522,-0.11751788,0.4896823,0.22056684,0.1919853
92.5,250.5,232.5,216.5,232.51863,216.78357,232.47765,216.79555,0.9368129,-0.040982965,0.011978023,0.16320126,0.22921436,0.26231912
246.5,86.5,396.5,94.5,396.23444,94.22083,396.26828,94.23953,0.94540817,0.033851977,0.018700935,0.43897402,0.2223244,0.21273577
192.5,250.5,322.5,232.5,322.02734,232.5434,322.26498,232.52669,0.94090444,0.2376322,-0.016714409,0.35734978,0.21878581,0.1822645
342.5,96.5,480.5,118.5,480.5852,118.30349,480.5989,118.40324,0.98871154,0.013693054,0.099745,0.4175698,0.22085513,0.28019914
424.5,104.5,552.5,138.5,552.7203,138.38913,552.88824,138.53049,0.92882067,0.16798587,0.14136188,0.46948546,0.22288653,0.24532911
282.5,96.5,426.5,108.5,426.88,108.84759,426.93823,108.79227,0.9540294,0.05821694,-0.05531882,0.58962494,0.22094004,0.1410078
302.5,48.5,452.5,68.5,452.35413,69.024086,452.34064,68.981384,0.9571745,-0.013500379,-0.042704787,0.39370757,0.22349085,0.21343939
464.5,222.5,570.5,250.5,569.9083,250.3411,570.178,250.36778,0.94256824,0.26964432,0.02668382,0.47306037,0.21630524,0.14487848
714.5,64.5,818.5,148.5,818.60596,148.27972,818.63855,148.1491,0.9473395,0.032570373,-0.1306354,0.43833822,0.2591634,0.24943908
670.5,58.5,780.5,136.5,780.16864,135.97348,779.936,135.82707,1.0001645,-0.23264396,-0.14640741,0.56762385,0.2527186,0.4955321
674.5,120.5,774.5,192.5,773.96796,192.11386,773.97754,192.12132,0.97936624,0.009581291,0.007454569,0.51140946,0.24739107,0.23918961
690.5,78.5,794.5,156.5,794.9152,157.03189,794.8579,156.89081,0.94935983,-0.057291564,-0.14109012,0.83441174,0.25389576,0.3283797
528.5,108.5,644.5,158.5,645.17834,158.36063,645.222,158.34892,0.9429563,0.04365827,-0.011710215,0.9213112,0.23022304,0.1851752
934.5,32.5,1020.5,154.5,1020.5734,154.30103,1020.6922,154.3538,0.9559387,0.11875929,0.052775115,0.41105753,0.30577418,0.18574567
976.5,16.5,1060.5,146.5,1060.6912,146.595,1060.9994,146.78284,0.71742225,0.3082677,0.1878422,0.5242942,0.31701168,0.14072293
872.5,224.5,934.5,316.5,934.7884,316.43182,935.0176,316.4718,0.90624785,0.22921714,0.039985307,0.56322,0.272131,0.051666755
782.5,46.5,882.5,142.5,882.3115,142.88062,882.4248,142.79099,0.94183654,0.11325134,-0.0896227,0.38476712,0.2730607,0.1806475
1018.5,142.5,1078.5,266.5,1078.4073,266.02475,1078.5967,265.9176,0.94379914,0.18928042,-0.10713716,0.47428194,0.3129777,0.19953746
1054.5,78.5,1120.5,214.5,1120.7269,214.39764,1120.8274,214.46617,0.95502675,0.10043988,0.06852176,0.55033106,0.32866648,0.22170533
1028.5,212.5,1076.5,330.5,1076.3151,330.27332,1076.344,330.40057,0.97695225,0.028916165,0.12727341,0.21053419,0.30773756,0.28429174
1196.5,178.5,1232.5,326.5,1232.0536,326.30884,1232.299,326.24664,0.9593085,0.24535792,-0.06218289,0.14199777,0.3529533,0.18580595
1278.5,18.5,1330.5,196.5,1330.6919,195.98032,1331.0194,196.23999,0.74802047,0.3275484,0.25968155,0.6869404,0.39261156,0.14001936
1068.5,208.5,1112.5,332.5,1112.7496,332.9959,1112.9861,333.23508,0.97581375,0.23644102,0.23917438,0.7920649,0.31765503,0.19110182
1490.5,106.5,1506.5,308.5,1506.5677,308.17953,1506.6627,308.35947,0.9493485,0.09493467,0.17992985,0.4917659,0.44110304,0.30822927
