source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
117.02858,39.009525,288.2873,30.666466,0.86884266,0.54290384
136.53334,39.009525,305.21652,33.937042,0.69818443,0.34587446
175.54286,39.009525,340.2009,39.880554,0.46475816,0.5027862
195.04762,39.009525,357.49875,43.443783,0.952771,0.33419165
214.55238,39.009525,375.56085,46.90013,0.786618,0.47048393
253.56192,39.009525,410.39856,52.831825,0.8854029,0.24134292
273.06668,39.009525,427.94376,55.525383,0.9938566,0.34464127
292.57144,39.009525,445.4087,58.850452,0.9865573,0.26576337
312.0762,39.009525,462.56155,62.198067,0.93279856,0.29417583
331.58096,39.009525,479.8427,64.418106,0.35304922,0.61137056
370.59048,39.009525,514.4496,71.399704,0.24192503,0.6001351
390.09525,39.009525,532.348,73.82545,0.9851101,0.41218388
409.6,39.009525,550.2269,77.41294,0.9983914,0.32882568
429.10477,39.009525,566.7549,80.854324,0.9994904,0.783229
448.60953,39.009525,584.79803,83.23233,0.99182963,0.23249151
468.11432,39.009525,601.53687,86.75061,0.6848404,0.7954805
507.12384,39.009525,636.2435,92.76549,0.6519701,0.98705906
526.6286,39.009525,653.95746,96.923965,0.53368115,1.3612448
565.6381,39.009525,689.02496,102.267006,0.90116423,0.6769369
585.1429,39.009525,706.93085,105.409706,0.7028444,0.42177108
604.64764,39.009525,724.0321,107.58499,0.68162936,0.7180316
624.1524,39.009525,741.4033,111.50371,0.99261737,0.6839503
643.65717,39.009525,759.2499,114.62652,0.9980695,0.431915
663.1619,39.009525,777.5775,117.49545,0.99345726,0.67208165
682.6667,39.009525,794.5477,121.05139,0.9743764,0.6614743
702.17145,39.009525,811.4562,123.52548,0.53757626,0.3960189
760.6857,39.009525,863.9282,132.7363,0.9499366,0.30908248
780.1905,39.009525,882.1144,135.57137,0.9963895,0.47614166
799.69525,39.009525,898.74384,139.39436,0.9991116,0.65968174
819.2,39.009525,916.0658,141.51457,0.99558324,0.7157566
858.20953,39.009525,951.4103,147.18369,0.6941186,0.9473822
877.7143,39.009525,968.6551,151.27855,0.653887,0.36392212
897.21906,39.009525,986.37573,154.79622,0.47814223,0.52614015
936.22864,39.009525,1020.7893,160.53459,0.813146,0.6155979
955.7334,39.009525,1038.4263,164.07124,0.93548626,0.70389956
994.7429,39.009525,1073.4412,170.81201,0.97797066,1.1880525
1014.2477,39.009525,1091.3468,172.88539,0.99943835,0.166059
1033.7524,39.009525,1107.9346,175.7744,0.99914074,0.7757399
1053.2572,39.009525,1125.5231,179.42802,0.987801,0.82810104
1072.762,39.009525,1144.0459,182.10255,0.6307318,0.42821556
1111.7715,39.009525,1177.8383,188.99251,0.39530239,1.1083958
1131.2762,39.009525,1194.9894,191.08578,0.9324988,1.0396544
1150.781,39.009525,1213.7383,194.28145,0.9967408,0.25797096
1170.2858,39.009525,1230.6515,196.94138,0.99828607,0.5320023
1189.7905,39.009525,1247.3107,200.23917,0.9844974,1.1183748
1209.2953,39.009525,1266.2468,203.6892,0.48562336,0.40552023
1228.8,39.009525,1283.4476,207.1182,0.85900736,0.5087669
1248.3048,39.009525,1301.0278,209.6535,0.6927318,0.24021287
1267.8096,39.009525,1318.2593,212.77856,0.30763087,0.005150152
1306.8191,39.009525,1352.8766,219.28442,0.82659906,0.4590382
1326.3239,39.009525,1369.5221,222.14171,0.961516,1.1261524
1365.3334,39.009525,1405.1749,228.49263,0.89680606,0.5027767
1384.8381,39.009525,1422.7258,231.42538,0.9992983,0.34667662
1404.3429,39.009525,1440.5635,234.03343,0.99724823,0.30997145
1423.8477,39.009525,1457.9058,237.37204,0.98853034,0.06263899
1443.3524,39.009525,1475.4219,239.8247,0.9368795,0.6680978
1482.3619,39.009525,1509.6316,246.35893,0.8220397,0.76551104
1501.8667,39.009525,1526.8655,249.49171,0.9881243,0.9657585
1521.3715,39.009525,1545.7098,252.5582,0.99868786,0.5118226
1540.8762,39.009525,1562.1058,255.27776,0.9996205,0.8700025
1560.381,39.009525,1580.5283,258.73758,0.99155295,0.4104114
1599.3905,39.009525,1615.1929,264.66702,0.8936543,0.46520808
1618.8953,39.009525,1631.8776,269.03354,0.77756447,1.0833379
1638.4,39.009525,1649.795,270.9323,0.71831876,0.42636803
1677.4095,39.009525,1684.2605,278.0036,0.80701864,0.89847636
1696.9143,39.009525,1702.5424,280.58777,0.9844318,0.13648173
