source_x,source_y,raw_reference_x,raw_reference_y,geometric_reference_x,geometric_reference_y,refined_reference_x,refined_reference_y,phase_response,shift_x,shift_y,raw_gt_error_px,geometric_gt_error_px,refined_gt_error_px
205.7303,174.05164,346.1353,165.9916,346.13824,165.997,346.18814,165.90193,0.95847577,0.04988871,-0.09505645,0.063210204,0.06372084,0.16080014
214.89671,224.3179,346.4154,212.45044,346.4096,212.44653,346.4108,212.5446,0.91801894,0.0011880924,0.098063946,0.067942545,0.063671865,0.09681546
199.35199,148.33104,344.47845,141.96759,344.48816,141.96289,344.46188,141.93846,0.9713548,-0.026267003,-0.024436397,0.053011492,0.06374815,0.057797354
44.43115,251.02199,189.5762,209.42764,189.5791,209.44374,189.62868,209.38257,0.9972618,0.04957544,-0.06117529,0.06833771,0.06326811,0.13734151
284.18985,30.11507,439.11145,49.519985,439.104,49.519115,439.06613,49.53247,0.93878454,-0.03785745,0.013355217,0.07087545,0.06414726,0.02402724
450.93118,123.01831,573.7134,159.02168,573.71875,159.01631,573.76154,159.05191,0.94502354,0.042810842,0.035592575,0.057586744,0.06439549,0.10406849
374.09613,27.03968,520.0743,60.96994,520.08105,60.958805,519.997,60.92078,0.8862346,-0.08402616,-0.038024776,0.054643862,0.064319976,0.06524717
489.73285,150.99359,604.03217,190.17719,604.0409,190.1875,604.06396,190.37608,0.95657974,0.023043562,0.18857756,0.06099972,0.06432718,0.18627998
471.94336,27.003447,607.69366,76.360275,607.68774,76.372986,607.766,76.34761,0.8670347,0.078247204,-0.025373075,0.0751886,0.064570814,0.14679877
708.9719,140.95341,801.9102,215.81187,801.907,215.8088,801.9101,215.82733,0.9424278,0.0031086123,0.018530896,0.06704125,0.06488887,0.06440054
602.2992,170.30959,701.7626,225.25233,701.7704,225.25102,701.8178,225.31383,0.93551564,0.047424756,0.06280696,0.056827765,0.064609885,0.11581156
607.3657,235.88826,695.9452,284.7633,695.9539,284.76227,695.9798,284.67627,0.9723863,0.025891196,-0.08599541,0.055899672,0.06443862,0.13808258
533.51373,162.4792,641.4225,207.39597,641.424,207.38182,641.3616,207.392,0.9423893,-0.062436968,0.010177174,0.059531815,0.064394966,0.011900643
533.51373,162.4792,641.4225,207.39597,641.424,207.38182,641.3616,207.392,0.9423893,-0.062436968,0.010177174,0.059531815,0.064394966,0.011900643
813.54065,7.178323,916.6462,112.54199,916.6437,112.55005,916.4369,112.83774,0.6127757,-0.20681334,0.28768596,0.070658304,0.065309726,0.30312774
888.0775,57.437595,975.4276,169.31038,975.44116,169.31302,975.3546,169.35432,0.9286414,-0.08655025,0.04129957,0.05386184,0.06537526,0.031837985
905.0456,129.63475,979.2303,236.64355,979.2351,236.62854,979.13666,236.66515,0.9736293,-0.09847811,0.03660184,0.0573166,0.06528655,0.03982113
905.0456,129.63475,979.2303,236.64355,979.2351,236.62854,979.13666,236.66515,0.9736293,-0.09847811,0.03660184,0.0573166,0.06528655,0.03982113
825.6488,131.86641,907.81116,226.0795,907.8002,226.09253,907.7899,226.2433,0.9924744,-0.010257613,0.15077837,0.080187865,0.06507677,0.13933763
1078.6885,115.3983,1136.9418,251.29376,1136.942,251.29495,1136.8853,251.23999,0.9711476,-0.056809492,-0.05496722,0.065833606,0.06568168,0.07573944
1270.6743,49.939026,1319.1611,222.9972,1319.1572,222.99823,1319.1204,222.9943,0.9593482,-0.03688383,-0.0039405655,0.070185654,0.06614885,0.035568587
1244.9023,84.71763,1290.5922,250.05986,1290.5939,250.0664,1290.5199,250.02115,0.9497116,-0.07398398,-0.045256253,0.06685066,0.066139534,0.06634564
1244.9023,84.71763,1290.5922,250.05986,1290.5939,250.0664,1290.5199,250.02115,0.9497116,-0.07398398,-0.045256253,0.06685066,0.066139534,0.06634564
1137.0167,18.06372,1204.5348,173.363,1204.5278,173.36102,1204.4691,173.39774,0.79407793,-0.058675934,0.03671799,0.0720431,0.06594221,0.016520696
1419.4441,111.83171,1442.5795,301.8947,1442.5779,301.89514,1442.3832,301.82907,0.946416,-0.19473916,-0.066084355,0.06819941,0.06655705,0.1566253
1419.4441,111.83171,1442.5795,301.8947,1442.5779,301.89514,1442.3832,301.82907,0.946416,-0.19473916,-0.066084355,0.06819941,0.06655705,0.1566253
1475.664,77.10031,1498.389,279.67383,1498.3933,279.67587,1498.5023,279.67575,0.94388336,0.10902396,-0.00011105038,0.06337807,0.06678142,0.17397217
1364.9163,137.98686,1389.6349,316.70953,1389.6311,316.70337,1389.5934,316.8368,0.9646103,-0.03767868,0.13342224,0.06849232,0.066350944,0.11656227
1337.143,107.0394,1369.6569,284.6061,1369.6515,284.61224,1369.602,284.75226,0.95718694,-0.049475335,0.14002968,0.07336548,0.06627997,0.120936945
1709.31,243.54332,1681.2917,465.5773,1681.2975,465.5738,1681.1678,465.64023,0.92400134,-0.12960854,0.066422135,0.060605176,0.06706229,0.08089977
1709.31,243.54332,1681.2917,465.5773,1681.2975,465.5738,1681.1678,465.64023,0.92400134,-0.12960854,0.066422135,0.060605176,0.06706229,0.08089977
1681.1714,224.92522,1659.0488,444.46924,1659.0446,444.46326,1658.853,444.45148,0.9420839,-0.19157748,-0.011775729,0.06976274,0.06697886,0.13078564
1537.8306,164.95247,1540.1804,368.13403,1540.1814,368.14227,1540.2307,368.1023,0.94141465,0.049376808,-0.039967492,0.068579756,0.06665732,0.12768282
1699.3838,181.33667,1682.2269,408.3222,1682.2308,408.3143,1682.0396,408.46414,0.9583556,-0.19130623,0.14984138,0.06150312,0.067113094,0.18243423
