source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
1773.6387,1491.8906,1414.6925,1574.2097,1.0,0.07983856
972.8211,1494.4944,795.3002,1410.3304,1.0,0.045170512
1482.5522,1456.9374,1197.0679,1486.873,1.0,0.13593312
539.2916,687.68463,627.3499,697.0961,1.0,0.05688873
1048.9135,1604.5907,831.43774,1511.1799,1.0,0.1687461
1246.2345,429.40607,1227.2042,643.9099,1.0,0.1310552
539.10675,1731.5435,411.12878,1503.7257,1.0,0.09441214
202.84581,779.79443,348.34637,698.6538,1.0,0.089510575
971.723,393.97717,1022.3738,559.7395,1.0,0.091351934
538.8495,1713.8959,414.71533,1490.0707,1.0,0.22695231
1482.4515,1044.6665,1282.2731,1168.2992,1.0,0.058908507
203.0429,1357.7,228.8225,1145.3074,1.0,0.0826034
971.13727,1970.4891,695.45667,1777.7095,1.0,0.13165587
203.0429,1357.7,228.8225,1145.3074,1.0,0.0826034
1482.4432,798.41736,1333.3152,978.03033,1.0,0.12326206
705.20557,1272.1997,634.5588,1183.1761,1.0,0.06329204
1772.6108,856.8127,1545.416,1083.1428,1.0,0.10110613
1634.3499,1715.1658,1260.8369,1717.843,1.0,0.07303131
970.436,1910.4263,707.39075,1731.2559,1.0,0.090661764
203.41501,1694.5663,159.38179,1405.6565,1.0,0.09343765
538.4946,1453.117,468.30063,1288.4612,1.0,0.08938056
1634.2463,362.91458,1540.7957,672.9042,1.0,0.12059657
969.90967,1565.0106,778.5117,1464.2188,1.0,0.100728795
969.90967,1565.0106,778.5117,1464.2188,1.0,0.100728795
1482.3542,147.69409,1467.8907,475.13037,1.0,0.026103646
1634.2463,362.91458,1540.7957,672.9042,1.0,0.12059657
969.90967,1565.0106,778.5117,1464.2188,1.0,0.100728795
203.56203,531.52814,400.3307,506.9507,1.0,0.11572744
217.26169,1440.9469,222.61603,1212.4504,1.0,0.14465484
1624.2279,84.72771,1590.5767,455.83472,1.0,0.04648797
969.4473,1624.2455,765.8744,1509.9396,1.0,0.0827281
203.70607,433.31195,420.86212,431.08182,1.0,0.19972783
405.6834,1240.193,409.50244,1096.385,1.0,0.17134437
529.6958,1940.1699,360.56403,1663.0189,1.0,0.019207852
217.00287,428.85474,431.98383,430.41077,1.0,0.123757266
217.00287,428.85474,431.98383,430.41077,1.0,0.123757266
721.52985,1074.5001,688.2072,1033.7659,1.0,0.16319989
968.64435,1752.7776,738.6686,1609.0674,1.0,0.110120766
405.96722,354.90503,593.29285,412.36298,1.0,0.102105156
721.52985,1074.5001,688.2072,1033.7659,1.0,0.16319989
405.96722,354.90503,593.29285,412.36298,1.0,0.102105156
1052.2102,450.86563,1072.7794,620.32587,1.0,0.07953499
1384.6193,427.3143,1334.5665,670.9531,1.0,0.123632595
1052.2102,450.86563,1072.7794,620.32587,1.0,0.07953499
1624.303,1721.9801,1251.5477,1720.9528,1.0,0.0967963
1770.1367,683.3348,1579.4415,948.635,1.0,0.102828495
967.4624,604.56555,975.4666,721.5298,1.0,0.08533077
1244.3895,884.22546,1131.5889,995.0269,1.0,0.11314267
1053.5009,1336.0935,890.5043,1304.6586,1.0,0.09637411
966.6061,1046.9454,883.2021,1063.1925,1.0,0.0825107
720.649,654.60425,774.40936,709.1459,1.0,0.105097525
537.895,239.83463,719.0676,350.7965,1.0,0.1045806
1054.6437,189.17877,1128.8888,418.66058,1.0,0.1265647
1769.5378,571.9454,1601.971,862.3361,1.0,0.10166282
406.72278,490.6285,565.7764,517.42755,1.0,0.10267632
1054.6437,189.17877,1128.8888,418.66058,1.0,0.1265647
1633.2449,1365.653,1332.3414,1447.4481,1.0,0.113184
537.6829,1558.3696,445.926,1369.627,1.0,0.13508123
1769.1626,793.1792,1556.0015,1033.4047,1.0,0.18453196
1054.7606,1285.9497,901.9228,1266.1365,1.0,0.16340429
965.66156,1827.3608,720.92145,1666.0658,1.0,0.1141804
537.6829,1558.3696,445.926,1369.627,1.0,0.13508123
537.6829,1558.3696,445.926,1369.627,1.0,0.13508123
205.26102,519.7201,404.05255,498.2034,1.0,0.081793875
965.25494,805.76465,932.13727,876.57513,1.0,0.11340684
205.29796,1602.0626,179.99237,1334.5818,1.0,0.09754123
965.25494,805.76465,932.13727,876.57513,1.0,0.11340684
1625.2903,169.87183,1573.7325,521.7817,1.0,0.08570173
215.2894,998.3507,312.86765,870.1022,1.0,0.24884377
1480.51,1076.1027,1274.298,1192.1705,1.0,0.09021128
707.73486,746.0383,745.51,777.0831,1.0,0.118491374
1480.51,1076.1027,1274.298,1192.1705,1.0,0.09021128
