source_x,source_y,reference_x,reference_y,confidence
1860.8724,556.74023,1873.1537,544.9868,1.0
799.24286,619.3467,811.0092,605.1007,1.0
327.127,262.44064,338.76193,247.75209,1.0
327.127,262.44064,338.76193,247.75209,1.0
435.47632,1987.6942,447.15103,1972.367,1.0
1125.8596,392.51056,1136.8002,379.3196,1.0
891.25354,1109.4138,903.1324,1095.2998,1.0
1430.4752,960.88464,1442.5801,947.9061,1.0
799.8531,1031.5779,812.06805,1017.40784,1.0
1125.9951,825.3726,1137.9073,811.8326,1.0
1431.0697,314.34836,1442.5795,301.8947,1.0
800.68207,81.40539,811.50775,66.986946,1.0
800.9963,117.20007,812.79785,103.1804,1.0
1857.8798,1950.3077,1870.37,1938.3778,1.0
433.8259,594.1284,444.2885,579.1805,1.0
1857.3837,549.10474,1869.6478,537.5322,1.0
1857.3837,549.10474,1869.6478,537.5322,1.0
1187.7008,172.98949,1199.3145,159.8995,1.0
1431.7719,1054.7196,1443.9641,1041.7385,1.0
1854.788,1398.0167,1867.4539,1386.4221,1.0
1854.6112,1389.3202,1866.9941,1377.2074,1.0
1854.6112,1389.3202,1866.9941,1377.2074,1.0
801.7586,1714.0872,813.19446,1700.7473,1.0
1697.2471,1762.8271,1710.2689,1751.296,1.0
1854.1052,123.25608,1866.4534,111.11119,1.0
1853.2909,557.89264,1864.9087,545.9359,1.0
1853.2909,557.89264,1864.9087,545.9359,1.0
1501.4033,598.06,1513.4583,585.4224,1.0
1501.4033,598.06,1513.4583,585.4224,1.0
1187.4905,64.12025,1198.8379,50.86721,1.0
801.8933,1044.5812,814.0845,1030.1475,1.0
1696.1566,545.5057,1707.8204,533.25757,1.0
801.9817,1144.9498,813.4344,1130.5039,1.0
1500.7869,1125.9841,1512.804,1113.0962,1.0
1695.6624,1378.3469,1707.9191,1365.8307,1.0
28.987307,1076.8857,41.03836,1060.9108,1.0
802.9705,511.43613,814.3105,497.20773,1.0
1850.4596,1239.0188,1862.8027,1226.9324,1.0
803.2547,147.07307,815.0403,133.05762,1.0
803.275,1305.2831,815.0718,1290.9838,1.0
430.2904,836.3896,442.13602,821.2202,1.0
429.73117,1285.2727,441.89392,1269.9025,1.0
1848.2517,247.01965,1860.292,235.12325,1.0
1848.2517,247.01965,1860.292,235.12325,1.0
1693.7164,1405.3594,1706.0109,1392.9426,1.0
1434.1555,833.45215,1446.9313,820.51587,1.0
886.61017,1424.4965,898.6839,1410.1495,1.0
33.586685,1282.6273,45.618225,1266.5837,1.0
1846.4034,1397.5677,1858.6975,1385.419,1.0
427.78107,1489.5894,439.76016,1474.3096,1.0
34.134132,1503.0934,46.062843,1487.1031,1.0
34.134132,1503.0934,46.062843,1487.1031,1.0
1844.8872,190.38564,1856.9099,178.55336,1.0
1844.7589,841.3085,1857.0316,829.21954,1.0
885.77936,1106.1807,897.7119,1091.9431,1.0
1844.5271,1010.8748,1856.9607,998.70404,1.0
1184.1205,1039.3784,1195.979,1025.7778,1.0
1436.1884,524.5006,1449.6375,511.3889,1.0
807.5105,145.7598,819.18134,131.66617,1.0
1128.943,1223.1241,1140.7592,1209.3335,1.0
885.2868,360.58243,896.9897,346.55862,1.0
885.19684,809.7715,897.06836,795.8114,1.0
1183.1647,544.90393,1195.0482,531.80084,1.0
1842.3142,1506.3762,1855.1244,1493.5787,1.0
1183.1647,544.90393,1195.0482,531.80084,1.0
1842.1895,993.18427,1854.3308,981.0298,1.0
39.057755,2032.4862,50.922337,2016.1686,1.0
1688.893,1157.4895,1700.917,1144.9514,1.0
1688.6582,1253.1774,1700.8822,1240.6394,1.0
1437.5356,380.85403,1449.3988,368.66855,1.0
