source_x,source_y,reference_x,reference_y,confidence
1806.5,30.5,1818.5,18.5,0.97774863
394.5,36.5,406.5,20.5,0.28650144
190.5,38.5,200.5,22.5,0.9808688
1226.5,38.5,1240.5,24.5,0.97164637
1120.5,40.5,1134.5,28.5,0.99680984
1970.5,42.5,1980.5,32.5,0.9434226
256.5,46.5,268.5,30.5,0.9696259
164.5,50.5,174.5,34.5,0.9947823
1592.5,50.5,1604.5,36.5,0.972602
852.5,60.5,864.5,46.5,0.9967493
1612.5,62.5,1626.5,52.5,0.87647116
1820.5,62.5,1830.5,52.5,0.9815364
222.5,66.5,234.5,52.5,0.9006127
2004.5,66.5,2014.5,54.5,0.9654453
252.5,70.5,264.5,54.5,0.9793931
1964.5,70.5,1976.5,58.5,0.99300194
716.5,72.5,728.5,58.5,0.9984681
474.5,80.5,484.5,66.5,0.99404806
624.5,80.5,638.5,64.5,0.989336
52.5,82.5,64.5,68.5,0.51049817
1084.5,86.5,1098.5,74.5,0.9975707
146.5,88.5,156.5,70.5,0.6367455
1374.5,88.5,1386.5,78.5,0.99401003
402.5,90.5,414.5,76.5,0.99736893
884.5,90.5,896.5,78.5,0.99771667
596.5,92.5,608.5,76.5,0.99941117
558.5,94.5,568.5,80.5,0.99282086
362.5,98.5,376.5,82.5,0.9549115
1000.5,98.5,1012.5,84.5,0.98980725
302.5,106.5,314.5,92.5,0.918885
758.5,106.5,770.5,92.5,0.99187756
386.5,108.5,398.5,94.5,0.9980366
1022.5,108.5,1032.5,94.5,0.9950195
88.5,110.5,100.5,94.5,0.8777354
768.5,110.5,780.5,96.5,0.9844492
326.5,112.5,340.5,96.5,0.6447369
1576.5,120.5,1586.5,108.5,0.9962236
616.5,122.5,626.5,106.5,0.999177
1272.5,124.5,1284.5,114.5,0.98103774
1522.5,124.5,1534.5,114.5,0.9969265
890.5,130.5,902.5,116.5,0.99743485
468.5,134.5,480.5,118.5,0.9883635
304.5,136.5,316.5,122.5,0.99172056
510.5,138.5,522.5,124.5,0.99837035
1194.5,138.5,1208.5,124.5,0.9989412
1704.5,142.5,1716.5,130.5,0.99766487
354.5,146.5,366.5,130.5,0.9985167
64.5,148.5,78.5,132.5,0.7460053
422.5,148.5,434.5,132.5,0.9983218
638.5,150.5,648.5,136.5,0.99639696
148.5,152.5,158.5,136.5,0.98978746
374.5,152.5,388.5,136.5,0.99675524
540.5,152.5,552.5,138.5,0.9988729
870.5,156.5,882.5,142.5,0.9875644
838.5,160.5,848.5,144.5,0.8764227
1078.5,160.5,1090.5,146.5,0.9981918
520.5,164.5,532.5,148.5,0.99473965
1504.5,170.5,1518.5,158.5,0.9981321
926.5,172.5,938.5,160.5,0.98908633
2008.5,182.5,2020.5,170.5,0.9434266
854.5,184.5,866.5,170.5,0.99869287
1534.5,184.5,1546.5,174.5,0.99764085
478.5,186.5,490.5,172.5,0.99632657
670.5,190.5,680.5,176.5,0.9539239
1364.5,190.5,1378.5,176.5,0.9771412
1886.5,192.5,1898.5,180.5,0.99434936
1080.5,194.5,1092.5,180.5,0.9983407
1752.5,194.5,1764.5,182.5,0.90263134
1502.5,198.5,1512.5,184.5,0.99210674
250.5,204.5,262.5,188.5,0.9979289
538.5,206.5,552.5,190.5,0.9985843
574.5,206.5,586.5,190.5,0.9959007
1764.5,206.5,1776.5,192.5,0.8552948
1348.5,212.5,1360.5,200.5,0.9985302
1462.5,214.5,1474.5,202.5,0.98167145
796.5,222.5,808.5,210.5,0.99940723
1368.5,222.5,1380.5,210.5,0.996242
868.5,226.5,880.5,212.5,0.99956185
498.5,228.5,510.5,212.5,0.99630004
222.5,232.5,232.5,216.5,0.9984424
406.5,248.5,418.5,232.5,0.9071591
1002.5,254.5,1012.5,240.5,0.9962061
1942.5,254.5,1956.5,242.5,0.99742985
1290.5,256.5,1302.5,244.5,0.9981342
110.5,258.5,122.5,242.5,0.9669441
1612.5,258.5,1624.5,246.5,0.99881434
218.5,260.5,232.5,244.5,0.9957046
1686.5,264.5,1698.5,252.5,0.99358827
1150.5,266.5,1160.5,252.5,0.9994509
472.5,268.5,486.5,254.5,0.999005
450.5,270.5,462.5,254.5,0.9986635
1170.5,272.5,1180.5,260.5,0.9959636
884.5,276.5,894.5,264.5,0.99919355
1470.5,276.5,1480.5,264.5,0.9991316
620.5,280.5,630.5,266.5,0.9992141
1784.5,284.5,1798.5,274.5,0.6812382
496.5,286.5,506.5,270.5,0.9978523
1446.5,286.5,1458.5,274.5,0.99064136
72.5,288.5,84.5,274.5,0.90854615
582.5,288.5,594.5,272.5,0.9983904
446.5,292.5,458.5,276.5,0.9975231
1780.5,294.5,1794.5,284.5,0.5187713
1996.5,294.5,2010.5,282.5,0.97438914
1934.5,296.5,1946.5,284.5,0.99803764
876.5,302.5,888.5,290.5,0.9897114
1780.5,308.5,1790.5,296.5,0.9282316
1962.5,312.5,1976.5,300.5,0.9967353
74.5,314.5,86.5,298.5,0.97499526
1258.5,318.5,1272.5,304.5,0.9976075
352.5,320.5,362.5,304.5,0.99242336
1414.5,320.5,1426.5,308.5,0.9980474
110.5,322.5,122.5,306.5,0.9981127
1840.5,326.5,1852.5,314.5,0.94277006
874.5,328.5,886.5,316.5,0.99956566
696.5,330.5,710.5,314.5,0.969433
728.5,334.5,742.5,320.5,0.62177885
278.5,338.5,290.5,322.5,0.998437
1408.5,342.5,1420.5,330.5,0.9996429
310.5,344.5,322.5,328.5,0.99766254
1100.5,344.5,1112.5,332.5,0.924962
1218.5,344.5,1230.5,330.5,0.99814713
192.5,348.5,204.5,332.5,0.9911475
1392.5,348.5,1402.5,334.5,0.9995308
140.5,350.5,152.5,334.5,0.9401075
1804.5,354.5,1816.5,342.5,0.72680914
1968.5,356.5,1980.5,344.5,0.9987581
1024.5,358.5,1036.5,346.5,0.9997373
116.5,360.5,128.5,342.5,0.9950134
1510.5,360.5,1522.5,348.5,0.9983088
1998.5,360.5,2010.5,350.5,0.997446
56.5,364.5,70.5,348.5,0.93868375
776.5,370.5,788.5,356.5,0.99731284
158.5,378.5,172.5,362.5,0.98664796
746.5,382.5,758.5,366.5,0.9882497
1192.5,386.5,1204.5,370.5,0.993129
1784.5,386.5,1798.5,374.5,0.5809719
1244.5,388.5,1254.5,376.5,0.9992951
1762.5,392.5,1774.5,380.5,0.9539747
126.5,394.5,138.5,378.5,0.99722284
1494.5,398.5,1506.5,384.5,0.99927455
654.5,406.5,664.5,390.5,0.9992349
1828.5,408.5,1838.5,396.5,0.98437005
2010.5,410.5,2022.5,400.5,0.9900634
1998.5,412.5,2012.5,402.5,0.92697555
140.5,414.5,150.5,398.5,0.9529397
416.5,414.5,428.5,396.5,0.8158628
1166.5,414.5,1180.5,400.5,0.98838294
166.5,416.5,176.5,400.5,0.7925187
406.5,418.5,418.5,400.5,0.9752517
330.5,420.5,342.5,406.5,0.9762236
1072.5,420.5,1086.5,406.5,0.9991915
1132.5,420.5,1146.5,406.5,0.9983078
1432.5,420.5,1444.5,408.5,0.99975514
470.5,422.5,484.5,406.5,0.9994328
950.5,426.5,962.5,412.5,0.99964345
1470.5,426.5,1482.5,414.5,0.9908146
1460.5,428.5,1472.5,416.5,0.96219426
1978.5,428.5,1990.5,418.5,0.99523026
64.5,430.5,76.5,414.5,0.8863513
320.5,432.5,332.5,414.5,0.9251178
130.5,434.5,142.5,420.5,0.9871166
1700.5,444.5,1712.5,430.5,0.9908133
822.5,448.5,834.5,436.5,0.99969476
670.5,452.5,682.5,438.5,0.99923205
1526.5,454.5,1540.5,442.5,0.9982843
1738.5,454.5,1750.5,442.5,0.9892552
1236.5,456.5,1248.5,444.5,0.98669595
42.5,458.5,54.5,442.5,0.88586515
792.5,462.5,802.5,448.5,0.998574
972.5,462.5,984.5,448.5,0.84160644
982.5,462.5,994.5,448.5,0.9364641
992.5,462.5,1004.5,450.5,0.97287166
84.5,464.5,96.5,448.5,0.98653203
1004.5,464.5,1014.5,448.5,0.99780023
142.5,468.5,154.5,452.5,0.99438924
872.5,468.5,884.5,454.5,0.99924517
1570.5,470.5,1582.5,458.5,0.9985909
2014.5,472.5,2028.5,460.5,0.9963659
638.5,478.5,648.5,464.5,0.99968535
756.5,480.5,768.5,468.5,0.9347401
418.5,484.5,430.5,470.5,0.9977783
902.5,484.5,914.5,468.5,0.99663377
1474.5,484.5,1486.5,472.5,0.9993673
1494.5,484.5,1506.5,472.5,0.9991665
756.5,490.5,768.5,478.5,0.9674342
1518.5,490.5,1530.5,480.5,0.9991682
1786.5,492.5,1798.5,478.5,0.6306082
176.5,494.5,188.5,480.5,0.8778069
1682.5,494.5,1694.5,482.5,0.9985798
1706.5,494.5,1718.5,482.5,0.99897057
596.5,500.5,606.5,484.5,0.99899346
1070.5,502.5,1080.5,490.5,0.9977073
1790.5,502.5,1802.5,488.5,0.8146478
510.5,504.5,522.5,490.5,0.9997237
196.5,506.5,208.5,492.5,0.99482334
118.5,510.5,128.5,494.5,0.9988945
874.5,510.5,884.5,496.5,0.99650013
948.5,510.5,960.5,496.5,0.9975844
1026.5,510.5,1038.5,496.5,0.9951957
818.5,514.5,830.5,500.5,0.99953073
1866.5,514.5,1878.5,504.5,0.99699664
1350.5,516.5,1360.5,504.5,0.99788696
406.5,526.5,418.5,510.5,0.99937624
1108.5,526.5,1120.5,514.5,0.9833897
1280.5,528.5,1294.5,514.5,0.9954127
184.5,530.5,196.5,516.5,0.9766208
1096.5,534.5,1110.5,522.5,0.9893337
1920.5,536.5,1932.5,524.5,0.99904305
1942.5,536.5,1956.5,526.5,0.9988613
64.5,542.5,76.5,526.5,0.9904137
202.5,542.5,214.5,526.5,0.9986527
1060.5,542.5,1072.5,530.5,0.9995338
1692.5,542.5,1704.5,532.5,0.9989877
1974.5,542.5,1986.5,530.5,0.99881
960.5,544.5,972.5,530.5,0.9716411
498.5,546.5,510.5,532.5,0.9990263
1462.5,548.5,1474.5,536.5,0.9991679
1634.5,552.5,1648.5,540.5,0.99901515
440.5,554.5,452.5,540.5,0.9986228
1370.5,554.5,1382.5,540.5,0.96312267
1582.5,554.5,1594.5,542.5,0.9969212
92.5,556.5,104.5,540.5,0.99212974
676.5,558.5,686.5,544.5,0.95993954
1342.5,562.5,1352.5,548.5,0.9866761
1790.5,570.5,1802.5,558.5,0.8960105
2006.5,576.5,2018.5,566.5,0.8687366
1052.5,578.5,1064.5,562.5,0.9987856
872.5,588.5,886.5,574.5,0.9987332
760.5,590.5,772.5,576.5,0.9996323
892.5,590.5,902.5,576.5,0.99760103
1032.5,590.5,1044.5,574.5,0.99915624
360.5,594.5,372.5,576.5,0.9977393
854.5,594.5,864.5,580.5,0.9992981
1670.5,596.5,1680.5,584.5,0.9995387
1318.5,604.5,1328.5,592.5,0.999573
502.5,606.5,514.5,590.5,0.9994633
456.5,608.5,470.5,594.5,0.99761313
1702.5,610.5,1712.5,600.5,0.99621177
36.5,616.5,48.5,600.5,0.10863187
784.5,616.5,794.5,602.5,0.998957
862.5,618.5,874.5,606.5,0.9992902
424.5,620.5,438.5,604.5,0.9916904
1442.5,620.5,1454.5,606.5,0.99418336
896.5,624.5,908.5,608.5,0.99897325
1288.5,624.5,1298.5,612.5,0.9786273
1096.5,626.5,1110.5,612.5,0.99909216
60.5,628.5,74.5,610.5,0.5933618
144.5,628.5,156.5,612.5,0.9687869
118.5,630.5,130.5,614.5,0.98860246
332.5,632.5,342.5,618.5,0.99826187
454.5,632.5,466.5,616.5,0.9932686
1060.5,634.5,1070.5,620.5,0.9987545
1370.5,638.5,1382.5,624.5,0.90921384
1380.5,638.5,1392.5,624.5,0.90386945
1306.5,642.5,1316.5,630.5,0.98905313
476.5,644.5,488.5,628.5,0.99893725
372.5,648.5,384.5,632.5,0.968702
1716.5,648.5,1728.5,636.5,0.997858
596.5,652.5,606.5,638.5,0.99788934
966.5,654.5,978.5,640.5,0.9973254
1782.5,656.5,1796.5,644.5,0.9989697
1040.5,660.5,1054.5,648.5,0.99970853
58.5,666.5,72.5,650.5,0.38356596
138.5,666.5,152.5,650.5,0.9963376
1814.5,666.5,1828.5,654.5,0.99964595
1080.5,668.5,1092.5,654.5,0.9996309
164.5,670.5,176.5,654.5,0.99945617
186.5,670.5,198.5,654.5,0.9657534
544.5,672.5,554.5,656.5,0.98616713
764.5,674.5,776.5,658.5,0.99929345
1012.5,674.5,1024.5,662.5,0.9473546
238.5,676.5,248.5,660.5,0.9968212
282.5,676.5,296.5,660.5,0.9798175
1650.5,678.5,1660.5,664.5,0.9982172
1960.5,680.5,1972.5,670.5,0.99914765
1608.5,682.5,1622.5,668.5,0.9965898
358.5,686.5,370.5,672.5,0.99955755
1888.5,690.5,1902.5,678.5,0.99361545
1066.5,696.5,1078.5,682.5,0.9997913
1244.5,696.5,1256.5,682.5,0.9876918
118.5,698.5,130.5,680.5,0.9860224
166.5,700.5,178.5,686.5,0.9992614
1102.5,700.5,1116.5,686.5,0.9993061
1462.5,704.5,1476.5,692.5,0.9784759
1394.5,706.5,1406.5,692.5,0.9991522
226.5,708.5,238.5,692.5,0.99869865
448.5,708.5,462.5,694.5,0.99950033
1012.5,712.5,1026.5,698.5,0.9984558
1300.5,714.5,1312.5,702.5,0.99937755
1678.5,716.5,1692.5,702.5,0.99959666
886.5,718.5,898.5,704.5,0.99963886
920.5,718.5,930.5,704.5,0.9996539
1748.5,718.5,1760.5,706.5,0.99922955
1912.5,718.5,1926.5,706.5,0.99885446
1802.5,730.5,1814.5,718.5,0.9989362
1652.5,732.5,1664.5,718.5,0.99735516
318.5,736.5,330.5,720.5,0.9993992
416.5,736.5,428.5,720.5,0.9997165
1408.5,740.5,1422.5,728.5,0.99693835
1540.5,742.5,1552.5,730.5,0.99933445
910.5,748.5,922.5,734.5,0.9976412
1278.5,748.5,1290.5,736.5,0.9926983
130.5,750.5,142.5,734.5,0.99795175
1342.5,750.5,1356.5,736.5,0.99919236
1092.5,752.5,1104.5,740.5,0.9995949
304.5,754.5,316.5,738.5,0.9979591
480.5,756.5,494.5,740.5,0.99927866
1058.5,756.5,1070.5,744.5,0.9996258
1116.5,762.5,1130.5,750.5,0.9961494
786.5,766.5,798.5,750.5,0.9969188
1162.5,768.5,1174.5,756.5,0.9763283
1128.5,770.5,1142.5,756.5,0.9954851
1238.5,776.5,1248.5,764.5,0.850483
352.5,778.5,366.5,764.5,0.9961408
1530.5,778.5,1542.5,766.5,0.99491173
1704.5,782.5,1716.5,770.5,0.9977195
144.5,786.5,156.5,770.5,0.756851
1088.5,786.5,1098.5,774.5,0.9988317
268.5,790.5,280.5,772.5,0.65758175
1308.5,792.5,1320.5,778.5,0.99914277
1154.5,794.5,1164.5,780.5,0.9966754
1172.5,804.5,1186.5,790.5,0.9825999
922.5,808.5,932.5,794.5,0.9995968
1482.5,810.5,1496.5,798.5,0.9993343
1742.5,810.5,1754.5,798.5,0.9654632
890.5,812.5,900.5,796.5,0.9996939
1656.5,812.5,1668.5,800.5,0.99963605
1732.5,812.5,1744.5,798.5,0.9896391
186.5,814.5,198.5,798.5,0.9919825
296.5,814.5,308.5,798.5,0.99868083
1688.5,818.5,1698.5,804.5,0.9986555
2000.5,818.5,2012.5,806.5,0.99722844
1006.5,820.5,1018.5,808.5,0.9973502
1204.5,820.5,1218.5,806.5,0.8941359
1032.5,826.5,1046.5,812.5,0.9997141
1068.5,830.5,1080.5,816.5,0.9983154
380.5,832.5,392.5,818.5,0.99689436
1296.5,832.5,1308.5,820.5,0.9620442
944.5,834.5,958.5,820.5,0.99813896
1444.5,836.5,1456.5,824.5,0.99685377
418.5,838.5,430.5,822.5,0.9984865
806.5,838.5,820.5,822.5,0.99568117
1600.5,840.5,1612.5,826.5,0.99950504
1260.5,842.5,1272.5,828.5,0.9376397
1240.5,844.5,1254.5,830.5,0.8322621
1642.5,846.5,1654.5,832.5,0.99954677
1388.5,850.5,1398.5,836.5,0.9625006
972.5,856.5,982.5,842.5,0.99834335
1338.5,856.5,1350.5,844.5,0.9976124
1164.5,858.5,1176.5,844.5,0.9984439
60.5,860.5,74.5,842.5,0.6130549
584.5,860.5,596.5,844.5,0.9994674
1434.5,866.5,1446.5,854.5,0.94434226
1512.5,866.5,1522.5,854.5,0.96100706
1186.5,868.5,1198.5,854.5,0.9970924
1244.5,868.5,1254.5,856.5,0.993548
1142.5,874.5,1154.5,862.5,0.9997468
1210.5,874.5,1224.5,862.5,0.99732244
1384.5,874.5,1396.5,860.5,0.99942106
1732.5,874.5,1746.5,864.5,0.99843097
1112.5,878.5,1124.5,864.5,0.9984236
1460.5,878.5,1472.5,866.5,0.99142945
1620.5,878.5,1634.5,866.5,0.9991841
1648.5,878.5,1660.5,868.5,0.9993392
1678.5,880.5,1692.5,866.5,0.9984458
364.5,882.5,376.5,866.5,0.989846
1572.5,882.5,1586.5,872.5,0.99740034
302.5,884.5,314.5,866.5,0.99803483
814.5,884.5,826.5,870.5,0.9983128
1582.5,886.5,1596.5,874.5,0.9880627
1942.5,886.5,1954.5,874.5,0.9461269
1228.5,888.5,1242.5,874.5,0.9943936
1350.5,890.5,1362.5,876.5,0.99866545
330.5,892.5,342.5,876.5,0.9982368
1492.5,894.5,1502.5,882.5,0.9990672
1998.5,894.5,2012.5,882.5,0.9865732
1272.5,898.5,1284.5,886.5,0.9650119
1386.5,898.5,1398.5,884.5,0.9979085
140.5,902.5,152.5,886.5,0.96005404
1256.5,902.5,1268.5,890.5,0.9673869
158.5,904.5,172.5,888.5,0.97221833
900.5,908.5,912.5,896.5,0.9947078
1150.5,912.5,1162.5,898.5,0.8504173
1462.5,914.5,1476.5,902.5,0.99853903
1204.5,918.5,1218.5,904.5,0.81781477
1374.5,920.5,1384.5,908.5,0.998324
1880.5,922.5,1894.5,910.5,0.9968802
1200.5,928.5,1212.5,916.5,0.2826138
1262.5,928.5,1276.5,914.5,0.7506424
1424.5,928.5,1436.5,916.5,0.9995693
1446.5,928.5,1456.5,916.5,0.9992999
1686.5,930.5,1698.5,916.5,0.996862
1482.5,932.5,1496.5,918.5,0.9952058
1610.5,932.5,1622.5,920.5,0.99791205
516.5,934.5,526.5,920.5,0.97136116
1784.5,934.5,1796.5,924.5,0.99931186
254.5,936.5,264.5,920.5,0.8044245
1400.5,936.5,1412.5,924.5,0.99908227
1528.5,946.5,1538.5,934.5,0.9989253
818.5,950.5,830.5,936.5,0.99982
1928.5,950.5,1942.5,938.5,0.9846303
1306.5,954.5,1318.5,940.5,0.8932373
1688.5,954.5,1702.5,940.5,0.9996124
1582.5,958.5,1594.5,946.5,0.9995372
1430.5,962.5,1440.5,948.5,0.99884605
1564.5,962.5,1576.5,948.5,0.9995706
1180.5,964.5,1194.5,950.5,0.9037373
250.5,972.5,264.5,956.5,0.96314085
1242.5,972.5,1254.5,960.5,0.9703154
694.5,978.5,706.5,962.5,0.99954975
1258.5,982.5,1272.5,968.5,0.90838385
582.5,984.5,594.5,970.5,0.99914974
1314.5,986.5,1326.5,970.5,0.9290653
436.5,988.5,448.5,972.5,0.9643212
816.5,988.5,828.5,974.5,0.99981314
1772.5,990.5,1786.5,978.5,0.99807733
1392.5,992.5,1402.5,978.5,0.99237436
1412.5,994.5,1424.5,980.5,0.9954889
1370.5,1002.5,1384.5,988.5,0.99869496
460.5,1004.5,474.5,990.5,0.960488
1544.5,1004.5,1556.5,992.5,0.9967082
1870.5,1004.5,1884.5,992.5,0.9985563
1590.5,1006.5,1602.5,992.5,0.9994371
1934.5,1006.5,1946.5,996.5,0.9902863
1464.5,1010.5,1476.5,998.5,0.9996276
414.5,1012.5,424.5,996.5,0.99353075
1238.5,1014.5,1250.5,1002.5,0.931758
1268.5,1014.5,1278.5,1000.5,0.23167408
1350.5,1018.5,1360.5,1006.5,0.99387383
1192.5,1020.5,1204.5,1008.5,0.95823675
1218.5,1020.5,1228.5,1006.5,0.9519769
1430.5,1020.5,1444.5,1008.5,0.9979925
306.5,1022.5,318.5,1006.5,0.95436454
1686.5,1028.5,1700.5,1016.5,0.99817705
1466.5,1030.5,1480.5,1018.5,0.99914485
1798.5,1030.5,1808.5,1018.5,0.9881928
1306.5,1032.5,1316.5,1018.5,0.98496413
1602.5,1032.5,1612.5,1022.5,0.99601895
1402.5,1034.5,1414.5,1022.5,0.9857371
428.5,1036.5,438.5,1022.5,0.99922365
1532.5,1036.5,1542.5,1024.5,0.8001665
486.5,1040.5,498.5,1026.5,0.99941784
1344.5,1040.5,1356.5,1026.5,0.9944787
2002.5,1040.5,2014.5,1028.5,0.9983987
1284.5,1044.5,1296.5,1032.5,0.92072654
534.5,1046.5,546.5,1032.5,0.9885531
1464.5,1052.5,1478.5,1040.5,0.99977356
1294.5,1054.5,1308.5,1040.5,0.7235588
1022.5,1056.5,1034.5,1042.5,0.9975693
1326.5,1056.5,1340.5,1042.5,0.9988996
782.5,1058.5,796.5,1042.5,0.9978136
866.5,1058.5,880.5,1044.5,0.99983644
274.5,1060.5,286.5,1046.5,0.83280563
1648.5,1060.5,1658.5,1048.5,0.9812759
1488.5,1064.5,1500.5,1050.5,0.9997515
1510.5,1068.5,1522.5,1054.5,0.99909985
86.5,1070.5,98.5,1054.5,0.9949261
584.5,1070.5,596.5,1052.5,0.99807495
1380.5,1070.5,1390.5,1056.5,0.9983759
1420.5,1070.5,1432.5,1058.5,0.9996657
1756.5,1070.5,1768.5,1056.5,0.9938142
1974.5,1074.5,1988.5,1062.5,0.99773335
256.5,1076.5,268.5,1058.5,0.93861604
1616.5,1078.5,1626.5,1066.5,0.9994918
1936.5,1080.5,1948.5,1066.5,0.9983515
952.5,1086.5,962.5,1070.5,0.6858883
394.5,1088.5,406.5,1074.5,0.994659
1444.5,1090.5,1456.5,1080.5,0.99866384
1950.5,1092.5,1964.5,1080.5,0.9980627
216.5,1096.5,228.5,1080.5,0.99956846
1530.5,1096.5,1544.5,1084.5,0.9994748
1228.5,1098.5,1242.5,1086.5,0.9981788
1784.5,1098.5,1794.5,1086.5,0.9964361
1404.5,1104.5,1416.5,1092.5,0.9985128
618.5,1114.5,630.5,1100.5,0.9991832
1434.5,1114.5,1448.5,1100.5,0.9995898
1204.5,1116.5,1218.5,1102.5,0.9903259
