source_x,source_y,reference_x,reference_y,confidence
78.01905,58.51429,90.64779,43.14817,0.62526834
156.0381,58.51429,168.46045,42.631615,0.8561324
175.54286,58.51429,189.68358,42.175476,0.70627844
195.04762,58.51429,208.00197,43.469418,0.547043
214.55238,58.51429,225.90741,43.149326,0.3835265
234.05716,58.51429,246.17216,43.02442,0.7766255
253.56192,58.51429,266.4098,43.14497,0.6115752
273.06668,58.51429,285.57797,43.51248,0.5217294
370.59048,58.51429,384.24213,44.225624,0.21025208
390.09525,58.51429,404.48135,44.15349,0.3855098
409.6,58.51429,424.23837,43.831745,0.66077375
429.10477,58.51429,440.8685,44.0213,0.7054338
448.60953,58.51429,460.22174,42.904953,0.8588402
468.11432,58.51429,481.31894,43.726696,0.8126751
487.61908,58.51429,500.65967,43.369347,0.93044245
507.12384,58.51429,519.394,43.813725,0.88360155
526.6286,58.51429,538.1961,44.29028,0.8348939
546.13336,58.51429,558.2551,44.080757,0.90499926
565.6381,58.51429,576.9164,44.342487,0.94176775
585.1429,58.51429,597.6146,43.825333,0.8716599
604.64764,58.51429,617.05896,44.085434,0.75725317
624.1524,58.51429,635.8065,43.915394,0.65321547
643.65717,58.51429,655.7683,43.79616,0.93690413
663.1619,58.51429,676.42596,44.23335,0.7435191
682.6667,58.51429,694.3527,44.802113,0.80470663
702.17145,58.51429,713.62115,44.48124,0.8880475
721.6762,58.51429,734.31665,43.978825,0.78397006
741.18097,58.51429,754.28595,44.446495,0.9820025
760.6857,58.51429,772.4908,44.385006,0.8810108
780.1905,58.51429,791.201,44.622776,0.40562293
799.69525,58.51429,810.91455,44.08259,0.63668203
819.2,58.51429,830.6363,44.38058,0.92388403
838.7048,58.51429,850.29126,44.069435,0.8084727
858.20953,58.51429,870.7125,44.387066,0.9534908
877.7143,58.51429,890.7301,44.92237,0.9792282
897.21906,58.51429,908.47076,44.123726,0.9911429
916.7238,58.51429,928.5541,44.44458,0.94741553
936.22864,58.51429,948.3976,45.2415,0.93522304
955.7334,58.51429,967.2933,45.51377,0.91131604
975.23816,58.51429,987.38434,44.537968,0.90893614
994.7429,58.51429,1007.11487,44.993687,0.74622804
1014.2477,58.51429,1027.1378,45.455757,0.60771835
1033.7524,58.51429,1046.1754,44.026196,0.6900571
1072.762,58.51429,1085.1268,45.503944,0.82733446
1092.2667,58.51429,1104.8827,44.744465,0.98295665
1111.7715,58.51429,1124.0657,45.869026,0.92107284
1131.2762,58.51429,1145.6931,45.127647,0.80940807
1150.781,58.51429,1163.1692,45.654488,0.9526074
1170.2858,58.51429,1182.9525,45.60654,0.5578044
1189.7905,58.51429,1202.5177,45.52713,0.72074735
1209.2953,58.51429,1221.8965,45.649155,0.93525213
1228.8,58.51429,1240.5973,45.73031,0.83300626
1248.3048,58.51429,1260.6542,45.237514,0.90503806
1267.8096,58.51429,1281.0305,45.58626,0.77857924
1287.3143,58.51429,1300.2852,44.408783,0.82844466
1306.8191,58.51429,1320.4686,44.704735,0.69723386
1326.3239,58.51429,1339.3107,45.20218,0.79317856
