source_x,source_y,reference_x,reference_y,confidence
1479.9835,325.0823,1491.8223,312.771,1.0
430.38254,836.5454,442.25873,821.3523,1.0
626.6469,1260.2482,638.565,1245.3972,1.0
358.21506,773.73895,370.27972,758.42224,1.0
398.65088,1399.2571,410.97626,1384.3259,1.0
938.4624,999.43115,950.3124,985.3135,1.0
1473.7081,487.19495,1485.594,474.73022,1.0
357.0254,1497.3069,369.02103,1481.9127,1.0
1473.2638,1030.7704,1485.4369,1017.8872,1.0
700.3167,1625.2079,712.3333,1610.5337,1.0
1473.2638,1030.7704,1485.4369,1017.8872,1.0
1473.2638,1030.7704,1485.4369,1017.8872,1.0
1471.5939,787.96497,1483.7885,775.1328,1.0
708.9729,1680.7699,720.90015,1666.0802,1.0
1469.5668,358.10965,1481.6693,345.70126,1.0
1573.0813,1065.9897,1585.4094,1053.2539,1.0
1484.2584,349.41122,1496.2786,337.15176,1.0
1466.3866,1012.3359,1478.6422,999.44666,1.0
1462.9363,739.8975,1475.086,727.0389,1.0
1462.504,916.979,1475.0933,904.1559,1.0
966.2513,190.66203,977.8428,177.06047,1.0
696.0926,1829.1067,707.9919,1814.2787,1.0
1462.3527,1259.5375,1474.4587,1246.5978,1.0
717.137,507.48694,728.9665,493.21198,1.0
717.137,507.48694,728.9665,493.21198,1.0
1459.565,1472.9736,1471.606,1460.1876,1.0
1935.7769,296.7117,1948.1274,285.0345,1.0
1453.7919,1107.9106,1465.9075,1094.8289,1.0
1574.3093,116.616974,1586.098,103.99331,1.0
1453.5984,377.10904,1466.174,365.18924,1.0
1453.4713,1921.5355,1465.9467,1908.4934,1.0
1453.0177,423.18045,1465.4805,410.87054,1.0
1444.5734,1456.4202,1456.6772,1443.4194,1.0
730.2777,1372.8379,742.27167,1358.118,1.0
730.2777,1372.8379,742.27167,1358.118,1.0
573.9,790.7867,585.932,776.06665,1.0
94.65722,1830.0416,106.62366,1814.1754,1.0
343.26062,1475.8883,355.2826,1460.485,1.0
694.0345,1334.291,705.8935,1319.6047,1.0
149.7025,851.23083,161.11945,835.88165,1.0
967.2493,690.08044,979.11835,676.27856,1.0
733.6108,791.45056,745.5078,777.18146,1.0
1944.3501,1253.1547,1956.7827,1241.1317,1.0
1944.3501,1253.1547,1956.7827,1241.1317,1.0
906.5502,1653.0419,918.8507,1638.5927,1.0
1945.2151,1177.7642,1957.7638,1165.6709,1.0
941.7694,379.735,954.94745,365.9236,1.0
967.5625,1662.4579,979.55994,1648.2885,1.0
735.2219,1587.5304,747.5824,1572.9843,1.0
736.5259,1776.9843,748.6808,1762.1958,1.0
967.5625,1662.4579,979.55994,1648.2885,1.0
736.62634,1452.3666,748.79584,1437.7327,1.0
96.321976,725.0397,108.0679,709.326,1.0
433.04327,622.0642,444.87405,606.88086,1.0
151.06415,1233.9828,162.96236,1218.0759,1.0
1827.914,563.30145,1840.0044,551.38556,1.0
1954.0251,1091.9192,1966.6969,1080.0496,1.0
690.00397,1541.8531,702.4042,1527.1016,1.0
1578.8146,1223.6423,1590.8622,1211.0417,1.0
402.44553,1316.0347,413.71426,1300.8496,1.0
689.8761,1376.2681,701.8502,1361.6244,1.0
968.2048,857.6625,980.05945,843.7569,1.0
1125.9596,825.4264,1137.8773,811.8323,1.0
333.36224,2034.6147,345.5609,2019.1353,1.0
1425.0159,748.31226,1437.1355,735.37,1.0
1425.0159,748.31226,1437.1355,735.37,1.0
332.80698,156.94025,344.43985,142.00693,1.0
745.838,1348.8253,757.3583,1334.114,1.0
745.838,1348.8253,757.3583,1334.114,1.0
1423.7599,836.1329,1436.0062,823.23566,1.0
1422.5814,1357.0935,1434.7317,1344.025,1.0
747.58105,1491.3608,759.7748,1476.7517,1.0
403.07043,1980.4832,415.2765,1965.062,1.0
330.92108,975.56116,343.04877,960.2013,1.0
688.37366,569.89264,700.8977,556.5733,1.0
1961.274,548.3826,1973.6149,536.62036,1.0
968.555,1264.1425,980.61926,1250.1113,1.0
752.13086,1850.7627,764.1356,1836.0524,1.0
1962.9412,1133.7532,1975.4004,1122.0469,1.0
1415.1295,494.39142,1426.9629,481.7819,1.0
754.1289,1524.7169,766.1067,1509.9443,1.0
754.3115,804.5416,766.30194,790.2414,1.0
327.50296,440.9251,339.80704,425.78152,1.0
100.201996,1807.6915,112.18397,1791.7277,1.0
757.09155,2016.801,769.1832,2002.0983,1.0
33.64738,1282.6761,45.69075,1266.6838,1.0
758.0472,1191.5428,769.9129,1176.8677,1.0
1409.0012,294.19513,1420.6381,281.78012,1.0
1409.0012,294.19513,1420.6381,281.78012,1.0
1408.4644,1153.3885,1420.3868,1140.3796,1.0
685.20135,663.67554,697.09796,649.2326,1.0
1641.9408,787.79236,1654.2227,775.3789,1.0
1641.9408,787.79236,1654.2227,775.3789,1.0
1642.1243,844.8774,1654.2694,832.2092,1.0
1403.9757,299.57425,1415.5325,287.07498,1.0
1403.099,372.33255,1414.9542,359.5995,1.0
1970.1625,223.4739,1982.5112,211.86247,1.0
1401.2848,333.49606,1412.1074,320.38986,1.0
322.21143,246.50638,333.78528,231.39204,1.0
1397.9197,937.3441,1409.8497,924.39954,1.0
1972.4523,262.6054,1984.542,251.06316,1.0
1206.023,1315.5077,1218.0206,1301.8756,1.0
1206.023,1315.5077,1218.0206,1301.8756,1.0
1972.4594,543.10724,1984.9309,531.5509,1.0
767.50854,1305.297,779.50275,1290.6984,1.0
681.866,562.9288,693.91583,548.72363,1.0
615.9606,342.2828,627.5333,327.67337,1.0
316.59338,973.4224,328.57944,958.0045,1.0
615.6705,1278.9371,627.6323,1264.0605,1.0
316.37476,331.32816,328.09302,316.0786,1.0
1157.4989,276.75333,1169.4713,263.4601,1.0
1157.4989,276.75333,1169.4713,263.4601,1.0
1391.3115,373.7414,1403.9685,361.29874,1.0
772.64185,1379.0739,784.6968,1364.4913,1.0
1500.8954,1125.8453,1512.8727,1112.9551,1.0
1500.8954,1125.8453,1512.8727,1112.9551,1.0
1388.614,1957.5226,1400.8975,1944.1937,1.0
314.5176,248.34882,326.77866,232.92868,1.0
679.65027,1874.2405,691.5963,1859.522,1.0
1585.5612,1184.1597,1597.3931,1171.2909,1.0
1645.0463,1059.7289,1657.2034,1047.1299,1.0
1645.1034,716.7,1657.3738,704.11896,1.0
105.50882,441.83514,117.441605,426.2329,1.0
776.0563,372.28134,787.3722,358.06345,1.0
678.7758,1005.7459,690.8568,991.0537,1.0
1386.4795,900.8726,1398.5996,887.7761,1.0
1386.4795,900.8726,1398.5996,887.7761,1.0
945.95575,1178.6569,957.6767,1164.6998,1.0
565.8632,433.75018,577.79175,419.15454,1.0
677.3158,1318.7891,689.13916,1303.8774,1.0
612.7551,645.38306,624.3706,631.337,1.0
612.23804,1396.3092,624.3302,1381.3994,1.0
1647.0819,892.3595,1659.2847,879.7611,1.0
1821.9263,1251.2916,1834.2053,1239.2007,1.0
787.4379,763.3935,799.5954,749.0935,1.0
437.87256,557.7587,449.81683,543.1078,1.0
564.54895,1146.6896,576.4783,1131.6621,1.0
1647.5994,882.09515,1659.699,869.57495,1.0
676.1206,2007.5116,688.3093,1992.5706,1.0
1991.2129,720.5221,2003.7324,708.84436,1.0
1991.2129,720.5221,2003.7324,708.84436,1.0
789.5592,407.05893,801.35455,392.92496,1.0
1370.5085,1181.7423,1382.5304,1168.6163,1.0
793.1689,1669.7148,805.24384,1655.143,1.0
1820.6322,867.01074,1832.9617,855.0028,1.0
1590.8628,1006.16113,1603.1815,993.6289,1.0
1857.7388,1950.062,1870.2983,1938.133,1.0
301.4713,1004.56433,313.15277,989.237,1.0
301.4713,1004.56433,313.15277,989.237,1.0
1996.2346,349.83252,2008.4337,339.98044,1.0
409.0619,1714.4569,421.20145,1699.1279,1.0
674.9234,1333.4152,686.86475,1318.6204,1.0
1997.7838,1694.6815,2010.3042,1683.0356,1.0
45.63498,1294.9491,57.59479,1278.9508,1.0
1999.4138,1262.0613,2012.1179,1249.9586,1.0
801.52765,358.51816,813.32104,344.42993,1.0
110.76037,1526.0316,122.83362,1510.1992,1.0
802.9336,511.422,814.32916,497.207,1.0
46.685555,1769.1771,58.83515,1753.1559,1.0
46.685555,1769.1771,58.83515,1753.1559,1.0
673.04083,458.6685,684.6832,444.35547,1.0
2002.6517,1042.9166,2015.3734,1030.9121,1.0
1353.881,1059.1952,1365.9438,1045.9553,1.0
1119.3002,770.25775,1131.5112,757.56885,1.0
608.2496,1753.1755,620.2424,1738.1919,1.0
672.56903,1536.0038,684.73895,1521.2513,1.0
1352.2482,1807.707,1365.1882,1794.666,1.0
2004.4952,709.9673,2016.6978,698.3027,1.0
2004.4952,709.9673,2016.6978,698.3027,1.0
807.4672,162.6174,819.19354,148.48735,1.0
1349.6967,1918.2552,1362.1968,1904.8706,1.0
1349.4156,962.45026,1361.4735,949.3758,1.0
410.37967,1216.7891,422.55948,1201.4143,1.0
1347.1677,1028.0442,1359.208,1014.81464,1.0
1344.4724,1007.9977,1356.584,994.67316,1.0
949.3514,510.52844,960.73236,496.8724,1.0
1344.4724,1007.9977,1356.584,994.67316,1.0
2009.4878,226.16037,2022.0967,214.6557,1.0
2009.4878,226.16037,2022.0967,214.6557,1.0
1854.6353,1389.356,1867.0596,1377.2869,1.0
1854.6353,1389.356,1867.0596,1377.2869,1.0
670.37286,186.196,682.2316,171.96996,1.0
669.1737,388.60306,680.9085,374.24124,1.0
669.1737,388.60306,680.9085,374.24124,1.0
817.22833,515.45154,828.9102,501.27448,1.0
411.44315,912.77954,423.45187,897.58014,1.0
818.67584,449.8876,830.553,435.54416,1.0
2015.3801,1136.254,2028.2296,1124.4769,1.0
1816.5074,570.78845,1828.5079,558.9332,1.0
2017.5767,1697.4546,2030.152,1685.8328,1.0
2017.5767,1697.4546,2030.152,1685.8328,1.0
1517.6249,1239.5896,1529.972,1226.916,1.0
918.8575,1621.6415,931.1692,1607.277,1.0
1323.0497,500.15268,1334.9393,487.3089,1.0
828.589,1587.137,840.481,1572.5142,1.0
1322.0338,1210.2997,1334.0857,1197.0988,1.0
2023.4459,1169.9818,2036.137,1158.1099,1.0
829.0748,1354.1614,841.24493,1339.7216,1.0
53.33282,1948.0559,65.8274,1931.9083,1.0
975.08325,1177.2213,987.0957,1163.047,1.0
280.7756,702.61017,292.69604,687.19104,1.0
665.4447,501.17096,677.1136,486.63422,1.0
117.01912,669.45215,128.9308,653.66626,1.0
835.81726,1497.0768,847.6766,1482.5026,1.0
835.8343,1452.3055,847.84875,1437.8838,1.0
1115.0658,786.8493,1126.8433,773.13385,1.0
54.529354,1803.3042,66.667816,1787.2819,1.0
664.9099,502.4019,676.7125,487.754,1.0
1851.4072,1128.2239,1863.7485,1116.0126,1.0
604.13525,1802.3784,616.17255,1787.631,1.0
