source_x,source_y,reference_x,reference_y,confidence
1136.5,28.5,1148.5,16.5,0.6049979
1806.5,30.5,1820.5,18.5,0.8812941
928.5,32.5,940.5,20.5,0.9951493
998.5,32.5,1010.5,18.5,0.9952015
1630.5,34.5,1644.5,22.5,0.6452447
392.5,36.5,404.5,20.5,0.3006568
1326.5,36.5,1340.5,22.5,0.88893133
1390.5,36.5,1400.5,24.5,0.9908497
190.5,38.5,200.5,20.5,0.84637153
756.5,38.5,768.5,24.5,0.98770976
554.5,40.5,566.5,26.5,0.98657286
1842.5,40.5,1856.5,28.5,0.6805124
124.5,42.5,136.5,26.5,0.8008442
636.5,42.5,648.5,28.5,0.992332
1364.5,42.5,1374.5,30.5,0.99240947
1976.5,46.5,1988.5,34.5,0.9318554
1594.5,48.5,1606.5,36.5,0.8871026
164.5,50.5,176.5,32.5,0.85907596
1850.5,58.5,1864.5,46.5,0.9379381
854.5,60.5,864.5,46.5,0.98994935
1908.5,62.5,1920.5,48.5,0.9466051
1614.5,64.5,1626.5,50.5,0.965205
2000.5,64.5,2012.5,54.5,0.92976815
180.5,66.5,190.5,52.5,0.66711426
892.5,68.5,902.5,54.5,0.99744236
1834.5,68.5,1846.5,58.5,0.9791514
308.5,70.5,318.5,56.5,0.9247957
1968.5,70.5,1980.5,60.5,0.85733503
1574.5,72.5,1586.5,60.5,0.98553
1444.5,74.5,1456.5,62.5,0.98296136
576.5,78.5,590.5,64.5,0.98749864
544.5,80.5,558.5,66.5,0.9902283
628.5,80.5,638.5,66.5,0.97261417
1764.5,80.5,1776.5,70.5,0.94817924
472.5,82.5,482.5,68.5,0.97186816
1978.5,82.5,1990.5,70.5,0.97656226
1506.5,84.5,1518.5,72.5,0.43669054
1086.5,86.5,1100.5,72.5,0.9888624
1376.5,88.5,1388.5,76.5,0.9931924
402.5,90.5,414.5,74.5,0.9901139
598.5,92.5,608.5,76.5,0.9903297
558.5,94.5,570.5,78.5,0.9917688
882.5,96.5,894.5,80.5,0.99513745
1688.5,96.5,1700.5,84.5,0.97800475
650.5,98.5,664.5,82.5,0.88302815
1718.5,98.5,1730.5,86.5,0.9963583
1004.5,100.5,1014.5,86.5,0.9973491
1826.5,100.5,1838.5,88.5,0.98943657
1870.5,100.5,1882.5,86.5,0.98247075
1806.5,102.5,1816.5,88.5,0.96780515
1998.5,104.5,2012.5,92.5,0.97110546
302.5,106.5,314.5,92.5,0.7265318
1022.5,106.5,1034.5,94.5,0.9976991
1468.5,106.5,1480.5,94.5,0.97668934
384.5,108.5,396.5,94.5,0.9922917
90.5,110.5,102.5,94.5,0.94620377
272.5,110.5,286.5,96.5,0.9933546
642.5,112.5,654.5,98.5,0.9320247
1776.5,112.5,1788.5,100.5,0.8493305
212.5,114.5,224.5,98.5,0.8683384
152.5,116.5,162.5,102.5,0.5043059
516.5,120.5,526.5,104.5,0.8961315
616.5,120.5,628.5,106.5,0.99740696
964.5,120.5,976.5,106.5,0.9954532
1574.5,120.5,1584.5,106.5,0.996691
416.5,124.5,426.5,108.5,0.9758226
1788.5,126.5,1798.5,114.5,0.6849844
186.5,128.5,198.5,112.5,0.55083126
808.5,128.5,820.5,112.5,0.9970942
990.5,128.5,1002.5,114.5,0.99780566
892.5,130.5,902.5,114.5,0.99634045
470.5,134.5,480.5,118.5,0.98049986
306.5,136.5,318.5,122.5,0.9678712
118.5,140.5,128.5,124.5,0.39273733
510.5,140.5,520.5,124.5,0.9891436
1704.5,144.5,1718.5,130.5,0.99755067
352.5,146.5,364.5,130.5,0.995101
1588.5,146.5,1600.5,134.5,0.99156696
422.5,148.5,434.5,134.5,0.9923582
640.5,148.5,650.5,134.5,0.98167753
144.5,150.5,156.5,136.5,0.9491314
374.5,152.5,386.5,136.5,0.9905173
540.5,152.5,552.5,138.5,0.9771895
990.5,152.5,1002.5,138.5,0.9974641
1126.5,156.5,1136.5,144.5,0.98802155
1772.5,156.5,1784.5,142.5,0.98936325
1474.5,158.5,1486.5,146.5,0.9945325
1080.5,160.5,1090.5,148.5,0.9925143
1226.5,160.5,1238.5,148.5,0.99513763
1620.5,160.5,1632.5,148.5,0.99617267
520.5,162.5,534.5,148.5,0.9904515
808.5,164.5,818.5,150.5,0.98831284
152.5,166.5,164.5,152.5,0.9314738
1012.5,166.5,1024.5,152.5,0.99888617
1710.5,168.5,1722.5,156.5,0.9670422
828.5,170.5,842.5,156.5,0.99821055
1598.5,170.5,1608.5,158.5,0.99260044
1640.5,170.5,1652.5,158.5,0.98917
632.5,172.5,644.5,156.5,0.98722
1376.5,172.5,1388.5,158.5,0.9896355
896.5,174.5,906.5,160.5,0.9944848
1584.5,180.5,1596.5,168.5,0.99018043
1000.5,182.5,1012.5,168.5,0.99201477
334.5,184.5,344.5,168.5,0.9922093
1620.5,184.5,1632.5,172.5,0.99539703
480.5,186.5,490.5,172.5,0.9973536
1886.5,186.5,1898.5,174.5,0.98437184
848.5,188.5,860.5,174.5,0.9977065
554.5,190.5,566.5,176.5,0.98804796
1082.5,192.5,1092.5,178.5,0.9603303
1468.5,192.5,1480.5,180.5,0.9971865
1564.5,194.5,1576.5,182.5,0.9968672
1502.5,198.5,1512.5,184.5,0.99739385
380.5,200.5,392.5,186.5,0.9944687
400.5,202.5,412.5,186.5,0.98314697
590.5,202.5,604.5,186.5,0.9957904
250.5,204.5,262.5,190.5,0.942499
772.5,208.5,784.5,194.5,0.99689347
142.5,212.5,152.5,198.5,0.6487799
170.5,214.5,182.5,198.5,0.93313414
1390.5,214.5,1400.5,202.5,0.6006347
1542.5,214.5,1556.5,202.5,0.9964812
1926.5,214.5,1940.5,202.5,0.9966047
1596.5,218.5,1606.5,206.5,0.99170923
978.5,220.5,990.5,208.5,0.9821492
570.5,222.5,582.5,206.5,0.9839735
1368.5,222.5,1380.5,210.5,0.10482793
1576.5,224.5,1588.5,212.5,0.9985658
1830.5,224.5,1844.5,212.5,0.9914503
90.5,226.5,102.5,210.5,0.7069868
496.5,226.5,508.5,212.5,0.9964158
660.5,228.5,672.5,216.5,0.99051404
700.5,228.5,712.5,212.5,0.991732
418.5,230.5,430.5,214.5,0.99161506
728.5,230.5,738.5,216.5,0.9899949
222.5,232.5,232.5,216.5,0.98782223
188.5,238.5,200.5,224.5,0.9817918
1082.5,238.5,1096.5,224.5,0.99553317
1970.5,238.5,1982.5,226.5,0.99613047
284.5,240.5,296.5,226.5,0.9949617
578.5,244.5,588.5,230.5,0.98874587
1644.5,246.5,1658.5,234.5,0.9946941
406.5,248.5,420.5,232.5,0.9963361
1850.5,248.5,1862.5,236.5,0.9882192
308.5,250.5,320.5,234.5,0.99506503
1944.5,254.5,1956.5,242.5,0.9975855
1474.5,256.5,1486.5,244.5,0.9946928
1610.5,260.5,1620.5,248.5,0.9952085
112.5,262.5,124.5,244.5,0.9202095
1368.5,264.5,1380.5,250.5,0.9987618
