source_x,source_y,reference_x,reference_y,confidence
97.52381,58.51429,109.93119,42.259567,0.54542416
117.02858,58.51429,128.87991,43.455856,0.5679847
195.04762,58.51429,207.54466,43.164284,0.41246212
234.05716,58.51429,246.39473,43.001072,0.41275918
390.09525,58.51429,399.29242,44.28215,0.5202079
429.10477,58.51429,438.32614,43.49516,0.4788242
448.60953,58.51429,459.3571,43.414673,0.70785236
468.11432,58.51429,479.58957,43.533974,0.72074735
487.61908,58.51429,500.45547,42.64752,0.9197329
507.12384,58.51429,520.3668,42.880722,0.9303856
526.6286,58.51429,539.66473,43.81339,0.916957
546.13336,58.51429,559.5459,44.38419,0.8442913
565.6381,58.51429,576.79254,44.619385,0.8472999
585.1429,58.51429,597.2145,44.112366,0.85309446
604.64764,58.51429,616.25574,44.269867,0.721214
624.1524,58.51429,635.1049,43.91738,0.7003524
643.65717,58.51429,654.78564,43.67618,0.87601405
663.1619,58.51429,676.7384,43.902466,0.98490024
682.6667,58.51429,695.00085,43.88189,0.98846096
702.17145,58.51429,713.7296,44.464844,0.9505993
721.6762,58.51429,734.1009,44.06254,0.71566796
741.18097,58.51429,753.3349,45.551826,0.56037545
780.1905,58.51429,789.6539,44.206944,0.47746417
799.69525,58.51429,808.914,44.736954,0.2514876
819.2,58.51429,830.57904,45.09493,0.43741053
838.7048,58.51429,849.56323,44.175842,0.4915366
858.20953,58.51429,870.4095,44.196396,0.6467531
877.7143,58.51429,889.61523,44.957386,0.6930303
897.21906,58.51429,908.2233,44.327595,0.80549556
916.7238,58.51429,928.76227,44.170177,0.63233906
936.22864,58.51429,947.08984,44.23607,0.83338314
955.7334,58.51429,967.379,43.661133,0.71023893
975.23816,58.51429,988.4936,44.547348,0.92223907
994.7429,58.51429,1006.6483,45.910854,0.7208411
1014.2477,58.51429,1025.8154,45.729183,0.8195626
1033.7524,58.51429,1045.2397,44.63994,0.8442789
1053.2572,58.51429,1064.7633,45.948566,0.7335071
1072.762,58.51429,1085.7018,45.342144,0.39084482
1092.2667,58.51429,1105.4792,43.909817,0.8503767
1150.781,58.51429,1162.012,44.346672,0.2907361
1170.2858,58.51429,1181.7078,44.711227,0.93263245
1189.7905,58.51429,1201.3422,45.26381,0.55552226
1209.2953,58.51429,1220.186,45.703674,0.8923713
1228.8,58.51429,1240.2994,45.63241,0.9222597
1248.3048,58.51429,1258.9652,45.340702,0.9355941
1267.8096,58.51429,1278.7252,44.606243,0.8989038
1287.3143,58.51429,1298.2904,44.22431,0.6520903
1306.8191,58.51429,1319.385,45.4339,0.38982168
1345.8286,58.51429,1358.2089,46.1268,0.44083935
1365.3334,58.51429,1377.5441,45.174694,0.41833636
1384.8381,58.51429,1397.5138,46.228657,0.7250467
1404.3429,58.51429,1416.7516,46.191166,0.32531834
1462.8572,58.51429,1475.7826,45.496178,0.4769168
1482.3619,58.51429,1495.009,45.73742,0.6967346
1501.8667,58.51429,1514.5233,46.31066,0.8194408
1521.3715,58.51429,1533.7871,45.126083,0.81871116
1540.8762,58.51429,1552.5575,44.9358,0.83194387
1560.381,58.51429,1572.1084,44.50814,0.8438718
1579.8857,58.51429,1591.5195,45.3755,0.977328
1599.3905,58.51429,1611.846,44.700054,0.951338
1618.8953,58.51429,1632.1799,44.829792,0.9581269
1657.9048,58.51429,1670.3014,46.335773,0.89352006
1677.4095,58.51429,1689.0203,46.948483,0.66522175
1696.9143,58.51429,1709.2056,45.869995,0.52564746
1735.9238,58.51429,1744.5663,47.063484,0.58956945
1755.4286,58.51429,1764.91,46.427322,0.25733846
1774.9333,58.51429,1787.7588,49.09461,0.2453279
1794.4381,58.51429,1806.7443,49.353317,0.35829073
1813.9429,58.51429,1827.3665,46.81865,0.30440962
1833.4476,58.51429,1845.2997,47.37472,0.7192114
1852.9524,58.51429,1866.4761,46.868813,0.9488806
1872.4573,58.51429,1885.3401,45.035652,0.969073
1911.4668,58.51429,1922.9694,45.6234,0.23884903
1950.4763,58.51429,1963.251,47.14582,0.6954998
1969.9811,58.51429,1983.421,46.718548,0.39411584
117.02858,78.01905,128.6928,62.1314,0.33890134
195.04762,78.01905,207.4093,61.897453,0.22644407
234.05716,78.01905,245.46237,63.08699,0.5345768
292.57144,78.01905,305.74692,61.44097,0.22308363
409.6,78.01905,421.57346,62.691013,0.40594888
429.10477,78.01905,441.00098,62.942554,0.6123365
448.60953,78.01905,461.28546,62.721497,0.3725509
468.11432,78.01905,479.82703,63.337643,0.61128664
487.61908,78.01905,499.35016,62.94479,0.76936734
507.12384,78.01905,519.7551,62.94823,0.9842947
526.6286,78.01905,539.3184,63.08764,0.93433475
546.13336,78.01905,556.85004,63.836987,0.875884
565.6381,78.01905,577.4755,63.84538,0.77779126
585.1429,78.01905,596.1164,63.718773,0.7246724
604.64764,78.01905,615.51697,63.597584,0.6826002
624.1524,78.01905,636.4502,63.42192,0.96604675
643.65717,78.01905,655.78644,63.650997,0.9079768
663.1619,78.01905,676.2583,63.232384,0.81076866
682.6667,78.01905,693.7502,63.59246,0.8979095
702.17145,78.01905,714.1594,63.630238,0.9755234
721.6762,78.01905,733.93506,63.63767,0.9459633
741.18097,78.01905,753.35956,63.986874,0.25610036
760.6857,78.01905,772.6621,63.799862,0.688875
799.69525,78.01905,809.2608,64.56992,0.34337503
819.2,78.01905,828.64386,64.46165,0.29042414
838.7048,78.01905,851.2744,63.74371,0.28675678
858.20953,78.01905,869.8332,63.877552,0.55127877
877.7143,78.01905,890.301,64.424286,0.87422484
897.21906,78.01905,908.2713,63.44535,0.8891377
916.7238,78.01905,928.79816,63.557316,0.87743336
936.22864,78.01905,947.5962,63.218563,0.7383428
955.7334,78.01905,967.1259,64.413025,0.9167706
975.23816,78.01905,988.0733,62.936123,0.84362894
994.7429,78.01905,1007.2976,63.57503,0.77260226
1014.2477,78.01905,1026.1633,64.05487,0.9113555
1033.7524,78.01905,1046.6095,64.08161,0.91749877
1053.2572,78.01905,1065.7072,64.975525,0.8662429
1072.762,78.01905,1084.2797,64.22418,0.6721322
1092.2667,78.01905,1104.8761,63.682945,0.8700587
1111.7715,78.01905,1123.3257,63.73683,0.22638516
1131.2762,78.01905,1143.1874,65.196526,0.23497573
1150.781,78.01905,1162.3259,65.17692,0.46733028
1170.2858,78.01905,1182.1202,64.46513,0.61234057
1189.7905,78.01905,1201.0569,63.848797,0.7618532
1209.2953,78.01905,1221.1066,66.3884,0.8634133
1228.8,78.01905,1241.0006,65.50867,0.9331667
1248.3048,78.01905,1259.4418,64.41194,0.9763887
1267.8096,78.01905,1280.097,64.98885,0.92373943
1287.3143,78.01905,1298.4868,64.70433,0.96659064
1306.8191,78.01905,1319.0894,64.60112,0.7073362
1326.3239,78.01905,1338.8535,65.45869,0.2286304
1345.8286,78.01905,1358.1514,65.47315,0.7230606
1365.3334,78.01905,1378.7455,65.22396,0.8140509
1384.8381,78.01905,1397.5541,65.17189,0.76759565
1462.8572,78.01905,1476.2251,66.296425,0.40120333
1482.3619,78.01905,1495.2437,65.98173,0.92462313
1501.8667,78.01905,1514.5292,65.40835,0.8120367
1521.3715,78.01905,1535.0583,65.52617,0.5713399
1540.8762,78.01905,1553.5759,64.20954,0.58885103
1560.381,78.01905,1571.1147,65.303154,0.6484469
1579.8857,78.01905,1590.8711,64.19302,0.9636119
1599.3905,78.01905,1612.9536,65.43673,0.98833793
1618.8953,78.01905,1632.5305,64.92846,0.8716647
1638.4,78.01905,1650.4014,64.449455,0.8136529
1657.9048,78.01905,1670.8597,65.21556,0.65445733
1677.4095,78.01905,1688.8678,63.856243,0.6627205
1696.9143,78.01905,1709.8394,65.339325,0.5979102
1735.9238,78.01905,1744.5597,64.87065,0.7071816
1755.4286,78.01905,1764.8405,65.37538,0.50711626
1833.4476,78.01905,1847.006,66.26861,0.40137953
1891.962,78.01905,1904.5681,65.972626,0.49934256
1911.4668,78.01905,1923.64,66.34258,0.6498833
1930.9716,78.01905,1943.4644,66.96185,0.83752304
1950.4763,78.01905,1961.9142,66.66588,0.46537173
1969.9811,78.01905,1983.1655,66.652725,0.6999223
97.52381,97.52381,108.10829,81.81806,0.41850948
234.05716,97.52381,247.31212,82.31598,0.21187985
273.06668,97.52381,284.8284,81.23381,0.5123733
292.57144,97.52381,305.1456,82.67091,0.71739197
312.0762,97.52381,323.06738,82.492226,0.55851537
331.58096,97.52381,343.6465,82.323616,0.2258181
351.08572,97.52381,362.8241,82.61002,0.36651903
370.59048,97.52381,382.0173,82.18724,0.7211078
390.09525,97.52381,402.0436,81.95846,0.4902288
409.6,97.52381,420.9082,82.42318,0.4845278
429.10477,97.52381,440.22037,82.98939,0.93590766
448.60953,97.52381,460.39764,82.91996,0.64659333
468.11432,97.52381,479.3955,82.59065,0.7863056
487.61908,97.52381,500.44302,82.29615,0.9620346
507.12384,97.52381,519.0528,82.42686,0.97357744
546.13336,97.52381,558.17004,83.74549,0.8131264
565.6381,97.52381,578.13495,83.44571,0.808627
585.1429,97.52381,596.1632,83.86683,0.7574716
604.64764,97.52381,616.7873,83.20922,0.81363297
624.1524,97.52381,637.47546,82.82442,0.91233206
643.65717,97.52381,656.30615,82.825806,0.85075736
663.1619,97.52381,674.8253,83.237854,0.77380365
682.6667,97.52381,694.58167,83.601585,0.93355894
702.17145,97.52381,713.9119,83.21514,0.9694028
721.6762,97.52381,733.22437,83.04825,0.95467794
741.18097,97.52381,754.24023,83.32327,0.6041553
760.6857,97.52381,772.6453,83.09771,0.57798475
780.1905,97.52381,791.59326,83.13805,0.63481814
799.69525,97.52381,811.40405,83.12712,0.37121078
819.2,97.52381,831.904,83.571266,0.3675321
838.7048,97.52381,850.14014,83.25335,0.70577526
858.20953,97.52381,870.1727,83.9726,0.60333043
877.7143,97.52381,889.5353,83.19455,0.9561984
897.21906,97.52381,910.8548,83.859146,0.9054687
916.7238,97.52381,928.00116,83.286705,0.8890499
936.22864,97.52381,947.5811,83.417656,0.9027961
955.7334,97.52381,967.336,83.927086,0.3031976
975.23816,97.52381,988.1288,83.750275,0.38905844
994.7429,97.52381,1007.1023,83.873955,0.6237551
1014.2477,97.52381,1025.5455,83.507515,0.75533855
1033.7524,97.52381,1045.8724,83.3844,0.73013806
1053.2572,97.52381,1065.3145,82.96767,0.8296419
1072.762,97.52381,1084.6919,83.71418,0.7298383
1092.2667,97.52381,1104.3383,84.23144,0.86425346
1111.7715,97.52381,1123.0956,85.95816,0.2633764
1150.781,97.52381,1161.7676,83.51717,0.45458034
1170.2858,97.52381,1183.2065,84.17227,0.68828773
1189.7905,97.52381,1201.4847,85.06053,0.6839755
1209.2953,97.52381,1221.0692,84.53632,0.67191905
1228.8,97.52381,1240.8224,85.98356,0.7008732
1248.3048,97.52381,1260.161,84.67434,0.9523351
1267.8096,97.52381,1279.611,84.28009,0.9454661
1287.3143,97.52381,1298.0393,84.18796,0.89248145
1306.8191,97.52381,1319.5231,84.69942,0.7701432
1326.3239,97.52381,1337.3633,84.04881,0.44847614
1345.8286,97.52381,1357.1383,86.3518,0.88417244
1365.3334,97.52381,1376.9669,84.50958,0.97070706
1384.8381,97.52381,1398.3593,84.87699,0.95886546
1404.3429,97.52381,1417.8755,85.53997,0.9547374
1423.8477,97.52381,1435.5814,85.3163,0.7840185
1443.3524,97.52381,1455.1415,84.663376,0.34872106
1462.8572,97.52381,1475.4698,84.83415,0.6487846
1482.3619,97.52381,1494.7288,85.304985,0.7141037
1501.8667,97.52381,1514.1624,85.33158,0.9325344
1540.8762,97.52381,1554.1063,83.95048,0.9192158
1560.381,97.52381,1571.324,83.19779,0.81895185
1579.8857,97.52381,1592.1338,85.17725,0.9696309
1599.3905,97.52381,1612.2471,85.318855,0.99189395
1618.8953,97.52381,1631.1124,85.22213,0.77437353
1638.4,97.52381,1651.4669,84.50555,0.71605724
1657.9048,97.52381,1669.889,85.626076,0.8590272
1677.4095,97.52381,1689.6266,83.57384,0.84788626
1696.9143,97.52381,1708.3267,85.2714,0.47669172
1735.9238,97.52381,1744.0914,85.93735,0.67524093
1755.4286,97.52381,1768.4136,85.337074,0.3954919
1774.9333,97.52381,1786.4337,84.69059,0.35904786
1794.4381,97.52381,1806.7773,85.55589,0.4480338
1813.9429,97.52381,1826.9247,83.990166,0.5624519
1833.4476,97.52381,1846.9459,84.619965,0.23496462
1872.4573,97.52381,1884.9678,84.832924,0.8806933
1891.962,97.52381,1904.9481,86.444336,0.5931125
1911.4668,97.52381,1923.6656,84.60903,0.6181097
1930.9716,97.52381,1942.3347,85.29128,0.3121425
1950.4763,97.52381,1962.368,86.03294,0.27879915
1969.9811,97.52381,1982.0309,84.6569,0.4312585
97.52381,117.02858,110.75457,101.41044,0.44503656
117.02858,117.02858,128.92484,102.499054,0.30266497
136.53334,117.02858,148.0295,102.10314,0.33083066
214.55238,117.02858,226.40805,101.90913,0.630534
234.05716,117.02858,246.34998,102.77538,0.61956596
253.56192,117.02858,265.67297,102.21375,0.66813844
273.06668,117.02858,284.51138,101.82789,0.58852845
292.57144,117.02858,304.3084,101.91947,0.5430594
312.0762,117.02858,324.11456,102.78266,0.5927631
331.58096,117.02858,344.2038,102.30643,0.7260705
351.08572,117.02858,364.14322,101.95832,0.6518163
370.59048,117.02858,383.6242,102.243484,0.9343105
390.09525,117.02858,401.5361,102.06704,0.8545305
409.6,117.02858,422.16547,102.49728,0.98675126
429.10477,117.02858,441.13025,102.582016,0.8842524
448.60953,117.02858,460.18832,102.42348,0.86004764
468.11432,117.02858,479.01166,102.47493,0.93702376
487.61908,117.02858,500.28128,102.06261,0.9006489
507.12384,117.02858,521.00146,101.5752,0.96437395
526.6286,117.02858,538.7953,102.39511,0.96225417
546.13336,117.02858,559.2446,103.159195,0.9707938
565.6381,117.02858,577.8708,102.38267,0.9325621
585.1429,117.02858,597.7223,103.007034,0.85571164
604.64764,117.02858,616.2413,102.56919,0.7904703
624.1524,117.02858,636.44653,102.74336,0.9295282
643.65717,117.02858,655.88135,102.42968,0.9250112
663.1619,117.02858,675.3826,102.88156,0.87618816
682.6667,117.02858,695.74554,102.380615,0.96944845
702.17145,117.02858,713.6113,102.78124,0.98030126
721.6762,117.02858,734.00287,102.39677,0.7069459
741.18097,117.02858,754.3531,102.921684,0.4662006
760.6857,117.02858,772.5667,103.957954,0.22398283
780.1905,117.02858,791.6763,102.89095,0.67759067
799.69525,117.02858,811.62256,102.697975,0.761575
819.2,117.02858,830.77386,102.75286,0.49261248
838.7048,117.02858,849.5654,102.243996,0.3927276
858.20953,117.02858,871.1976,102.1978,0.47988963
877.7143,117.02858,889.8705,102.60134,0.868716
897.21906,117.02858,908.01245,102.6854,0.9312707
916.7238,117.02858,929.28986,102.55218,0.8999011
936.22864,117.02858,947.2905,103.024284,0.8037083
975.23816,117.02858,984.3233,102.890785,0.3562756
994.7429,117.02858,1006.51373,102.85716,0.6833176
1014.2477,117.02858,1026.6481,103.25971,0.6926137
1033.7524,117.02858,1045.4467,103.33449,0.8858071
1053.2572,117.02858,1064.9425,103.34258,0.9861608
1072.762,117.02858,1084.2524,103.90887,0.97395194
1092.2667,117.02858,1106.0414,103.620865,0.9047428
1111.7715,117.02858,1123.2482,102.82455,0.7780125
1131.2762,117.02858,1143.2236,103.16395,0.41542184
1150.781,117.02858,1161.7069,103.18575,0.8215709
1170.2858,117.02858,1182.5979,103.39351,0.41856265
1189.7905,117.02858,1202.8093,103.06141,0.825806
1209.2953,117.02858,1221.661,104.271454,0.50905013
1228.8,117.02858,1240.7793,104.68575,0.69796836
1248.3048,117.02858,1260.5432,104.77792,0.8231635
1267.8096,117.02858,1279.4198,104.90359,0.90653175
1287.3143,117.02858,1298.9358,104.04507,0.30507088
1306.8191,117.02858,1319.0637,104.14575,0.6622001
1326.3239,117.02858,1339.5186,103.73555,0.8867904
1345.8286,117.02858,1358.4425,103.167145,0.46801823
1365.3334,117.02858,1377.5092,104.74838,0.9774169
1404.3429,117.02858,1417.1057,103.28041,0.9073215
1423.8477,117.02858,1435.8041,103.21518,0.7598128
1443.3524,117.02858,1454.6401,103.64121,0.5335594
1462.8572,117.02858,1474.2622,104.31748,0.7201825
1482.3619,117.02858,1495.6807,105.46995,0.6098372
1501.8667,117.02858,1513.1865,104.882385,0.30709434
1521.3715,117.02858,1532.9918,105.84246,0.9348558
1540.8762,117.02858,1552.7241,104.202,0.8236971
1560.381,117.02858,1573.2354,103.899055,0.9188521
1579.8857,117.02858,1591.2947,104.9357,0.8229475
1599.3905,117.02858,1611.7545,102.94717,0.98119044
1618.8953,117.02858,1630.6063,103.961815,0.8955036
1638.4,117.02858,1652.0107,105.46567,0.8000239
1657.9048,117.02858,1669.7308,104.863556,0.9533484
1677.4095,117.02858,1688.3063,104.68386,0.76971704
1716.4191,117.02858,1725.9039,103.49401,0.3458732
1735.9238,117.02858,1745.1437,105.15802,0.30630776
1755.4286,117.02858,1767.8503,105.29769,0.57722265
1774.9333,117.02858,1786.5773,103.859436,0.28095526
1794.4381,117.02858,1807.5541,105.20631,0.7840571
1813.9429,117.02858,1826.652,105.25334,0.2547596
1833.4476,117.02858,1844.8508,103.33801,0.50209814
1852.9524,117.02858,1864.4585,103.68463,0.71613073
1872.4573,117.02858,1885.6317,105.25662,0.8890993
1891.962,117.02858,1904.7743,105.0022,0.57802707
1911.4668,117.02858,1923.4873,104.491905,0.8278026
1930.9716,117.02858,1942.889,105.215904,0.6873159
1969.9811,117.02858,1981.5608,105.85387,0.609668
117.02858,136.53334,128.44763,121.70437,0.56829816
136.53334,136.53334,148.64996,120.81657,0.90890193
156.0381,136.53334,167.31146,121.43977,0.26556656
175.54286,136.53334,189.3899,120.27749,0.2265435
214.55238,136.53334,227.03513,120.98452,0.64014596
234.05716,136.53334,245.86232,120.50984,0.8718799
253.56192,136.53334,265.79196,121.491615,0.29045337
273.06668,136.53334,285.75928,121.1424,0.6562465
292.57144,136.53334,304.84793,121.506035,0.5602581
312.0762,136.53334,323.751,121.6535,0.8511479
331.58096,136.53334,342.7498,121.97995,0.8522362
351.08572,136.53334,363.55875,121.74432,0.9758844
370.59048,136.53334,382.86597,121.323296,0.94984585
390.09525,136.53334,402.28473,122.598434,0.97363484
409.6,136.53334,422.76312,121.865906,0.98812467
429.10477,136.53334,441.38492,121.83729,0.9130984
448.60953,136.53334,461.0342,121.82459,0.71862966
468.11432,136.53334,480.1359,121.43256,0.9255195
487.61908,136.53334,500.00555,121.82569,0.961851
507.12384,136.53334,519.56354,121.96146,0.9667987
526.6286,136.53334,539.1132,121.98038,0.63963085
546.13336,136.53334,558.44037,122.32768,0.96945846
565.6381,136.53334,577.1598,121.59909,0.93598974
585.1429,136.53334,598.1072,122.10185,0.98249394
604.64764,136.53334,616.6987,122.29757,0.9482321
624.1524,136.53334,635.80286,122.03502,0.70524526
643.65717,136.53334,656.0025,122.116875,0.43626907
663.1619,136.53334,675.2329,122.9145,0.7038811
682.6667,136.53334,696.1479,121.99529,0.960272
702.17145,136.53334,714.43976,122.14022,0.96773005
721.6762,136.53334,734.1516,122.57147,0.88502234
741.18097,136.53334,753.92334,122.0604,0.8435714
760.6857,136.53334,773.78827,122.4122,0.7343852
780.1905,136.53334,791.70123,122.601524,0.62992895
