source_x,source_y,reference_x,reference_y,confidence
230.3928,1854.694,242.81087,1839.1101,1.0
1079.0571,191.83076,1090.7004,178.34253,1.0
1885.0562,546.5191,1897.4714,535.00073,1.0
1683.0693,878.8682,1695.0759,866.5694,1.0
230.75662,878.92755,242.61655,863.0268,1.0
1683.0693,878.8682,1695.0759,866.5694,1.0
1031.9275,770.75006,1043.9431,756.9455,1.0
1031.9275,770.75006,1043.9431,756.9455,1.0
1303.4136,246.53392,1314.8625,233.90825,1.0
1642.3834,1041.8221,1654.5107,1029.1991,1.0
232.11842,1894.3395,244.30815,1878.6764,1.0
232.11842,1894.3395,244.30815,1878.6764,1.0
1035.2941,1552.1063,1047.5736,1537.916,1.0
1035.2941,1552.1063,1047.5736,1537.916,1.0
692.5838,2024.6189,704.62726,2009.665,1.0
490.02463,1762.9326,502.07333,1748.0007,1.0
980.8518,1661.2069,992.9985,1647.2015,1.0
232.97665,907.7133,244.84369,892.12067,1.0
980.962,1198.5271,993.1113,1184.4412,1.0
1882.8987,372.1418,1894.3507,361.16736,1.0
1035.9733,1443.0665,1048.4702,1429.1565,1.0
689.6941,239.61755,701.4835,225.23494,1.0
1882.6494,236.13654,1894.7023,224.23601,1.0
1028.2247,900.33203,1039.9005,886.47595,1.0
492.03174,1293.7484,503.57126,1278.5869,1.0
492.03174,1293.7484,503.57126,1278.5869,1.0
1645.2639,715.42096,1657.3649,702.966,1.0
1881.4082,523.9066,1893.7189,512.2222,1.0
686.96655,106.01135,698.77075,91.56028,1.0
983.8656,1070.7235,995.6354,1056.6278,1.0
1646.3058,1162.0746,1658.5211,1149.4358,1.0
1646.3058,1162.0746,1658.5211,1149.4358,1.0
1466.5897,1012.3936,1478.8989,999.4545,1.0
1466.5897,1012.3936,1478.8989,999.4545,1.0
686.1403,1774.0721,698.2141,1759.2316,1.0
984.6752,1606.6956,996.7783,1592.6232,1.0
493.4653,504.63348,505.1318,489.87534,1.0
1880.3175,811.4794,1892.5197,799.99243,1.0
685.3542,663.5201,697.0228,648.79645,1.0
1647.0864,892.4346,1659.4423,879.80676,1.0
985.61926,464.241,997.34296,450.63287,1.0
985.67523,1168.3654,997.6415,1154.3853,1.0
1465.5386,367.69016,1477.2043,355.16162,1.0
985.67523,1168.3654,997.6415,1154.3853,1.0
1878.8484,738.04865,1891.3043,726.0806,1.0
1878.8484,738.04865,1891.3043,726.0806,1.0
1878.7596,1882.0436,1891.1107,1870.4418,1.0
1647.6064,882.037,1659.7385,869.34235,1.0
494.91754,845.88715,506.79364,830.6787,1.0
1039.2703,1609.7621,1051.5579,1595.6672,1.0
1309.0289,577.5439,1320.9459,564.69824,1.0
1877.5668,87.79756,1889.6455,75.80047,1.0
1309.425,792.5545,1321.8633,779.308,1.0
1071.1084,681.3169,1083.0215,667.6171,1.0
1039.3341,1294.6852,1051.5522,1280.788,1.0
1877.1189,1756.4622,1888.9254,1744.9307,1.0
1877.1189,1756.4622,1888.9254,1744.9307,1.0
