source_x,source_y,reference_x,reference_y,confidence
1806.5,30.5,1820.5,18.5,0.9653327
394.5,36.5,406.5,20.5,0.8671639
1226.5,36.5,1240.5,24.5,0.98706424
1120.5,40.5,1134.5,28.5,0.99314755
1362.5,40.5,1372.5,28.5,0.9174372
1968.5,44.5,1980.5,32.5,0.97254705
1942.5,52.5,1956.5,40.5,0.9921225
850.5,60.5,862.5,48.5,0.99930906
1614.5,62.5,1626.5,52.5,0.89411545
2002.5,66.5,2014.5,54.5,0.9788157
252.5,70.5,264.5,54.5,0.99129695
886.5,70.5,900.5,54.5,0.9992846
1966.5,70.5,1976.5,58.5,0.99456453
1768.5,80.5,1778.5,68.5,0.9803352
444.5,84.5,454.5,68.5,0.9986615
1976.5,84.5,1990.5,72.5,0.9923727
124.5,86.5,134.5,70.5,0.97257435
1084.5,86.5,1098.5,72.5,0.99561197
1374.5,88.5,1386.5,78.5,0.9933979
402.5,90.5,414.5,76.5,0.9984082
598.5,90.5,608.5,74.5,0.99960417
556.5,94.5,568.5,80.5,0.9963307
364.5,98.5,376.5,84.5,0.9434213
1804.5,102.5,1814.5,90.5,0.98950166
1996.5,104.5,2010.5,92.5,0.9567082
430.5,106.5,442.5,90.5,0.9992107
386.5,108.5,398.5,94.5,0.9986101
88.5,110.5,100.5,94.5,0.91584754
1794.5,116.5,1806.5,104.5,0.9712646
616.5,120.5,628.5,106.5,0.9996997
1576.5,120.5,1588.5,110.5,0.9966817
1522.5,124.5,1534.5,114.5,0.9959226
1668.5,124.5,1682.5,114.5,0.89807
810.5,126.5,822.5,110.5,0.99929786
890.5,130.5,902.5,116.5,0.99636674
466.5,134.5,480.5,118.5,0.99767756
304.5,136.5,316.5,122.5,0.9275437
510.5,138.5,522.5,124.5,0.9986772
1704.5,142.5,1716.5,130.5,0.9971579
422.5,148.5,434.5,132.5,0.9986739
638.5,150.5,648.5,134.5,0.9984595
146.5,152.5,158.5,136.5,0.99713975
374.5,152.5,388.5,136.5,0.99693334
540.5,152.5,552.5,138.5,0.9994003
1078.5,160.5,1090.5,146.5,0.99776417
854.5,184.5,866.5,168.5,0.99877566
478.5,186.5,488.5,172.5,0.99656284
1080.5,194.5,1092.5,180.5,0.9978052
1502.5,198.5,1514.5,184.5,0.9980216
766.5,202.5,776.5,188.5,0.9997099
250.5,204.5,262.5,188.5,0.9939399
1316.5,208.5,1330.5,196.5,0.99889773
1348.5,210.5,1360.5,198.5,0.9986618
1324.5,218.5,1336.5,206.5,0.9988646
740.5,220.5,752.5,206.5,0.9996729
