source_x,source_y,reference_x,reference_y,confidence
78.01905,58.51429,91.324974,42.964775,0.6585289
97.52381,58.51429,111.458855,42.2691,0.3895487
234.05716,58.51429,247.24199,43.53601,0.39460057
253.56192,58.51429,265.81647,43.148952,0.54458463
429.10477,58.51429,441.71817,44.164696,0.37792516
448.60953,58.51429,460.46,43.154392,0.832054
468.11432,58.51429,481.04166,43.80128,0.89592063
487.61908,58.51429,500.52133,43.519665,0.96552396
507.12384,58.51429,519.5132,43.89128,0.8859443
526.6286,58.51429,537.9704,44.318867,0.8313116
546.13336,58.51429,558.48724,44.10557,0.81821376
565.6381,58.51429,576.6773,44.16189,0.9291069
585.1429,58.51429,597.7364,43.601147,0.92463917
604.64764,58.51429,616.9084,43.970604,0.57537884
702.17145,58.51429,713.3262,44.434174,0.7830886
721.6762,58.51429,734.80963,43.882217,0.7050282
741.18097,58.51429,754.29224,44.6333,0.9803231
760.6857,58.51429,772.66187,44.199745,0.82094175
819.2,58.51429,830.52545,44.926792,0.8658818
838.7048,58.51429,851.62695,44.159317,0.65685034
877.7143,58.51429,890.86914,45.2567,0.9883148
916.7238,58.51429,928.6744,44.573696,0.9759525
936.22864,58.51429,948.16785,44.92571,0.80894345
955.7334,58.51429,967.3308,45.46122,0.7018039
975.23816,58.51429,987.5369,44.55853,0.7678711
994.7429,58.51429,1007.35333,45.011642,0.51287985
1014.2477,58.51429,1027.1818,45.44513,0.5232021
1053.2572,58.51429,1065.2072,45.973927,0.6298967
1072.762,58.51429,1085.1909,45.544476,0.9011348
1092.2667,58.51429,1104.751,45.046543,0.9476798
1111.7715,58.51429,1123.9846,45.880135,0.753183
1150.781,58.51429,1162.6997,45.365654,0.957058
1170.2858,58.51429,1182.3457,45.47866,0.7404242
1209.2953,58.51429,1221.8079,45.740063,0.98802835
1228.8,58.51429,1240.3922,46.13678,0.83012587
1267.8096,58.51429,1281.1921,45.436523,0.7902711
1482.3619,58.51429,1493.2761,47.368874,0.62214303
1638.4,58.51429,1651.1655,46.938675,0.966075
58.51429,78.01905,70.44905,62.614326,0.27540997
78.01905,78.01905,90.814705,61.61143,0.67273283
97.52381,78.01905,109.367004,62.696594,0.5033293
214.55238,78.01905,226.84346,63.003155,0.4077849
234.05716,78.01905,244.95824,63.099007,0.53373694
253.56192,78.01905,265.16602,62.8565,0.40975225
370.59048,78.01905,384.73514,63.955612,0.2584962
429.10477,78.01905,441.25858,63.154816,0.8442786
448.60953,78.01905,461.09076,63.439503,0.8482753
468.11432,78.01905,480.69797,63.240917,0.9373468
487.61908,78.01905,500.24582,63.495255,0.96486217
507.12384,78.01905,519.21716,62.94539,0.9832846
526.6286,78.01905,538.23096,63.080364,0.87404084
546.13336,78.01905,557.34406,63.777313,0.937935
565.6381,78.01905,577.8592,63.168877,0.9085575
585.1429,78.01905,599.0231,63.45328,0.8142084
604.64764,78.01905,616.8071,63.626133,0.5346735
682.6667,78.01905,694.62305,63.530186,0.54941285
702.17145,78.01905,714.2457,63.679672,0.6812974
721.6762,78.01905,733.5115,63.49991,0.94068706
741.18097,78.01905,753.21545,64.21335,0.9140173
760.6857,78.01905,773.3648,63.803764,0.86094916
819.2,78.01905,830.70184,63.987854,0.71174806
838.7048,78.01905,851.33655,63.939884,0.7337463
858.20953,78.01905,870.58655,63.826515,0.9718829
877.7143,78.01905,890.7411,64.18226,0.9915876
916.7238,78.01905,928.573,64.744835,0.9472179
936.22864,78.01905,948.6908,64.53612,0.90499073
955.7334,78.01905,967.85913,64.356575,0.7675826
1014.2477,78.01905,1026.1455,65.05841,0.8770193
1053.2572,78.01905,1064.611,64.85245,0.9089649
1092.2667,78.01905,1105.5563,64.69066,0.9669602
1150.781,78.01905,1163.839,64.84068,0.89802545
1228.8,78.01905,1240.1205,65.32342,0.8541158
1326.3239,78.01905,1339.269,65.43347,0.8143039
1345.8286,78.01905,1358.2096,66.041306,0.5596533
1423.8477,78.01905,1438.5984,66.686676,0.77292496
1443.3524,78.01905,1455.106,66.14719,0.67972875
1462.8572,78.01905,1476.3971,66.35508,0.9291825
1482.3619,78.01905,1495.0441,65.60266,0.7766094
58.51429,97.52381,70.73407,82.24316,0.40691465
78.01905,97.52381,91.32407,82.40509,0.44499794
97.52381,97.52381,109.63608,82.57518,0.6637745
117.02858,97.52381,129.08151,82.492775,0.65582633
136.53334,97.52381,148.34886,82.45178,0.47853625
175.54286,97.52381,188.21663,81.7448,0.38586634
195.04762,97.52381,207.28247,81.908966,0.37364677
214.55238,97.52381,226.55382,82.431274,0.7613893
351.08572,97.52381,362.84515,82.814514,0.46676514
370.59048,97.52381,383.0155,82.92356,0.46913534
390.09525,97.52381,402.94626,82.48542,0.27477473
409.6,97.52381,421.38205,82.6317,0.4626601
429.10477,97.52381,441.53323,82.632576,0.68713015
448.60953,97.52381,460.8505,83.24025,0.9212506
468.11432,97.52381,480.6016,82.79877,0.981184
487.61908,97.52381,500.14417,82.359375,0.9968418
507.12384,97.52381,519.58044,82.48917,0.98953515
526.6286,97.52381,540.40405,82.54815,0.9481634
546.13336,97.52381,558.7007,82.98827,0.8448326
565.6381,97.52381,578.45306,83.85244,0.8930034
585.1429,97.52381,598.8334,83.02148,0.84909827
604.64764,97.52381,617.5859,82.88909,0.81802344
624.1524,97.52381,637.1233,83.13096,0.46844825
702.17145,97.52381,713.6735,83.28952,0.60014194
721.6762,97.52381,733.7307,83.215965,0.8849326
741.18097,97.52381,753.08636,83.3279,0.90976477
760.6857,97.52381,773.7492,83.088425,0.8596023
819.2,97.52381,831.32153,83.81424,0.6422634
838.7048,97.52381,850.9497,84.302025,0.86752796
858.20953,97.52381,870.9843,83.92454,0.93225455
897.21906,97.52381,911.097,83.38399,0.95977527
916.7238,97.52381,929.01544,83.73916,0.9731812
936.22864,97.52381,948.00165,83.85159,0.8817292
994.7429,97.52381,1007.28925,84.487625,0.9604214
1111.7715,97.52381,1124.4528,85.05604,0.85642487
1131.2762,97.52381,1143.865,84.41294,0.94620144
1150.781,97.52381,1163.2761,84.3097,0.87417245
1170.2858,97.52381,1183.7483,85.23843,0.66127366
1189.7905,97.52381,1203.0364,85.22569,0.88501143
1209.2953,97.52381,1221.6567,84.35176,0.8352019
1228.8,97.52381,1242.4238,85.02982,0.94109964
1287.3143,97.52381,1300.0068,84.75572,0.7871465
1306.8191,97.52381,1319.0404,85.65526,0.5336536
1326.3239,97.52381,1339.4031,85.66574,0.6710946
1345.8286,97.52381,1358.7662,85.15449,0.3044161
1443.3524,97.52381,1455.7776,85.347786,0.78158444
1521.3715,97.52381,1533.8625,85.585915,0.85019475
1540.8762,97.52381,1552.9583,85.43891,0.9537701
1560.381,97.52381,1574.2108,85.86833,0.9573306
1657.9048,97.52381,1669.8232,86.352554,0.58236116
1930.9716,97.52381,1943.248,88.08916,0.8191214
1950.4763,97.52381,1962.7762,88.45836,0.55202925
39.009525,117.02858,52.6028,102.59024,0.22330485
58.51429,117.02858,72.180084,101.012474,0.25573942
78.01905,117.02858,91.4617,100.947205,0.9046768
97.52381,117.02858,109.203445,102.10684,0.82650286
117.02858,117.02858,129.62416,101.234276,0.75810665
136.53334,117.02858,148.15302,101.58222,0.8090069
175.54286,117.02858,188.0017,101.931465,0.5424462
195.04762,117.02858,209.1652,101.9725,0.7691914
214.55238,117.02858,226.26723,101.804115,0.9110414
234.05716,117.02858,246.64532,101.417274,0.8072796
253.56192,117.02858,265.95132,101.77075,0.4276795
351.08572,117.02858,362.2144,102.09286,0.46723002
370.59048,117.02858,383.1149,102.08649,0.8127928
390.09525,117.02858,401.58487,102.43742,0.64576226
409.6,117.02858,421.26968,102.1384,0.77915686
429.10477,117.02858,441.54443,102.84016,0.79595166
448.60953,117.02858,461.1585,102.50317,0.935573
468.11432,117.02858,480.9219,102.592964,0.991179
487.61908,117.02858,500.20358,102.43549,0.9933473
526.6286,117.02858,538.28687,102.40499,0.980363
546.13336,117.02858,558.66705,101.70813,0.8463665
565.6381,117.02858,577.59705,102.312614,0.6560979
585.1429,117.02858,597.7634,101.98433,0.81728387
604.64764,117.02858,616.5631,102.450775,0.9687337
643.65717,117.02858,656.11365,102.34723,0.83207256
663.1619,117.02858,675.50555,102.50742,0.87253946
682.6667,117.02858,694.84576,102.88094,0.47298515
721.6762,117.02858,734.9978,102.59696,0.9447386
741.18097,117.02858,753.2301,103.80184,0.86169547
760.6857,117.02858,772.47534,103.76471,0.71683717
780.1905,117.02858,792.39594,102.59348,0.7552384
858.20953,117.02858,870.0679,102.98188,0.7217217
877.7143,117.02858,889.96936,103.36955,0.9768001
897.21906,117.02858,911.0263,103.46601,0.9477831
916.7238,117.02858,929.3092,103.24537,0.92462957
936.22864,117.02858,949.8311,102.86369,0.8452488
955.7334,117.02858,967.5606,103.2813,0.48414066
1014.2477,117.02858,1027.4695,103.2218,0.891584
1111.7715,117.02858,1123.3031,104.209694,0.7963764
1150.781,117.02858,1163.7084,103.49615,0.9829814
1209.2953,117.02858,1222.094,104.102356,0.8191498
1228.8,117.02858,1241.4916,104.0806,0.9033488
1248.3048,117.02858,1259.6246,104.46677,0.88724667
1267.8096,117.02858,1279.9939,104.74567,0.9488423
1306.8191,117.02858,1318.9379,105.09117,0.33692753
1326.3239,117.02858,1338.8798,105.2801,0.61552125
1345.8286,117.02858,1357.972,105.34372,0.5092344
1365.3334,117.02858,1376.6915,104.76192,0.5500488
1462.8572,117.02858,1476.3634,104.94279,0.94783145
1482.3619,117.02858,1496.1724,104.83038,0.8763872
1521.3715,117.02858,1533.2993,105.20139,0.6480567
1540.8762,117.02858,1554.3584,105.39,0.8425876
1560.381,117.02858,1572.9897,104.891624,0.9757999
1579.8857,117.02858,1592.4806,104.93172,0.93621933
1657.9048,117.02858,1670.7543,105.98093,0.20463431
1755.4286,117.02858,1767.6826,105.64043,0.6375853
1911.4668,117.02858,1923.885,107.44738,0.26714623
58.51429,136.53334,72.82615,120.30566,0.6288333
78.01905,136.53334,91.50441,121.07285,0.7418479
97.52381,136.53334,109.90915,120.49314,0.8424496
117.02858,136.53334,128.98553,121.24133,0.7003148
136.53334,136.53334,149.22633,121.66128,0.6796159
156.0381,136.53334,167.4869,121.766235,0.30701408
175.54286,136.53334,187.50497,121.3502,0.75741917
195.04762,136.53334,207.322,121.40291,0.8565636
214.55238,136.53334,226.21361,120.84186,0.9516116
234.05716,136.53334,245.85371,121.569145,0.88858616
253.56192,136.53334,265.9877,121.77551,0.2630937
331.58096,136.53334,342.3079,121.99621,0.406097
351.08572,136.53334,363.3097,121.939995,0.72666514
370.59048,136.53334,383.2937,121.92935,0.7976089
390.09525,136.53334,402.9334,121.78853,0.9802023
409.6,136.53334,424.12463,121.24528,0.9661988
429.10477,136.53334,441.93915,121.785034,0.9759438
448.60953,136.53334,461.1756,121.928535,0.9780896
468.11432,136.53334,480.58783,121.53514,0.973124
487.61908,136.53334,499.89987,121.45944,0.93246067
526.6286,136.53334,537.72784,121.69647,0.98079926
546.13336,136.53334,558.17267,121.54039,0.79137677
565.6381,136.53334,578.81586,121.54294,0.8443402
585.1429,136.53334,598.45544,121.5975,0.8868874
604.64764,136.53334,617.06555,122.431206,0.89242214
624.1524,136.53334,636.4187,122.12093,0.9632301
643.65717,136.53334,656.21124,122.286575,0.9489721
663.1619,136.53334,675.46564,122.30713,0.90073454
682.6667,136.53334,695.37756,122.192566,0.81981736
702.17145,136.53334,714.4692,121.84111,0.9332571
741.18097,136.53334,753.2573,122.28254,0.7511077
760.6857,136.53334,773.3058,122.25365,0.9086491
799.69525,136.53334,811.75085,122.889366,0.77651083
819.2,136.53334,831.59265,122.15334,0.86591446
838.7048,136.53334,851.33813,122.10516,0.6484979
858.20953,136.53334,871.08655,122.435905,0.8821649
877.7143,136.53334,890.3369,122.63873,0.9543498
897.21906,136.53334,909.296,122.88064,0.9786787
916.7238,136.53334,928.8917,122.59897,0.77339387
955.7334,136.53334,967.3053,123.09068,0.7530859
1033.7524,136.53334,1046.8052,122.62375,0.6125514
1092.2667,136.53334,1105.0754,124.63263,0.84027326
1111.7715,136.53334,1123.6741,123.71638,0.73816144
1131.2762,136.53334,1144.537,122.95791,0.8598839
1209.2953,136.53334,1221.291,123.41808,0.7991942
1248.3048,136.53334,1260.56,124.60883,0.9837785
1267.8096,136.53334,1279.7269,124.196304,0.9559354
1287.3143,136.53334,1300.3837,124.81451,0.5321711
1326.3239,136.53334,1338.5212,125.32237,0.839203
1345.8286,136.53334,1357.6051,124.41467,0.5768843
1365.3334,136.53334,1377.7437,124.228096,0.6926519
1384.8381,136.53334,1397.3342,124.42574,0.8619179
1404.3429,136.53334,1417.9822,124.12259,0.9059054
1501.8667,136.53334,1514.4644,124.13317,0.7523068
1540.8762,136.53334,1553.6404,124.71528,0.8037823
1599.3905,136.53334,1612.2172,125.072044,0.9594599
1657.9048,136.53334,1669.8225,124.88117,0.5184614
1755.4286,136.53334,1769.3585,127.1795,0.3817028
1774.9333,136.53334,1788.09,125.02953,0.6964348
1852.9524,136.53334,1865.666,125.42613,0.68196356
78.01905,156.0381,91.68468,139.41158,0.6290382
97.52381,156.0381,111.52564,140.32271,0.6024236
117.02858,156.0381,129.10573,140.97968,0.8757576
136.53334,156.0381,148.85063,140.91342,0.94915944
156.0381,156.0381,167.27705,140.94781,0.88207734
175.54286,156.0381,186.98524,140.85544,0.9406863
195.04762,156.0381,206.69511,141.02861,0.96621954
214.55238,156.0381,226.03505,140.84325,0.8051041
234.05716,156.0381,247.01704,141.69533,0.84168094
253.56192,156.0381,266.84647,141.72475,0.4008401
292.57144,156.0381,306.85828,140.36224,0.5685526
351.08572,156.0381,362.78165,141.4555,0.80596066
370.59048,156.0381,382.88885,140.96368,0.94270617
390.09525,156.0381,403.79285,141.02301,0.9952804
409.6,156.0381,422.2523,141.22343,0.97389114
429.10477,156.0381,440.30994,141.50275,0.9201528
468.11432,156.0381,479.7338,140.98404,0.9914606
487.61908,156.0381,500.40363,140.88638,0.98166656
507.12384,156.0381,518.9774,140.84608,0.9764531
526.6286,156.0381,539.20886,141.38768,0.96588093
546.13336,156.0381,559.55896,141.27423,0.85929483
565.6381,156.0381,578.9449,141.91847,0.69159806
585.1429,156.0381,599.2748,141.57193,0.97184795
604.64764,156.0381,618.8993,141.22784,0.95461655
624.1524,156.0381,635.0425,142.00182,0.96848464
643.65717,156.0381,655.64655,141.58585,0.9584146
663.1619,156.0381,675.00543,141.68822,0.88154143
682.6667,156.0381,695.4127,141.71577,0.8144822
702.17145,156.0381,714.4414,141.05316,0.8856119
721.6762,156.0381,733.46387,141.44421,0.86947787
741.18097,156.0381,753.45776,142.10194,0.7786409
760.6857,156.0381,772.8953,141.64009,0.8406685
780.1905,156.0381,791.7407,142.40868,0.7937327
799.69525,156.0381,811.88434,142.24925,0.58107424
819.2,156.0381,831.78796,141.93266,0.8195086
838.7048,156.0381,850.74963,142.03009,0.8157198
858.20953,156.0381,871.52295,141.9834,0.9373033
955.7334,156.0381,968.1451,142.32137,0.89344066
975.23816,156.0381,988.1626,142.0864,0.97204626
1053.2572,156.0381,1065.3818,142.53632,0.6677548
1072.762,156.0381,1085.4585,142.38783,0.84379584
1092.2667,156.0381,1105.5387,142.80338,0.66945803
1111.7715,156.0381,1125.9341,143.8977,0.799273
1131.2762,156.0381,1144.8163,142.45168,0.8255276
1150.781,156.0381,1163.7878,142.416,0.8070302
1170.2858,156.0381,1182.5366,142.64041,0.93968713
1209.2953,156.0381,1220.7709,143.13103,0.9512992
1228.8,156.0381,1240.7972,143.02591,0.9440946
1267.8096,156.0381,1279.7499,143.71994,0.9864737
1287.3143,156.0381,1298.5413,144.42853,0.86316115
1306.8191,156.0381,1317.8693,144.76918,0.6833666
1365.3334,156.0381,1377.4738,143.37914,0.89528066
1404.3429,156.0381,1417.9419,143.45088,0.9584191
1423.8477,156.0381,1436.2883,143.73459,0.87877154
1462.8572,156.0381,1474.9108,143.62863,0.6384699
1560.381,156.0381,1572.6836,144.05083,0.820161
1579.8857,156.0381,1593.023,143.9723,0.76336795
1599.3905,156.0381,1611.4426,144.2979,0.89956206
