source_x,source_y,reference_x,reference_y,confidence
904.57025,1261.2911,916.5662,1247.1145,1.0
904.57025,1261.2911,916.5662,1247.1145,1.0
904.57025,1261.2911,916.5662,1247.1145,1.0
558.71545,1882.5944,570.7127,1867.5839,1.0
558.71545,1882.5944,570.7127,1867.5839,1.0
1347.123,1028.1082,1359.1818,1014.8463,1.0
1347.493,662.58276,1359.5764,649.1204,1.0
1106.1915,883.3522,1117.9559,869.6331,1.0
1005.54443,1384.2952,1017.7462,1369.9016,1.0
1005.54443,1384.2952,1017.7462,1369.9016,1.0
654.48285,380.9479,666.12573,366.5602,1.0
902.4264,380.6407,914.25104,366.66876,1.0
1704.7462,614.3099,1716.7185,602.3568,1.0
1349.3494,962.84174,1361.539,949.596,1.0
1349.3494,962.84174,1361.539,949.596,1.0
1349.6969,1918.2452,1362.2023,1904.8741,1.0
559.748,403.6523,571.5738,388.47824,1.0
1351.3918,516.219,1363.0093,503.49744,1.0
930.89343,1529.2433,942.9437,1514.9171,1.0
1276.1383,202.04259,1288.0431,189.12395,1.0
167.307,1439.7714,179.32767,1424.0658,1.0
517.6331,1801.26,529.92224,1786.1027,1.0
517.1664,1770.898,529.1177,1755.7268,1.0
1353.5781,330.30673,1364.3752,318.0364,1.0
1353.9022,1059.1823,1365.9456,1045.9521,1.0
515.4875,1410.6439,527.20654,1395.4996,1.0
1357.0159,284.9827,1368.8055,272.45026,1.0
561.3382,364.929,572.88806,350.32986,1.0
1706.0027,577.2768,1717.9135,565.0913,1.0
561.4753,1775.3661,573.3091,1760.1691,1.0
561.60785,965.55383,573.35815,950.5648,1.0
1360.1179,1096.6738,1372.2915,1083.6044,1.0
932.1348,773.8373,944.0635,759.9649,1.0
1777.6936,1241.0931,1790.071,1228.7118,1.0
1363.0642,1836.7218,1375.3118,1823.4934,1.0
1102.3267,624.9208,1113.8883,611.4295,1.0
896.59393,370.5965,908.15393,356.5924,1.0
1271.0094,210.20416,1282.5249,197.42291,1.0
1101.7145,988.04144,1114.3805,976.06213,1.0
1007.116,822.22205,1018.93604,808.4426,1.0
1007.2154,1233.5587,1019.09534,1219.5685,1.0
895.9058,240.11687,907.81146,226.29803,1.0
1100.9613,899.7467,1112.2032,886.20984,1.0
1007.3324,1565.3789,1019.3588,1551.3278,1.0
509.84464,1408.4309,521.78687,1393.3823,1.0
509.84464,1408.4309,521.78687,1393.3823,1.0
1269.7456,277.81082,1281.6404,265.41495,1.0
1366.987,232.79976,1378.6012,219.8954,1.0
1709.4855,701.23834,1721.9753,688.94867,1.0
1368.6475,266.8337,1380.4614,254.16971,1.0
1368.6475,266.8337,1380.4614,254.16971,1.0
564.1097,1075.5277,575.9552,1060.4813,1.0
