source_x,source_y,reference_x,reference_y,confidence
1806.5,30.5,1818.5,18.5,0.8500539
220.5,32.5,232.5,16.5,0.2585197
796.5,32.5,808.5,20.5,0.98577183
394.5,36.5,406.5,20.5,0.5330135
1326.5,36.5,1338.5,22.5,0.9530077
188.5,38.5,200.5,22.5,0.9786896
472.5,40.5,482.5,26.5,0.99066615
554.5,40.5,566.5,24.5,0.99797595
1120.5,40.5,1132.5,28.5,0.9974247
1362.5,42.5,1372.5,28.5,0.95519614
62.5,44.5,74.5,30.5,0.63989633
1976.5,44.5,1986.5,32.5,0.87958515
256.5,46.5,268.5,30.5,0.9368819
630.5,46.5,642.5,32.5,0.9881596
164.5,50.5,176.5,34.5,0.9916242
1076.5,50.5,1086.5,34.5,0.53206503
1500.5,50.5,1512.5,36.5,0.9512072
1592.5,50.5,1604.5,36.5,0.9565039
1850.5,56.5,1862.5,44.5,0.96361166
850.5,62.5,862.5,48.5,0.99772626
222.5,64.5,234.5,50.5,0.9056402
1834.5,66.5,1846.5,56.5,0.77222204
2002.5,66.5,2012.5,54.5,0.9591903
182.5,68.5,192.5,52.5,0.9901657
252.5,70.5,264.5,54.5,0.84823245
890.5,70.5,902.5,54.5,0.9984473
1966.5,70.5,1978.5,58.5,0.97966474
1766.5,80.5,1780.5,68.5,0.98060906
52.5,82.5,64.5,68.5,0.6228287
472.5,82.5,484.5,66.5,0.9981322
1976.5,84.5,1990.5,72.5,0.96607834
1086.5,88.5,1098.5,74.5,0.9983991
1374.5,88.5,1386.5,78.5,0.990518
402.5,90.5,414.5,76.5,0.9966852
596.5,92.5,608.5,76.5,0.99930537
882.5,92.5,894.5,78.5,0.9963906
556.5,96.5,568.5,80.5,0.992051
1002.5,98.5,1012.5,84.5,0.98110276
436.5,104.5,446.5,88.5,0.99797016
944.5,104.5,956.5,90.5,0.9985976
1998.5,104.5,2010.5,92.5,0.96520644
302.5,106.5,314.5,92.5,0.9343622
1022.5,106.5,1032.5,94.5,0.99678826
1790.5,106.5,1804.5,94.5,0.8112857
384.5,108.5,396.5,94.5,0.9972847
1114.5,108.5,1126.5,94.5,0.9946562
90.5,110.5,102.5,94.5,0.9558067
1964.5,110.5,1976.5,98.5,0.99061817
1774.5,112.5,1788.5,100.5,0.9954434
1610.5,114.5,1624.5,102.5,0.98201895
1892.5,116.5,1906.5,104.5,0.9961665
964.5,120.5,976.5,106.5,0.99936765
110.5,122.5,122.5,108.5,0.9262781
616.5,122.5,628.5,106.5,0.99954194
1316.5,122.5,1326.5,110.5,0.9863488
416.5,124.5,426.5,108.5,0.9932318
1272.5,124.5,1282.5,110.5,0.9878141
1522.5,124.5,1532.5,112.5,0.99166447
810.5,126.5,822.5,112.5,0.9974748
990.5,128.5,1002.5,114.5,0.99936384
890.5,130.5,902.5,116.5,0.9967697
168.5,134.5,178.5,120.5,0.9903068
468.5,134.5,480.5,118.5,0.97503626
