source_x,source_y,reference_x,reference_y,confidence
78.01905,58.51429,90.565025,43.34192,0.594614
117.02858,58.51429,128.44563,43.449978,0.4958978
136.53334,58.51429,149.1384,43.107666,0.3582568
156.0381,58.51429,168.50488,42.71197,0.8492323
175.54286,58.51429,189.4146,42.27074,0.6811754
195.04762,58.51429,207.62141,43.61809,0.5153994
214.55238,58.51429,225.75206,43.112167,0.53216434
234.05716,58.51429,247.21973,42.564304,0.84513277
253.56192,58.51429,266.4367,43.26243,0.7944693
273.06668,58.51429,286.3379,43.369576,0.5317119
370.59048,58.51429,384.57043,44.25454,0.3173946
390.09525,58.51429,404.30142,44.277992,0.33250174
409.6,58.51429,423.82465,44.11782,0.661276
429.10477,58.51429,441.22192,43.89936,0.5771909
448.60953,58.51429,459.87827,42.692738,0.8339047
468.11432,58.51429,481.09875,43.615288,0.78602856
487.61908,58.51429,500.88568,43.291943,0.8977984
507.12384,58.51429,519.5651,43.78253,0.8559478
526.6286,58.51429,538.11835,44.359657,0.92221826
546.13336,58.51429,558.2604,44.06232,0.89412105
565.6381,58.51429,576.6946,44.439342,0.93583244
585.1429,58.51429,597.47186,43.834423,0.8799215
604.64764,58.51429,617.1864,44.10457,0.8692572
624.1524,58.51429,635.70337,43.94047,0.7491348
643.65717,58.51429,655.7907,43.697296,0.9208005
663.1619,58.51429,676.1959,44.25934,0.7010209
682.6667,58.51429,694.2063,44.721462,0.8339837
702.17145,58.51429,713.5366,44.603237,0.90291435
721.6762,58.51429,734.28796,43.877674,0.88633585
741.18097,58.51429,754.30426,44.39654,0.99347425
760.6857,58.51429,772.6445,44.172737,0.95251626
780.1905,58.51429,791.3202,44.416756,0.31627917
799.69525,58.51429,810.99567,44.34318,0.52185965
819.2,58.51429,830.5074,44.429134,0.7825348
838.7048,58.51429,850.5793,44.135284,0.66094947
858.20953,58.51429,870.78345,44.28049,0.9100245
877.7143,58.51429,890.8211,44.81102,0.98553866
897.21906,58.51429,908.68933,44.100075,0.99164045
916.7238,58.51429,928.52655,44.3709,0.9332861
936.22864,58.51429,948.3249,45.22131,0.9549461
955.7334,58.51429,967.4197,45.404198,0.95109236
975.23816,58.51429,987.28674,44.56824,0.94726646
994.7429,58.51429,1007.2393,45.262096,0.7571807
1014.2477,58.51429,1026.9053,45.585827,0.5131616
1033.7524,58.51429,1046.1287,44.036713,0.6387785
1053.2572,58.51429,1064.8944,46.79969,0.73612833
