source_x,source_y,reference_x,reference_y,confidence,prior_residual_px
592.0,252.0,591.5855,252.11908,0.28922927,0.03771282267599858
894.0,60.0,894.1306,60.253334,0.8953374,0.10147302791039564
624.0,236.0,623.74225,236.14825,0.45087105,0.11651189934278418
892.0,56.0,892.1842,56.040394,0.26114944,0.16218428575227276
902.0,76.0,902.26624,76.22612,0.72178936,0.18185932140005642
592.0,252.0,591.7661,252.03604,0.80550194,0.18245125956070593
656.0,572.0,655.8689,571.9043,0.52721655,0.19579231021556734
860.0,64.0,859.8375,64.23433,0.8783857,0.20408771726659183
637.0,500.0,636.6852,500.23404,0.9757773,0.21196659732428394
916.0,92.0,916.25867,92.326515,0.2663227,0.2183271881371511
469.0,340.0,468.61008,340.06436,0.57078224,0.22230213216329486
876.0,80.0,876.19794,79.956635,0.35744557,0.2464147211231299
894.0,56.0,894.09216,56.451214,0.28279966,0.2866761781161182
637.0,500.0,636.95807,500.0441,0.97987336,0.2899675498374115
836.0,72.0,835.928,72.45176,0.9835902,0.3034284739536039
852.0,60.0,851.91583,59.843124,0.93995863,0.3308484449931429
860.0,60.0,859.89685,60.472652,0.5103769,0.3387234450722461
894.0,72.0,893.9359,71.84189,0.4572829,0.3511517362216503
661.0,572.0,660.3586,571.9663,0.2633307,0.3537282131692721
640.0,500.0,639.6974,500.3947,0.7965124,0.37243509755420584
838.0,72.0,838.35156,72.26499,0.96612656,0.37703046099075765
629.0,492.0,628.4691,491.69162,0.4238181,0.38099169405107136
918.0,88.0,917.7362,88.21729,0.45943978,0.39144162738251626
852.0,64.0,852.2825,63.860355,0.9151926,0.40089616778824033
860.0,64.0,860.4292,64.15434,0.30539778,0.40204754598596915
645.0,500.0,645.0497,499.815,0.8623228,0.42264852352638144
854.0,60.0,853.5884,60.15554,0.51442456,0.42884060343291447
860.0,68.0,859.8165,68.53411,0.65488523,0.43120063680637594
934.0,108.0,934.5828,108.1696,0.40498772,0.4329587504059627
892.0,72.0,892.5114,72.12091,0.5971761,0.43311870208557557
852.0,776.0,852.4047,775.75543,0.38096303,0.43506563974194473
910.0,76.0,910.55725,76.20545,0.73124003,0.44957723449031717
886.0,36.0,885.65906,35.975464,0.9808532,0.4537083129367195
732.0,148.0,732.27594,148.17339,0.28986233,0.4606684416690155
661.0,572.0,660.5214,572.4319,0.8794983,0.46503642351121083
860.0,56.0,859.54236,56.15405,0.9073576,0.4846989584124092
892.0,60.0,892.51514,60.41426,0.72618306,0.5023908075467804
640.0,500.0,640.20123,500.12354,0.9754685,0.5368881995566331
894.0,68.0,893.85876,68.665634,0.6169649,0.5517892084294677
862.0,56.0,862.096,55.61056,0.99062943,0.5545592598633222
844.0,72.0,844.5296,72.33141,0.97270846,0.5572383524447567
878.0,80.0,878.24866,79.62971,0.721746,0.5607719007417341
854.0,64.0,854.5004,64.44379,0.8409335,0.5611872379264655
608.0,452.0,607.10767,452.28412,0.35176152,0.5711152825433632
852.0,72.0,852.02203,71.58451,0.32417214,0.5715614060782742
900.0,76.0,900.48486,76.57791,0.715279,0.5725029189050309
648.0,500.0,648.0314,499.56534,0.20018424,0.5734520785003226
846.0,792.0,846.4526,792.34814,0.6108482,0.5746582997706153
553.0,752.0,553.0525,751.69604,0.32790083,0.5752056610876081
884.0,76.0,884.65186,76.11311,0.6196694,0.5866173901835895
876.0,44.0,875.8613,43.604984,0.38340744,0.592721445185765
934.0,100.0,934.7027,100.38786,0.83582777,0.598777610565087
838.0,76.0,838.5403,76.503334,0.43153057,0.6510972634000007
892.0,68.0,892.2191,68.80772,0.6531637,0.6611353298620122
878.0,76.0,878.7134,76.293144,0.87603307,0.6700848236008135
624.0,460.0,624.31177,460.12048,0.25863445,0.6710719109071703
908.0,192.0,908.4195,192.72816,0.597772,0.6728373790556231
734.0,148.0,733.9313,148.79276,0.24353464,0.6780425616133785
910.0,192.0,910.50665,192.70947,0.47088987,0.6997137635868631
870.0,48.0,870.5749,47.703106,0.95436525,0.7036455515897723
584.0,580.0,584.2625,579.8049,0.35275418,0.7057599778699308
884.0,40.0,884.1425,39.44358,0.90927607,0.7281387101556078
934.0,104.0,933.98566,104.86944,0.31043604,0.7314616543554787
910.0,84.0,910.86,84.18336,0.51673716,0.7503538236338132
886.0,52.0,886.18726,51.402218,0.50066525,0.7716211201718183
852.0,64.0,852.62274,63.680294,0.901874,0.7738546131615193
836.0,76.0,836.7661,76.2661,0.74097294,0.7863775828001986
846.0,796.0,846.2961,796.7071,0.55683714,0.7878971481633353
924.0,88.0,923.4317,88.52007,0.9529216,0.7886297096636723
656.0,204.0,656.3386,203.64056,0.92674214,0.7921629498260898
584.0,580.0,584.3079,579.6222,0.5043277,0.8155955469055827
862.0,64.0,862.1183,64.979355,0.45157218,0.8248839316139606
950.0,124.0,950.2355,124.99068,0.67237526,0.8394575853866408
852.0,768.0,852.49115,768.68164,0.25975212,0.8425886307569957
868.0,76.0,868.15027,76.99975,0.3317757,0.8501252853714347
734.0,148.0,734.5069,148.64523,0.30608612,0.8614373367518166
862.0,60.0,861.7707,60.985294,0.62299615,0.8650124167866686
844.0,796.0,844.8502,796.2224,0.42384169,0.8714647823135498
846.0,788.0,846.8878,787.8592,0.4694764,0.8755015759552258
868.0,80.0,868.0944,81.0401,0.33567026,0.8860342990049596
