source_x,source_y,reference_x,reference_y,confidence,final_residual_px
592.0,252.0,591.7661,252.03604,0.80550194,0.25423324182182866
592.0,252.0,591.5855,252.11908,0.28922927,0.45103377953030505
589.0,260.0,589.3047,260.8399,0.278745,0.9139671880205305
934.0,100.0,934.7027,100.38786,0.83582777,0.08544366963146846
910.0,76.0,910.55725,76.20545,0.73124003,0.09324856065309016
892.0,72.0,892.5114,72.12091,0.5971761,0.14452085684353375
884.0,76.0,884.65186,76.11311,0.6196694,0.1500201402917812
878.0,76.0,878.7134,76.293144,0.87603307,0.16965480221281065
892.0,60.0,892.51514,60.41426,0.72618306,0.18404763774271563
910.0,84.0,910.86,84.18336,0.51673716,0.2442902468525123
900.0,76.0,900.48486,76.57791,0.715279,0.34350232056542124
624.0,236.0,623.74225,236.14825,0.45087105,0.36289475745427224
624.0,236.0,622.97644,236.99359,0.25701427,1.4783845931391237
645.0,212.0,643.75555,213.61584,0.7389848,2.0928390117090703
629.0,236.0,627.1952,237.10913,0.2119729,2.1875242147512965
653.0,572.0,653.62787,571.9347,0.46976137,0.37395691023943406
656.0,572.0,655.8689,571.9043,0.52721655,0.5340131125908036
648.0,572.0,648.54767,572.84924,0.35993266,0.7320023826366941
661.0,572.0,660.5214,572.4319,0.8794983,0.8666723790875202
661.0,572.0,660.3586,571.9663,0.2633307,1.0091205137210373
653.0,572.0,655.36725,572.0707,0.615115,2.0399466359040175
860.0,64.0,860.4292,64.15434,0.30539778,0.09490941079127249
838.0,72.0,838.35156,72.26499,0.96612656,0.13749973615249336
844.0,72.0,844.5296,72.33141,0.97270846,0.14923295370501488
854.0,64.0,854.5004,64.44379,0.8409335,0.24376402051092616
836.0,76.0,836.7661,76.2661,0.74097294,0.31568665650425926
838.0,76.0,838.5403,76.503334,0.43153057,0.32546772908066374
852.0,64.0,852.2825,63.860355,0.9151926,0.3963763278423818
844.0,76.0,844.9053,76.124596,0.91453755,0.43162020855350675
640.0,500.0,640.20123,500.12354,0.9754685,0.058637990963675446
624.0,460.0,624.31177,460.12048,0.25863445,0.11549411780210914
637.0,500.0,636.95807,500.0441,0.97987336,0.30346002474937545
645.0,500.0,645.0497,499.815,0.8623228,0.3805324019551014
637.0,500.0,636.6852,500.23404,0.9757773,0.5799992627135409
648.0,500.0,648.0314,499.56534,0.20018424,0.6141780792520959
640.0,500.0,639.6974,500.3947,0.7965124,0.6262577375981526
629.0,492.0,628.4691,491.69162,0.4238181,0.8658242965326974
469.0,340.0,468.61008,340.06436,0.57078224,0.2630932740136291
469.0,340.0,469.2596,339.50018,0.9160161,0.5999986596265551
469.0,340.0,468.92752,340.8806,0.2278762,1.0212052540873602
473.0,340.0,473.80524,339.4267,0.43219444,1.1042684657065063
934.0,108.0,934.5828,108.1696,0.40498772,0.17889923814294614
910.0,192.0,910.50665,192.70947,0.47088987,0.44099781568936003
908.0,192.0,908.4195,192.72816,0.597772,0.499184008819615
910.0,196.0,911.0965,196.76573,0.37013078,0.6070579514219765
950.0,124.0,950.2355,124.99068,0.67237526,0.8339779205276248
934.0,104.0,933.98566,104.86944,0.31043604,0.9082508277076083
916.0,160.0,916.6422,159.21284,0.34403968,1.092598118551803
934.0,104.0,934.3794,103.10656,0.3361698,1.239024919413594
854.0,764.0,855.0534,764.442,0.62140566,0.1662429582967722
844.0,796.0,844.8502,796.2224,0.42384169,0.23523476091691606
846.0,792.0,846.4526,792.34814,0.6108482,0.44612267341346185
852.0,768.0,852.49115,768.68164,0.25975212,0.45522209280597975
844.0,792.0,844.6943,792.916,0.36529946,0.49842688063114704
852.0,764.0,852.9431,765.00867,0.4856038,0.5592489568596207
766.0,800.0,766.8811,800.9243,0.5187451,0.5805438705867012
774.0,796.0,774.7769,796.9652,0.2204136,0.5904921487069824
732.0,148.0,732.27594,148.17339,0.28986233,0.07976656275792342
656.0,204.0,656.3386,203.64056,0.92674214,0.44135118668179546
734.0,148.0,734.5069,148.64523,0.30608612,0.5967976673842542
718.0,160.0,718.31305,159.36768,0.64418775,0.7183268244448534
740.0,148.0,741.0521,148.08081,0.56024873,0.7660703414295064
734.0,148.0,733.9313,148.79276,0.24353464,0.7758171284108779
742.0,148.0,743.1175,148.93506,0.45998582,1.171336634508109
732.0,148.0,732.6185,146.95267,0.44000363,1.1937939938064246
608.0,452.0,607.10767,452.28412,0.35176152,1.0757542786311938
537.0,420.0,536.48914,418.94992,0.22031468,1.1377690858998164
576.0,468.0,576.0512,469.4571,0.20415723,1.4222034150055225
616.0,468.0,616.33734,466.58594,0.21342695,1.5019954857327615
553.0,752.0,553.0525,751.69604,0.32790083,0.44458755857237486
541.0,760.0,541.46356,760.91046,0.22889647,0.8548548786677813
553.0,756.0,554.79535,756.77606,0.61437845,1.7193330088344803
584.0,580.0,584.2625,579.8049,0.35275418,0.2926839589030462
584.0,580.0,584.3079,579.6222,0.5043277,0.4808025424564651
568.0,580.0,569.7744,578.4226,0.27483326,2.3165855196677607
509.0,380.0,507.62543,380.36597,0.548894,1.3462476454645442
433.0,640.0,433.72748,641.2217,0.32069835,1.5413857625470422
433.0,636.0,431.89243,637.1594,0.4067829,1.5667378679662163
441.0,636.0,442.36932,635.3794,0.232379,1.5841181572140035
784.0,140.0,785.65204,142.30493,0.50042844,2.5026725950468744
