source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
123.625,32.125,122.65234375,31.752464294433594,568844.6484375,-101343.474609375,568839.78515625,-101341.61193084717,1.3113616615071328,6.556808307535665
118.375,47.125,119.12109375,45.89052963256836,568818.3984375,-101418.474609375,568822.12890625,-101412.30225753784,1.0787400422187368,5.393700211093684
351.625,68.125,352.18359375,67.98126220703125,569984.6484375,-101523.474609375,569987.44140625,-101522.75592041016,0.3643269488127914,1.8216347440639569
282.625,74.125,282.44140625,74.16666412353516,569639.6484375,-101553.474609375,569638.73046875,-101553.68292999268,0.5247881309137331,2.6239406545686657
379.375,75.625,380.43359375,76.81755065917969,570123.3984375,-101560.974609375,570128.69140625,-101566.9373626709,1.6082341397665536,8.041170698832769
363.625,78.625,363.66015625,78.58480834960938,570044.6484375,-101575.974609375,570044.82421875,-101575.77365112305,0.2198303180416373,1.0991515902081865
356.125,83.125,355.71484375,83.0029525756836,570007.1484375,-101598.474609375,570005.09765625,-101597.86437225342,0.6485380349552325,3.242690174776163
388.375,86.125,388.37890625,85.65384674072266,570168.3984375,-101613.474609375,570168.41796875,-101611.11884307861,0.3687220221629157,1.8436101108145786
284.875,86.875,285.08984375,85.65384674072266,569650.8984375,-101617.224609375,569651.97265625,-101611.11884307861,1.0265401184984013,5.132700592492006
378.625,87.625,379.55078125,87.42110443115234,570119.6484375,-101620.974609375,570124.27734375,-101619.95513153076,0.7004876991051592,3.502438495525796
278.125,90.625,278.02734375,90.07199096679688,569617.1484375,-101635.974609375,569616.66015625,-101633.20956420898,0.5610318267459825,2.8051591337299127
290.125,90.625,290.38671875,90.07199096679688,569677.1484375,-101635.974609375,569678.45703125,-101633.20956420898,0.35758944040818397,1.78794720204092
362.875,95.875,362.77734375,94.4901351928711,570040.8984375,-101662.224609375,570040.41015625,-101655.30028533936,1.2564368784595492,6.282184392297746
380.125,99.625,380.43359375,98.90827941894531,570127.1484375,-101680.974609375,570128.69140625,-101677.39100646973,0.5381366196422166,2.6906830982110828
