source_x,source_y,reference_x,reference_y,source_map_x_m,source_map_y_m,reference_map_x_m,reference_map_y_m,final_residual_px,final_residual_nominal_m
281.875,167.125,282.44140625,166.94772338867188,569635.8984375,-102018.474609375,569638.73046875,-102017.58822631836,0.09522395270646414,0.47611976353232066
83.125,165.625,83.80859375,165.1804656982422,568642.1484375,-102010.974609375,568645.56640625,-102008.75193786621,0.14840981421334878,0.7420490710667439
305.125,103.375,305.39453125,103.32642364501953,569752.1484375,-101699.724609375,569753.49609375,-101699.4817276001,0.1805859781683381,0.9029298908416905
203.125,197.125,203.87109375,196.99111938476562,569242.1484375,-102168.474609375,569245.87890625,-102167.80520629883,0.19034354953751298,0.9517177476875649
161.875,155.875,162.37890625,155.46054077148438,569035.8984375,-101962.224609375,569038.41796875,-101960.15231323242,0.20071720103566185,1.0035860051783092
781.875,221.875,782.09765625,221.73622131347656,572135.8984375,-102292.224609375,572137.01171875,-102291.53071594238,0.023099889793527884,0.11549944896763942
799.125,198.625,799.23046875,198.55511474609375,572222.1484375,-102175.974609375,572222.67578125,-102175.62518310547,0.06263241065040841,0.31316205325204205
811.125,192.625,811.32421875,192.50787353515625,572282.1484375,-102145.974609375,572283.14453125,-102145.38897705078,0.1123784430971953,0.5618922154859765
874.875,224.875,874.81640625,224.7598419189453,572600.8984375,-102307.224609375,572600.60546875,-102306.64881896973,0.17749315125787077,0.8874657562893539
793.125,224.125,793.18359375,223.75196838378906,572192.1484375,-102303.474609375,572192.44140625,-102301.60945129395,0.2614229257883339,1.3071146289416697
227.125,380.125,228.58984375,379.90234375,569362.1484375,-103083.474609375,569369.47265625,-103082.361328125,0.30704104258938736,1.535205212946937
240.625,446.875,241.83203125,446.1745300292969,569429.6484375,-103417.224609375,569435.68359375,-103413.72225952148,0.325426196915545,1.6271309845777249
80.125,312.625,81.16015625,311.8629150390625,568627.1484375,-102745.974609375,568632.32421875,-102742.16418457031,0.361428631367112,1.80714315683556
69.625,276.625,70.56640625,276.5177307128906,568574.6484375,-102565.974609375,568579.35546875,-102565.43826293945,0.38645070613916277,1.9322535306958137
131.875,297.625,133.24609375,296.8412170410156,568885.8984375,-102670.974609375,568892.75390625,-102667.05569458008,0.41765156844388746,2.0882578422194373
887.625,303.625,887.91796875,303.3740234375,572664.6484375,-102700.974609375,572666.11328125,-102699.7197265625,0.078850123873658,0.39425061936829
1130.625,353.875,1130.80078125,353.7677307128906,573879.6484375,-102952.224609375,573880.52734375,-102951.68826293945,0.08523606840551515,0.4261803420275757
1122.375,391.375,1122.73828125,391.0590515136719,573838.3984375,-103139.724609375,573840.21484375,-103138.14486694336,0.12064700972250317,0.6032350486125159
1096.125,392.125,1096.53515625,392.0669250488281,573707.1484375,-103143.474609375,573709.19921875,-103143.18423461914,0.14700681708708457,0.7350340854354229
1100.375,336.625,1100.59765625,336.63385009765625,573728.3984375,-102865.974609375,573729.51171875,-102866.01885986328,0.1632434743878191,0.8162173719390955
1612.625,447.625,1612.56640625,447.5,576289.6484375,-103420.974609375,576289.35546875,-103420.349609375,0.08455416869653129,0.4227708434826565
1294.625,448.375,1295.10546875,448.50787353515625,574699.6484375,-103424.724609375,574702.05078125,-103425.38897705078,0.3442742905621068,1.721371452810534
1416.875,379.375,1417.05078125,378.9645690917969,575310.8984375,-103079.724609375,575311.77734375,-103077.67245483398,0.3596165738393718,1.798082869196859
1405.625,392.875,1405.96484375,393.0747985839844,575254.6484375,-103147.224609375,575256.34765625,-103148.22360229492,0.4075326159412707,2.0376630797063537
1419.875,425.875,1420.07421875,425.3267822265625,575325.8984375,-103312.224609375,575326.89453125,-103309.48352050781,0.42172149617336,2.1086074808668003
428.875,541.875,431.0,541.0,570370.8984375,-103892.224609375,570381.5234375,-103887.849609375,0.6350972183380519,3.175486091690259
472.375,533.125,474.89453125,532.7702026367188,570588.3984375,-103848.474609375,570600.99609375,-103846.7006225586,1.0314625449703847,5.1573127248519235
497.125,566.875,500.49609375,567.2317504882812,570712.1484375,-104017.224609375,570729.00390625,-104019.0083618164,2.008051201326287,10.040256006631434
607.125,596.875,610.76953125,597.6732177734375,571262.1484375,-104167.224609375,571280.37109375,-104171.21569824219,2.4826672288987677,12.413336144493838
422.125,543.375,426.0,544.0,570337.1484375,-103899.724609375,570356.5234375,-103902.849609375,2.5736607418307447,12.868303709153723
1102.125,476.875,1102.58203125,476.72833251953125,573737.1484375,-103567.224609375,573739.43359375,-103566.49127197266,0.23626679447468987,1.1813339723734493
1000.875,575.125,1001.80078125,574.4921264648438,573230.8984375,-104058.474609375,573235.52734375,-104055.31024169922,0.2749426095350234,1.374713047675117
865.125,476.125,865.74609375,475.720458984375,572552.1484375,-103563.474609375,572555.25390625,-103561.45190429688,0.289240547922394,1.44620273961197
1026.375,512.125,1026.99609375,512.0039672851562,573358.3984375,-103743.474609375,573361.50390625,-103742.86944580078,0.3077003941984461,1.5385019709922303
1090.125,476.875,1090.48828125,476.72833251953125,573677.1484375,-103567.224609375,573678.96484375,-103566.49127197266,0.33199523686842003,1.6599761843421001
1592.125,524.125,1592.44140625,524.0984497070312,576187.1484375,-103803.474609375,576188.73046875,-103803.34185791016,0.13897585240007798,0.6948792620003899
1542.875,474.625,1543.02734375,474.71258544921875,575940.8984375,-103555.974609375,575941.66015625,-103556.4125366211,0.2202547599149644,1.101273799574822
1554.125,474.625,1554.11328125,474.71258544921875,575997.1484375,-103555.974609375,575997.08984375,-103556.4125366211,0.27692251432635523,1.384612571631776
1697.375,457.375,1697.22265625,457.5787353515625,576713.3984375,-103469.724609375,576712.63671875,-103470.74328613281,0.29042854506334287,1.4521427253167143
1652.375,512.125,1652.87890625,512.0039672851562,576488.3984375,-103743.474609375,576490.91796875,-103742.86944580078,0.3311967878399561,1.6559839391997806
2308.125,611.875,2308.01953125,611.783447265625,579767.1484375,-104242.224609375,579766.62109375,-104241.76684570312,0.14643711172386134,0.7321855586193067
2322.375,638.875,2322.12890625,638.9960327148438,579838.3984375,-104377.224609375,579837.16796875,-104377.82977294922,0.17023627127966123,0.8511813563983062
2248.875,608.875,2248.55859375,608.7598266601562,579470.8984375,-104227.224609375,579469.31640625,-104226.64874267578,0.17673251360595557,0.8836625680297778
2190.375,611.875,2190.10546875,611.783447265625,579178.3984375,-104242.224609375,579177.05078125,-104241.76684570312,0.1809213342642743,0.9046066713213716
2176.875,620.875,2177.00390625,620.8543090820312,579110.8984375,-104287.224609375,579111.54296875,-104287.12115478516,0.18527081283364955,0.9263540641682477
2393.625,760.125,2393.68359375,759.94091796875,580194.6484375,-104983.474609375,580194.94140625,-104982.55419921875,0.1166580964441035,0.5832904822205175
2406.375,829.125,2406.78515625,829.4842529296875,580258.3984375,-105328.474609375,580260.44921875,-105330.27087402344,0.5253764919355634,2.626882459677817
2398.125,781.875,2397.71484375,782.1141357421875,580217.1484375,-105092.224609375,580215.09765625,-105093.42028808594,0.7158148799618194,3.579074399809097
2394.375,760.375,2393.68359375,759.94091796875,580198.3984375,-104984.724609375,580194.94140625,-104982.55419921875,0.8984215595561318,4.492107797780659
2414.625,781.125,2413.83984375,781.1063232421875,580299.6484375,-105088.474609375,580295.72265625,-105088.38122558594,0.9773284823669862,4.886642411834931
3063.125,889.125,3062.90234375,888.9488525390625,583542.1484375,-105628.474609375,583541.03515625,-105627.59387207031,0.18193725081172868,0.9096862540586435
3075.125,889.125,3074.99609375,888.9488525390625,583602.1484375,-105628.474609375,583601.50390625,-105627.59387207031,0.1885531111537354,0.942765555768677
3121.375,888.375,3121.38671875,887.94091796875,583833.3984375,-105624.724609375,583833.45703125,-105622.55419921875,0.5178015968302958,2.589007984151479
3075.125,900.375,3074.99609375,901.0433349609375,583602.1484375,-105684.724609375,583601.50390625,-105688.06628417969,0.6754743679119248,3.377371839559624
3063.125,900.375,3062.90234375,901.0433349609375,583542.1484375,-105684.724609375,583541.03515625,-105688.06628417969,0.6840446204748251,3.420223102374125
3237.875,898.875,3237.25390625,899.027587890625,584415.8984375,-105677.224609375,584412.79296875,-105677.98754882812,0.30792106725363166,1.5396053362681583
3165.125,856.125,3164.69140625,855.68896484375,584052.1484375,-105463.474609375,584049.98046875,-105461.29443359375,0.4998544018018254,2.499272009009127
3209.125,868.125,3209.06640625,867.783447265625,584272.1484375,-105523.474609375,584271.85546875,-105521.76684570312,0.5284901893974746,2.642450946987373
3201.875,865.875,3200.97265625,865.7677001953125,584235.8984375,-105512.224609375,584231.38671875,-105511.68811035156,0.535720625716873,2.678603128584365
3189.625,862.875,3189.91796875,862.7440795898438,584174.6484375,-105497.224609375,584176.11328125,-105496.57000732422,0.7112799598474258,3.556399799237129
2421.375,963.375,2421.90234375,962.5236206054688,580333.3984375,-105999.724609375,580336.03515625,-105995.46771240234,0.6154208937098866,3.0771044685494333
2505.375,1084.125,2505.55078125,1083.468505859375,580753.3984375,-106603.474609375,580754.27734375,-106600.19213867188,0.9033451862197047,4.516725931098524
2490.375,1084.875,2490.43359375,1084.476318359375,580678.3984375,-106607.224609375,580678.69140625,-106605.23120117188,0.9875857268156548,4.937928634078274
2413.125,975.375,2412.83203125,975.6259765625,580292.1484375,-106059.724609375,580290.68359375,-106060.9794921875,1.2095227206052221,6.047613603026111
2421.375,974.625,2420.89453125,974.6181030273438,580333.3984375,-106055.974609375,580330.99609375,-106055.94012451172,1.2892744773421339,6.446372386710669
3140.375,965.625,3140.50390625,965.5472412109375,583928.3984375,-106010.974609375,583929.04296875,-106010.58581542969,0.15351341564079585,0.7675670782039792
3129.625,977.625,3129.44921875,977.6417236328125,583874.6484375,-106070.974609375,583873.76953125,-106071.05822753906,0.21673379899445136,1.0836689949722569
3121.375,935.625,3121.38671875,935.31103515625,583833.3984375,-105860.974609375,583833.45703125,-105859.40478515625,0.3095475234037009,1.5477376170185044
3140.875,965.625,3140.53515625,965.5472412109375,583930.8984375,-106010.974609375,583929.19921875,-106010.58581542969,0.32064058483135305,1.6032029241567654
3141.125,977.625,3141.51171875,977.6417236328125,583932.1484375,-106070.974609375,583934.08203125,-106071.05822753906,0.3775259092716502,1.887629546358251
3260.375,1040.375,3260.42578125,1040.247802734375,584528.3984375,-106384.724609375,584528.65234375,-106384.08862304688,0.0655375590389602,0.327687795194801
3735.375,1081.875,3735.0,1082.0,586903.3984375,-106592.224609375,586901.5234375,-106592.849609375,0.1074690644969003,0.5373453224845015
3271.375,1040.375,3271.54296875,1040.247802734375,584583.3984375,-106384.724609375,584584.23828125,-106384.08862304688,0.11547036158001792,0.5773518079000896
3735.375,1068.375,3735.17578125,1068.350341796875,586903.3984375,-106524.724609375,586902.40234375,-106524.60131835938,0.16545923703935161,0.8272961851967581
3727.375,1046.375,3727.07421875,1046.300048828125,586863.3984375,-106414.724609375,586861.89453125,-106414.34985351562,0.1820618949782753,0.9103094748913765
3936.375,1132.875,3936.0,1133.0,587908.3984375,-106847.224609375,587906.5234375,-106847.849609375,0.05838670283366207,0.29193351416831037
3971.625,1081.875,3971.0,1082.0,588084.6484375,-106592.224609375,588081.5234375,-106592.849609375,0.07237865608787754,0.3618932804393877
3782.875,1038.125,3782.50390625,1038.23046875,587140.8984375,-106373.474609375,587139.04296875,-106374.001953125,0.11442691962963912,0.5721345981481956
3990.375,1086.875,3990.0,1087.0,588178.3984375,-106617.224609375,588176.5234375,-106617.849609375,0.18228930396693732,0.9114465198346866
3887.625,1089.875,3887.0,1090.0,587664.6484375,-106632.224609375,587661.5234375,-106632.849609375,0.19021013392329264,0.9510506696164632
