bin,x_start,x_end,support_pixels,candidate_count,candidate_density_per_100k_support_px,median_dx_px,median_dy_px,median_displacement_px,local_ransac_inliers,local_inlier_ratio,local_rmse_px,local_median_residual_px,local_mean_residual_px,translation_x_px,translation_y_px,translation_magnitude_px,rotation_deg,scale_x,scale_y,determinant,axis_dot
1,224,557,46383,300,646.7886941336266,0.062469482421875,0.062469482421875,0.94580678093154,271,0.9033333333333333,1.221451973122065,0.8796832837218034,1.0054603077393813,0.017909551126806735,0.022891295035275983,0.02906481395013144,-0.07290711382992467,0.9989597728282573,1.001006890174301,0.9999655451952838,-0.00037526079652273913
2,557,891,127009,542,426.7414120259194,0.1875,-0.125,1.6781825093895395,347,0.6402214022140221,1.3929279750030943,1.0167678509695475,1.1742190913383073,-1.5631186791900797,-2.9721451716284255,3.3581225299960544,0.23247223842511544,1.0034207337999905,1.0007644755406007,1.0041822982597992,0.003331448748541859
3,891,1225,203908,57,27.95378307864331,-4.375,-6.0443115234375,26.027357354204224,13,0.22807017543859648,1.3531491180356394,1.0918931529232412,1.2341089310547597,-399.12555973130344,-223.52748616308804,457.4557350183904,1.2396316348134326,0.9503515016356617,1.339199822713142,1.1673866356938154,0.5069522844577333
4,1225,1559,203842,2,0.9811520687591369,3.056640625,-6.957672119140625,57.51590714449574,0,0.0,,,,,,,,,,,
5,1559,1893,188465,4,2.1224099965510836,43.25,22.0,51.17086576519205,0,0.0,,,,,,,,,,,
6,1893,2226,159598,21,13.158059624807327,-12.875,0.125,18.249143815532825,6,0.2857142857142857,1.5691612823948453,1.0038851085419336,1.2528726223293345,-988.4128129997032,-132.86661496203425,997.3030764383792,1.947376620624309,1.5334671693130615,1.1687430065703945,1.6435589998213194,-0.7147018328406622
7,2227,2560,135404,26,19.201796106466574,7.625,5.875,13.230291779976561,8,0.3076923076923077,1.3793487301274734,0.7998871898922095,1.108457763492222,-511.8257426199172,104.12939877524197,522.310752806912,-6.44354521518994,1.1961142719846063,1.5426883211430042,1.843965346538769,0.068345858052386
8,2560,2894,113090,2,1.7685029622424617,55.875,-9.375,58.56214868748181,0,0.0,,,,,,,,,,,
9,2894,3228,87933,3,3.411688444611238,-15.375,-33.625,36.97338569836417,0,0.0,,,,,,,,,,,
10,3228,3562,62830,0,0.0,,,,0,0.0,,,,,,,,,,,
11,3562,3896,37721,3,7.953129556480475,-57.615234375,1.125,58.71455973341468,0,0.0,,,,,,,,,,,
12,3896,4229,12561,47,374.17403073003743,-3.375,-0.52734375,3.585663163738544,33,0.7021276595744681,1.5458125451117137,1.2253524201494996,1.3734028794271316,-540.1032651645074,-57.90300530083794,543.1982097395306,0.43010134230041497,1.0594802291807648,1.1543611024667741,1.099935862448168,0.5347202849941963
