source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
761.125,276.625,776.0624389648438,275.5625,14.93743896484375,-1.0625,14.975179100045258
740.875,278.875,750.6874389648438,278.1875,9.81243896484375,-0.6875,9.836494024233629
734.875,279.625,739.3124389648438,279.0625,4.43743896484375,-0.5625,4.47294878315341
719.125,281.125,725.3124389648438,280.8125,6.18743896484375,-0.3125,6.195325430812065
700.375,282.625,705.1874389648438,282.5625,4.81243896484375,-0.0625,4.812844797034949
694.375,283.375,699.0624389648438,283.4375,4.68743896484375,0.0625,4.687855618418238
684.625,284.125,689.4374389648438,284.3125,4.81243896484375,0.1875,4.816090223443326
690.625,284.125,694.6874389648438,283.4375,4.06243896484375,-0.6875,4.1202022514775605
679.375,284.875,685.0624389648438,284.3125,5.68743896484375,-0.5625,5.715187506007388
671.125,285.625,674.5625,285.1875,3.4375,-0.4375,3.465229068907278
665.125,286.375,667.5625,286.0625,2.4375,-0.3125,2.4574504064171876
656.875,287.875,663.1875,286.9375,6.3125,-0.9375,6.381736636684407
641.125,288.625,646.5625,288.6875,5.4375,0.0625,5.437859183539052
627.625,290.125,631.6875,290.4375,4.0625,0.3125,4.074501503251655
631.375,290.125,636.0625,289.5625,4.6875,-0.5625,4.7211293670053145
617.125,291.625,617.6875,291.3125,0.5625,-0.3125,0.6434768838116876
682.375,291.625,685.0624389648438,293.0625,2.68743896484375,1.4375,3.047742515331708
749.875,291.625,750.6874389648438,293.9375,0.81243896484375,2.3125,2.4510637122678767
601.375,293.125,606.3125,292.1875,4.9375,-0.9375,5.025715123243656
704.875,293.125,706.0624389648438,293.9375,1.18743896484375,0.8125,1.4388076818078213
592.375,293.875,596.6875,293.9375,4.3125,0.0625,4.312952874771529
596.875,293.875,601.0625,293.9375,4.1875,0.0625,4.187966391937739
586.375,294.625,586.1875,294.8125,-0.1875,0.1875,0.2651650429449553
722.875,294.625,731.4374389648438,296.5625,8.56243896484375,1.9375,8.77891036955467
577.375,295.375,580.0625,294.8125,2.6875,-0.5625,2.7457353295610996
566.125,296.125,566.0625,296.5625,-0.0625,0.4375,0.4419417382415922
569.875,296.125,570.4375,296.5625,0.5625,0.4375,0.7126096406869612
555.625,297.625,555.5625,296.5625,-0.0625,-1.0625,1.0643366478704002
536.875,299.125,539.8125,299.1875,2.9375,0.0625,2.93816481838579
528.625,300.625,531.0625,300.9375,2.4375,0.3125,2.4574504064171876
593.125,304.375,595.8125,306.1875,2.6875,1.8125,3.241575619972485
473.125,305.875,473.3124694824219,306.1875,0.187469482421875,0.3125,0.3644187932029929
460.375,307.375,461.9374694824219,307.9375,1.562469482421875,0.5625,1.660637568375376
451.375,308.125,451.4374694824219,307.9375,0.062469482421875,-0.1875,0.19763270537554495
547.375,308.125,547.6875,307.9375,0.3125,-0.1875,0.3644344934278313
567.625,308.875,567.8125,308.8125,0.1875,-0.0625,0.19764235376052372
