grid_row,grid_col,x_start,x_end,y_start,y_end,support_pixels,valid_cell,inlier_count,occupied,inliers_per_100k_support_px
0,0,0,840,0,234,0,False,0,False,0.0
0,1,841,1682,0,234,7998,True,0,False,0.0
0,2,1683,2524,0,234,129,True,0,False,0.0
0,3,2525,3366,0,234,0,False,0,False,0.0
0,4,3367,4208,0,234,0,False,0,False,0.0
0,5,4209,5050,0,234,0,False,0,False,0.0
0,6,5051,5892,0,234,0,False,0,False,0.0
0,7,5893,6734,0,234,0,False,0,False,0.0
1,0,0,840,235,470,80422,True,152,True,189.00300912685583
1,1,841,1682,235,470,194202,True,0,False,0.0
1,2,1683,2524,235,470,148235,True,0,False,0.0
1,3,2525,3366,235,470,52416,True,0,False,0.0
1,4,3367,4208,235,470,19,True,0,False,0.0
1,5,4209,5050,235,470,0,False,0,False,0.0
1,6,5051,5892,235,470,0,False,0,False,0.0
1,7,5893,6734,235,470,0,False,0,False,0.0
2,0,0,840,471,706,55103,True,372,True,675.0993593815218
2,1,841,1682,471,706,198712,True,1,True,0.5032408712105962
2,2,1683,2524,471,706,198055,True,0,False,0.0
2,3,2525,3366,471,706,186720,True,0,False,0.0
2,4,3367,4208,471,706,83691,True,0,False,0.0
2,5,4209,5050,471,706,52,True,0,False,0.0
2,6,5051,5892,471,706,0,False,0,False,0.0
2,7,5893,6734,471,706,0,False,0,False,0.0
3,0,0,840,707,942,6717,True,74,True,1101.6822986452285
3,1,841,1682,707,942,108642,True,5,True,4.6022716813018905
3,2,1683,2524,707,942,50161,True,0,False,0.0
3,3,2525,3366,707,942,3751,True,0,False,0.0
3,4,3367,4208,707,942,0,False,0,False,0.0
3,5,4209,5050,707,942,0,False,0,False,0.0
3,6,5051,5892,707,942,0,False,0,False,0.0
3,7,5893,6734,707,942,0,False,0,False,0.0
4,0,0,840,943,1177,0,False,0,False,0.0
4,1,841,1682,943,1177,0,False,0,False,0.0
4,2,1683,2524,943,1177,0,False,0,False,0.0
4,3,2525,3366,943,1177,0,False,0,False,0.0
4,4,3367,4208,943,1177,0,False,0,False,0.0
4,5,4209,5050,943,1177,0,False,0,False,0.0
4,6,5051,5892,943,1177,0,False,0,False,0.0
4,7,5893,6734,943,1177,0,False,0,False,0.0
5,0,0,840,1178,1413,0,False,0,False,0.0
5,1,841,1682,1178,1413,0,False,0,False,0.0
5,2,1683,2524,1178,1413,0,False,0,False,0.0
5,3,2525,3366,1178,1413,0,False,0,False,0.0
5,4,3367,4208,1178,1413,0,False,0,False,0.0
5,5,4209,5050,1178,1413,0,False,0,False,0.0
5,6,5051,5892,1178,1413,0,False,0,False,0.0
5,7,5893,6734,1178,1413,0,False,0,False,0.0
6,0,0,840,1414,1649,0,False,0,False,0.0
6,1,841,1682,1414,1649,0,False,0,False,0.0
6,2,1683,2524,1414,1649,0,False,0,False,0.0
6,3,2525,3366,1414,1649,0,False,0,False,0.0
6,4,3367,4208,1414,1649,0,False,0,False,0.0
6,5,4209,5050,1414,1649,0,False,0,False,0.0
6,6,5051,5892,1414,1649,0,False,0,False,0.0
6,7,5893,6734,1414,1649,0,False,0,False,0.0
7,0,0,840,1650,1885,0,False,0,False,0.0
7,1,841,1682,1650,1885,0,False,0,False,0.0
7,2,1683,2524,1650,1885,0,False,0,False,0.0
7,3,2525,3366,1650,1885,0,False,0,False,0.0
7,4,3367,4208,1650,1885,0,False,0,False,0.0
7,5,4209,5050,1650,1885,0,False,0,False,0.0
7,6,5051,5892,1650,1885,0,False,0,False,0.0
7,7,5893,6734,1650,1885,0,False,0,False,0.0
