bin,x_start,x_end,support_pixels,source_inliers,reference_inliers,source_inliers_per_100k_support_px,median_ransac_residual_px
1,224,557,46383,261,261,562.7061638962551,0.8653940520346334
2,557,891,127009,345,343,271.6342936327347,1.0212118129151333
3,891,1225,203908,0,0,0.0,
4,1225,1559,203842,0,0,0.0,
5,1559,1893,188465,0,0,0.0,
6,1893,2226,159598,0,0,0.0,
7,2227,2560,135404,0,0,0.0,
8,2560,2894,113090,0,0,0.0,
9,2894,3228,87933,0,0,0.0,
10,3228,3562,62830,0,0,0.0,
11,3562,3896,37721,0,0,0.0,
12,3896,4229,12561,0,0,0.0,
