source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
682.375,291.625,705.25,294.25,22.875,2.625,23.025122149513127
722.875,294.625,756.25,294.25,33.375,-0.375,33.377106675084946
546.625,299.125,556.75,297.25,10.125,-1.875,10.297147663309486
729.625,299.125,771.25,294.25,41.625,-4.875,41.90950071284553
528.625,300.625,540.25,298.75,11.625,-1.875,11.775238851080687
593.125,304.375,618.25,304.75,25.125,0.375,25.12779835162643
602.125,305.125,595.75,306.25,-6.375,1.125,6.473503688112026
451.375,308.125,453.25,307.75,1.875,-0.375,1.9121323175972944
567.625,308.875,568.75,307.75,1.125,-1.125,1.590990257669732
662.875,309.625,670.75,306.25,7.875,-3.375,8.567744744096897
581.875,315.625,603.25,321.25,21.375,5.625,22.102743042437062
443.125,319.375,442.75,321.25,-0.375,1.875,1.9121323175972944
329.125,320.875,325.75,324.25,-3.375,3.375,4.772970773009196
323.125,321.625,315.25,322.75,-7.875,1.125,7.95495128834866
568.375,322.375,576.25,327.25,7.875,4.875,9.261816776421352
286.375,325.375,282.25,325.75,-4.125,0.375,4.142010381445223
578.875,326.125,585.25,328.75,6.375,2.625,6.894291116568838
266.125,327.625,268.75,327.25,2.625,-0.375,2.6516504294495533
257.125,328.375,253.75,328.75,-3.375,0.375,3.395769426801531
523.375,328.375,523.75,324.25,0.375,-4.125,4.142010381445223
707.125,329.125,703.75,334.75,-3.375,5.625,6.559820881700963
443.875,331.375,442.75,328.75,-1.125,-2.625,2.8559149146989657
584.875,331.375,592.75,328.75,7.875,-2.625,8.300978857941995
567.625,332.875,568.75,334.75,1.125,1.875,2.1866069605669876
443.875,335.125,442.75,336.25,-1.125,1.125,1.590990257669732
500.875,338.125,501.25,337.75,0.375,-0.375,0.5303300858899106
519.625,338.125,519.25,337.75,-0.375,-0.375,0.5303300858899106
285.625,344.125,282.25,345.25,-3.375,1.125,3.557562367689427
614.875,344.125,612.25,336.25,-2.625,-7.875,8.300978857941995
668.875,346.375,681.25,337.75,12.375,-8.625,15.084139020839075
247.375,347.875,249.25,348.25,1.875,0.375,1.9121323175972944
689.125,347.875,693.25,343.75,4.125,-4.125,5.833630944789017
470.125,353.875,475.75,349.75,5.625,-4.125,6.975403214151853
264.625,354.625,264.25,355.75,-0.375,1.125,1.1858541225631423
443.125,354.625,441.25,355.75,-1.875,1.125,2.1866069605669876
345.625,355.375,343.75,358.75,-1.875,3.375,3.8608613028701253
520.375,356.125,522.25,357.25,1.875,1.125,2.1866069605669876
563.875,357.625,564.25,357.25,0.375,-0.375,0.5303300858899106
692.125,358.375,708.25,357.25,16.125,-1.125,16.16419654668923
530.125,359.875,529.75,360.25,-0.375,0.375,0.5303300858899106
371.125,360.625,369.25,360.25,-1.875,-0.375,1.9121323175972944
394.375,362.125,394.75,361.75,0.375,-0.375,0.5303300858899106
353.875,362.875,354.25,364.75,0.375,1.875,1.9121323175972944
405.625,362.875,403.75,361.75,-1.875,-1.125,2.1866069605669876
418.375,363.625,415.75,366.25,-2.625,2.625,3.7123106012293743
427.375,363.625,423.25,363.25,-4.125,-0.375,4.142010381445223
436.375,363.625,433.75,363.25,-2.625,-0.375,2.6516504294495533
446.125,365.125,441.25,363.25,-4.875,-1.875,5.223145603944045
581.875,365.125,582.25,364.75,0.375,-0.375,0.5303300858899106
299.125,367.375,300.25,367.75,1.125,0.375,1.1858541225631423
326.875,368.875,327.25,370.75,0.375,1.875,1.9121323175972944
361.375,371.875,360.25,372.25,-1.125,0.375,1.1858541225631423
450.625,377.125,450.25,376.75,-0.375,-0.375,0.5303300858899106
467.125,377.125,463.75,376.75,-3.375,-0.375,3.395769426801531
475.375,378.625,472.75,378.25,-2.625,-0.375,2.6516504294495533
297.625,379.375,288.25,375.25,-9.375,-4.125,10.242375212810748
480.625,381.625,480.25,379.75,-0.375,-1.875,1.9121323175972944
498.625,382.375,493.75,379.75,-4.875,-2.625,5.5368086475875256
260.125,383.125,261.25,382.75,1.125,-0.375,1.1858541225631423
362.875,383.875,363.25,385.75,0.375,1.875,1.9121323175972944
512.125,389.125,510.25,390.25,-1.875,1.125,2.1866069605669876
527.125,389.125,526.75,388.75,-0.375,-0.375,0.5303300858899106
287.125,389.875,286.75,397.75,-0.375,7.875,7.883923515610739
260.125,390.625,259.75,390.25,-0.375,-0.375,0.5303300858899106
