bin,x_start,x_end,support_pixels,candidate_count,candidate_density_per_100k_support_px,median_dx_px,median_dy_px,median_displacement_px,local_ransac_inliers,local_inlier_ratio,local_rmse_px,local_median_residual_px,local_mean_residual_px,translation_x_px,translation_y_px,translation_magnitude_px,rotation_deg,scale_x,scale_y,determinant,axis_dot
1,224,557,46383,146,314.77049781169825,-0.136993408203125,-0.3671875,1.9121323175972944,89,0.6095890410958904,1.4873836114763062,1.1549496494291693,1.2767619456647434,-1.4466627337130358,0.728299019323867,1.6196458028415288,0.41650472734797084,0.9933570484691648,0.9936271335227302,0.9869090626852245,0.01522650749269993
2,557,891,127009,193,151.9577352786023,1.125,-0.375,3.225871975140985,87,0.45077720207253885,1.5108638291945846,1.2514016637961758,1.3371740893144772,-5.233091995822078,1.3004180704458035,5.392248046471813,-0.0949536404535346,1.0092255478473298,0.9991439879085549,1.0083586244458589,-0.0024654930693759182
3,891,1225,203908,104,51.0033936873492,694.125,-12.375,694.2866553081274,27,0.25961538461538464,1.4744158523944926,1.0505154858385461,1.274036187076113,693.5579980455055,-34.632714142132414,694.4221493743846,1.3617146185479345,1.0009516881640097,0.9941776177093244,0.9948329547256645,0.024056172259072868
4,1225,1559,203842,73,35.8120505097085,692.25,-12.22760009765625,692.3444890169666,11,0.1506849315068493,1.7649743473418416,1.946395911369226,1.6397175333905358,788.6992288082494,37.75067535704708,789.6021700911418,-2.0230295568927907,0.9471603516298338,0.9906508037224788,0.9356435489216902,-0.07062385852134065
5,1559,1893,188465,21,11.14265248189319,661.5,-186.42535400390625,689.1474335408412,4,0.19047619047619047,1.0254387207799287,0.8282113740991397,0.8388534850902043,1543.0233579747958,873.0174001949272,1772.8735048781468,-78.02136438394146,1.0198202574780142,1.9529463496502721,1.000454759646221,-1.7221431189140393
6,1893,2226,159598,9,5.639168410631712,-138.0,-22.22836303710937,142.7413749524276,4,0.4444444444444444,0.20269693629051175,0.14368781958982785,0.14373907070100025,-2234.6904778779917,205.77983985618332,2244.145020806321,-3.57381347556824,1.7125891377006535,2.1844861230075754,1.9133693471281268,3.2148173370898094
7,2227,2560,135404,10,7.385306194794835,-1.125,-33.725799560546875,201.7251502008893,0,0.0,,,,,,,,,,,
8,2560,2894,113090,12,10.61101777345477,86.25,-23.887832641601566,244.4816185721652,4,0.3333333333333333,0.9181010974273359,0.653622277884627,0.6563844871506086,-2092.1406390379534,-1345.8103961803076,2487.6209671051442,15.613789174609638,2.1758915263085505,1.2187503966333109,1.7419330556621144,-1.9995190980079294
9,2894,3228,87933,7,7.960606370759555,-231.75,-33.4283447265625,239.2852323780673,0,0.0,,,,,,,,,,,
10,3228,3562,62830,0,0.0,,,,0,0.0,,,,,,,,,,,
11,3562,3896,37721,9,23.859388669441426,-588.75,1.2481689453125,594.668285332992,0,0.0,,,,,,,,,,,
12,3896,4229,12561,49,390.096329910039,-150.0,-0.92926025390625,151.41835495613876,11,0.22448979591836735,1.4042229651484794,1.34734601827413,1.2643448011696774,-9829.832460888245,-1354.7718814818852,9922.752292584262,0.7119667682135,2.926940882143749,4.293434457143339,8.791202247343168,8.979695060731254
