source_x,source_y,reference_x,reference_y,sub_pixel_residual,method
321.15234375,119.35546875,321.15234375,119.35546875,0.0,keypoint_fallback_lightglue_gradient
769.04296875,198.10546875,769.04296875,198.10546875,0.0,keypoint_fallback_lightglue_gradient
892.08984375,222.71484375,892.08984375,222.71484375,0.0,keypoint_fallback_lightglue_gradient
833.02734375,257.16796875,833.02734375,257.16796875,0.0,keypoint_fallback_lightglue_gradient
1207.08984375,311.30859375,1207.08984375,311.30859375,0.0,keypoint_fallback_lightglue_gradient
153.80859375,330.99609375,153.80859375,330.99609375,0.0,keypoint_fallback_lightglue_gradient
1630.37109375,429.43359375,1630.37109375,429.43359375,0.0,keypoint_fallback_lightglue_gradient
1605.76171875,434.35546875,1605.76171875,434.35546875,0.0,keypoint_fallback_lightglue_gradient
134.12109375,468.80859375,134.12109375,468.80859375,0.0,keypoint_fallback_lightglue_gradient
1901.07421875,503.26171875,1901.07421875,503.26171875,0.0,keypoint_fallback_lightglue_gradient
611.54296875,532.79296875,611.54296875,532.79296875,0.0,keypoint_fallback_lightglue_gradient
606.62109375,601.69921875,606.62109375,601.69921875,0.0,keypoint_fallback_lightglue_gradient
3215.21484375,911.77734375,3215.21484375,911.77734375,0.0,keypoint_fallback_lightglue_gradient
3357.94921875,916.69921875,3357.94921875,916.69921875,0.0,keypoint_fallback_lightglue_gradient
3441.62109375,946.23046875,3441.62109375,946.23046875,0.0,keypoint_fallback_lightglue_gradient
4637.63671875,1438.41796875,4637.63671875,1438.41796875,0.0,keypoint_fallback_lightglue_gradient
4686.85546875,1448.26171875,4686.85546875,1448.26171875,0.0,keypoint_fallback_lightglue_gradient
4716.38671875,1472.87109375,4716.38671875,1472.87109375,0.0,keypoint_fallback_lightglue_gradient
3751.69921875,1487.63671875,3751.69921875,1487.63671875,0.0,keypoint_fallback_lightglue_gradient
4366.93359375,1610.68359375,4366.93359375,1610.68359375,0.0,keypoint_fallback_lightglue_gradient
4962.48046875,1615.60546875,4962.48046875,1615.60546875,0.0,keypoint_fallback_lightglue_gradient
4362.01171875,1659.90234375,4362.01171875,1659.90234375,0.0,keypoint_fallback_lightglue_gradient
4918.18359375,1768.18359375,4918.18359375,1768.18359375,0.0,keypoint_fallback_lightglue_gradient
